"distid","year","totpop","toptotvotes","topdem","toprep","sectot","secdem","secrep","topturnout","topdemshare","toprepshare","secdemshare","secrepshare"
7,"2002",758.353921213299,354.313805115852,139.495320572085,141.725423211654,353.081306682995,197.66871436905,155.412592313945,0.467214311424647,0.393705575560269,0.399999721053244,0.559839081332396,0.440160918667604
7,"2004",734.938355417119,480.473798702382,196.702762227618,280.731164398721,366.768599078158,308.787520293878,0,0.653760679601062,0.409393317094197,0.584279861163903,0.841913732718637,0
7,"2006",721.723556019696,340.460503703075,175.977460550504,156.44764553443,341.397961858712,201.826481175618,130.634996791401,0.471732564170018,0.51688069140607,0.459517752669698,0.591176584877048,0.382647266199744
7,"2008",706.168738221434,415.516666272037,204.064230195116,202.112673245103,0,223.601552887818,183.40558130528,0.588409885318009,0.491109615472117,0.486412915896811,0,0
7,"2010",693.122442473467,269.772688809492,100.967150460714,167.340475610212,275.484468217778,99.1828288960724,160.7549108955,0.389213611157626,0.374267502415765,0.620301767197733,0.360030565562287,0.583535296692005
7,"2012",680.076146725501,386.846235573951,156.259487292657,225.865481613486,332.849009568011,92.8048919848887,238.668270292096,0.568827825290708,0.403931776822955,0.583863718560882,0.278819793110803,0.717046659089816
14,"2002",831.878818293301,370.012682513872,177.547078463803,107.223635076085,247.7829186724,0,246.045705145877,0.444791566243984,0.479840521296582,0.289783675380005,0,0.99298896979731
14,"2004",822.680553167912,556.188035396781,307.953518114094,245.917608661917,537.177979409173,212.272441865602,308.12030211218,0.676068047621956,0.553685981206701,0.442148325766269,0.395162218114516,0.573590716527645
14,"2006",835.953444271656,427.059376092452,249.451411644594,170.016562524427,238.000886906399,0,236.812120565767,0.510865023667122,0.584114119977994,0.398109893008464,0,0.995005202055823
14,"2008",840.567204133811,539.00631249529,333.340748548757,195.481715451984,0,259.113472771872,255.593651720705,0.641241187908022,0.618435704408694,0.36267054934295,0,0
14,"2010",842.739300593939,372.12719335754,184.439147769902,185.429754137821,366.509445576602,162.280314908555,204.082208426381,0.441568576539952,0.495634694432806,0.498296704588476,0.442772531150599,0.556826599940182
14,"2012",844.911397054066,555.576430148277,320.823576850139,228.90835517131,428.941886316452,199.782314332858,223.129697723221,0.657555847968667,0.577460740666257,0.412019557975518,0.465756133187395,0.520186311575566
63,"2002",682.968814989408,319.957531651598,150.732041611901,94.6033381867905,316.153738985736,184.840415017841,131.022944127894,0.468480441023593,0.47110015142895,0.29567467188053,0.58465357901771,0.414427944291387
63,"2004",676.598545894496,515.535342156976,285.677652439057,227.271546355216,508.589565869204,278.986690146622,229.532825256896,0.761951596386322,0.554137862292417,0.440845714678497,0.548549771503511,0.451312493728835
63,"2006",670.679439335285,390.268456486163,229.992746451448,151.418131216149,387.181278636775,204.415986416984,182.492177632069,0.581900135291102,0.589319332959214,0.387984549352165,0.527959376384911,0.471335231586107
63,"2008",661.431408847511,537.410504221527,329.091062938161,198.403265756759,0,327.116698218317,196.567198612069,0.812496196934342,0.612364403659861,0.369183825396488,0,0
63,"2010",656.047057312037,396.314987918163,197.435794663829,197.336999745809,401.102352226087,207.229908907748,193.872443318339,0.604095367094472,0.498178975518833,0.497929691688971,0.516650943973871,0.483349056026129
63,"2012",650.662705776563,587.55791715645,348.136971227531,232.491600167249,502.400454049945,252.903303939212,247.757982927092,0.903014591031773,0.592515156484278,0.39569137506038,0.50338987932935,0.493148405678913
70,"2002",1806.27579340002,751.388052764877,303.816074298117,308.485405661813,841.101116017347,197.311299147098,607.38471036251,0.415987445278505,0.404339772478638,0.410554046642985,0.234586894951913,0.722130429737753
70,"2004",1781.82003645932,1148.43412899323,602.416645523252,538.433329169092,1120.4539862372,336.624148454058,783.829837783145,0.64452868723785,0.524554809296167,0.468841281860117,0.300435495423186,0.699564504576814
70,"2006",1754.30116294027,883.828635693485,482.741506868329,379.067548250393,871.419217117785,487.621826934183,383.051454695559,0.503806674911028,0.546193557634113,0.428892584989581,0.559572037608936,0.439571961658707
70,"2008",1743.77424049194,1074.62104908276,643.338970128879,409.965821062516,0,633.662965131423,426.48262217795,0.616261568802393,0.598665893133211,0.381498037296441,0,0
70,"2010",1728.14885226492,728.272402734317,381.260169925046,344.09399499069,747.230635460722,412.01671535132,332.654860241465,0.421417635280573,0.523513136696646,0.472479794234657,0.551391626358149,0.445183648066516
70,"2012",1712.5234640379,1028.83831920323,574.546809637431,440.577846897526,864.998420524449,364.819406560728,495.640156927096,0.600773268692838,0.558442273108939,0.428228457935671,0.421757309498367,0.572995447351903
84,"2002",442.010258634071,183.283663556629,95.5539223617013,70.1944828016225,174.872477807267,121.2409256779,52.8108989972539,0.414659298005943,0.521344458679362,0.382982757107179,0.693310503734748,0.301996630112708
84,"2004",453.772108278657,311.059695837399,172.088720097429,138.377195815778,300.263417238973,183.309785656014,116.953631582958,0.685497610281461,0.553233743877206,0.444857362324792,0.610496567785753,0.389503432214247
84,"2006",469.735647895675,239.80362468817,144.311312199568,92.3688107057923,231.519135682352,164.478354141122,67.0407815412303,0.510507613723685,0.601789536697886,0.385185214885324,0.710430926827529,0.289569073172471
84,"2008",466.349996217603,288.84682197745,162.189483205145,122.149311578459,0,188.237497038878,86.7714312106688,0.619377772746184,0.561506898690431,0.422886119162478,0,0
84,"2010",472.434930613486,211.12950169088,100.356227417503,109.7132408934,215.622113784912,125.465926460734,85.8040004260736,0.446896467661093,0.475330195987659,0.519649030641081,0.581878751944197,0.397936922702024
84,"2012",478.519865009369,288.586924629881,144.261047952209,140.644241526172,233.662753357053,97.4737211692656,133.456384233161,0.603082433420462,0.499887679031982,0.487354864419277,0.417155579008003,0.571149583387944
91,"2002",468.593971734933,214.677950067176,83.248468537597,86.4573577281859,208.031899359036,130.53732562618,72.8239261198207,0.4581321208046,0.387783042047623,0.402730497944163,0.627487063418528,0.350061343208409
91,"2004",470.573454775366,325.008984763122,151.464345211899,172.273685533904,283.555937054976,183.991838791016,99.5640982639606,0.690665785468644,0.466031255481418,0.530058224880962,0.648873166620888,0.351126833379112
91,"2006",474.261759277922,241.915922203323,117.98416657947,117.31407146693,239.42518418981,155.224461172812,83.9980208054409,0.51008945475943,0.487707322051782,0.48493737162257,0.648321360587339,0.350832019153213
91,"2008",478.680599651647,320.32752977623,168.073085658515,147.891657046729,0,191.522760285801,112.260113236254,0.669188452611917,0.524691355051268,0.461688875601924,0,0
91,"2010",481.202256630825,265.536642006909,108.485932796212,155.801744255428,268.762645802613,132.311166747642,127.225589308973,0.551819195250839,0.408553531355531,0.586742918332808,0.492297455818377,0.473375267344299
91,"2012",483.723913610004,333.732512567044,160.604862493913,167.665934793553,285.267967231456,111.949697920287,171.102860604297,0.689923535258816,0.481238286490438,0.502396166030933,0.392436974283394,0.599796963763093
105,"2002",596.220824908519,278.937890095359,128.551940354095,88.2732013715922,269.908969713127,180.889390718298,88.3614085815733,0.467843252771585,0.460862238221373,0.316461852283369,0.670186659267219,0.327374850400446
105,"2004",608.61397502577,449.442588413529,223.132641039943,223.434816452825,354.673529603365,294.663443909531,4.5465485948639,0.738469057327345,0.496465281199922,0.49713761493213,0.830801904610858,0.0128189679109923
105,"2006",597.897796892134,312.042659642896,168.454887489483,133.595861909961,301.975730136206,192.986804563751,102.160356143926,0.521899664566235,0.539845698284537,0.428133326586978,0.639080513115093,0.338306512572538
105,"2008",593.189645465855,428.299005846073,238.802194873428,182.386096542238,0,256.434923821857,154.482578405388,0.722027110755976,0.557559535777328,0.425838243966845,0,0
105,"2010",592.43185060519,309.595852981356,132.9728882619,175.84310143119,311.815892712135,142.867850256122,165.413732953921,0.522584754119978,0.429504746208301,0.567976281781072,0.458180142819133,0.530485253702669
105,"2012",591.674055744524,440.200546102675,204.225682663299,231.91506734177,377.522052219629,142.518352569785,231.072212282163,0.74399163158972,0.463937822139057,0.526839572088302,0.377510006983308,0.612076065288323
112,"2002",6426.38226651126,2950.34113312255,1417.73417457605,1123.34941256381,2921.09995617849,1970.41882502396,859.542677757079,0.459098293684951,0.480532287829226,0.380752381462712,0.674546867475821,0.294253086389269
112,"2004",6404.66510652407,4729.57747527835,2517.43060489147,2182.78695265127,4666.34959457642,2922.24244208924,1739.34720370345,0.738458201422679,0.532273890860264,0.461518383843115,0.626237358102292,0.372742583565758
112,"2006",6302.2895262429,3282.99569930906,1835.81646539169,1369.54739625934,3244.84485670335,2126.03972124858,1116.04082384465,0.52092111694307,0.559189421350156,0.417163932486289,0.655205353456732,0.343942737828924
112,"2008",6264.67187824674,4626.28810722445,2691.45549945961,1861.91391205964,0,2853.98767871378,1527.24579332727,0.738472532502241,0.581774294440637,0.402463890900367,0,0
112,"2010",6224.24428118062,1967.52884606199,925.714738102247,1030.71472003475,1995.89189540316,1051.22671607887,870.429178257152,0.316107266549761,0.470496145433937,0.523862571111841,0.526695217561636,0.436110382662448
112,"2012",6183.81668411449,4543.94826439467,2463.78178210681,2021.49958582742,3594.89440137717,1708.13770854424,1851.84516965469,0.734812898976704,0.542211671161054,0.444877333148227,0.475156574248708,0.515132007478513
119,"2002",1500.42266512342,699.324062420815,335.170822122088,331.522449794563,681.008694999443,391.301851778147,289.611052615415,0.466084709779621,0.479278263301629,0.474061265169324,0.574591564911615,0.425267775201683
119,"2004",1501.22903757735,1154.17240912626,544.53806507844,605.281832943154,676.865150794388,611.050359869397,4.2533195161265,0.768818335001595,0.471799586242638,0.524429303765255,0.902765283679106,0.00628385064755466
119,"2006",1507.55675639705,768.355777433916,389.486982747601,368.216056820385,793.202705132783,443.991301774656,324.395055219126,0.509669552521676,0.506909681929346,0.479225988317703,0.559745067561679,0.408968669824219
119,"2008",1510.24754816964,1110.43921420411,519.97891256896,572.200103121983,0,581.816747637946,497.946172799372,0.735269668571831,0.468264184043288,0.515291693415291,0,0
119,"2010",1512.7037689312,725.098698981064,280.071573322554,440.250030136489,731.567083461922,294.763833182638,415.036856680774,0.47933952031691,0.386253035229715,0.607158764393241,0.402921126231864,0.56732576692316
119,"2012",1515.15998969276,1092.85513750509,478.841652414678,597.666880160632,848.75193209527,333.215480464372,510.695046014112,0.721280356490074,0.438156564380381,0.546885730459267,0.392594665018058,0.601701188182731
126,"2002",981.514436567239,515.816440755245,228.587982667927,165.078582583499,493.764055281948,331.83162100404,161.719788709568,0.52553118073257,0.443157613071104,0.320033580825372,0.672044911844703,0.327524425845909
126,"2004",992.227463390879,780.684715286254,417.347420921864,359.165833735944,638.553990299728,538.346534565804,0,0.786800148242531,0.534591510183256,0.460065153964554,0.843071287226804,0
126,"2006",972.356867752271,571.166362452296,340.241890632751,219.71082094095,561.576714852182,369.553421959708,176.614618183236,0.587404050297522,0.595696653374206,0.384670448724649,0.65806400476733,0.314497758742943
126,"2008",982.488288786366,781.54086601185,466.850919318082,302.693834806951,0,485.070988154379,262.95965733433,0.795470923095949,0.597346779446596,0.387303912016242,0,0
126,"2010",982.731751841147,605.456886031287,303.4426603041,300.346815298262,606.252671378099,308.246321226777,290.251536399607,0.616095780864884,0.501179633603869,0.496066395853563,0.508445299756106,0.478763311244178
126,"2012",982.975214895929,817.117113068529,424.8323472266,381.070250486627,727.354941795168,335.853043440088,386.461241683923,0.831269294165306,0.519916105576619,0.466359404780533,0.461745736697928,0.531324143794372
140,"2002",2729.63917903266,1196.60303337733,562.769262710143,481.945291533515,1176.85486505054,794.970024628499,381.278788042214,0.438374068839891,0.470305729646838,0.402761214948001,0.675503877527296,0.323981146159294
140,"2004",2723.25037691305,1706.63244201577,757.172117250208,945.730948220195,1419.14103026475,1180.79232397945,70.8929659432588,0.626689509155719,0.443664434478863,0.554150340130155,0.832047202355339,0.0499548420004695
140,"2006",2684.56327736638,1301.77208755885,666.408636168347,611.573440040222,1290.17104058658,865.223064802639,400.946372316546,0.484910189502375,0.51192420127707,0.469800701586002,0.670626635991813,0.310769936468465
140,"2008",2639.05316205297,1548.66909456715,813.335292173081,712.911772833155,0,897.075440660603,600.828755804165,0.586827547408105,0.525183394584631,0.460338348155914,0,0
140,"2010",2616.40665780804,312.205017786967,109.389159596062,201.442867339534,311.739607951947,111.379005951539,193.74951200486,0.119325876524303,0.350376045751782,0.645226232324648,0.357282177530381,0.621510732234977
140,"2012",2593.76015356312,1535.0812254486,708.878760395508,801.127647307342,1192.45722834024,442.764963484608,738.275563668318,0.591836227933341,0.4617858316835,0.521879646513967,0.371304691658321,0.619121211329241
