"year","agency_key","CESA","district_number","school_number","agency_type","school_type","charter","district_name","school_name","grade_label","total_enrollment_prek-12","number_with_disabilities","percent_with_disabilities","number_without_disabilities","percent_without_disabilities"
"2003","53369","11","0119","","03","High Schools","N","Amery","","PreK-12","597                           ","101                           ","16.917900                     ","496                           ","83.082000                     "
"2003","53369","11","0119","","03","Mid/Jr Hi Schools","N","Amery","","PreK-12","420                           ","63                            ","15.000000                     ","357                           ","85.000000                     "
"2003","53369","11","0119","","03","Elem. Schools","N","Amery","","PreK-12","835                           ","100                           ","11.976000                     ","735                           ","88.023900                     "
"2003","53369","11","0119","","03","El/Sec Combined Schls","N","Amery","","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2003","51885","11","0119","0020","04","Elem. Schools","N","Amery","Lien El","PreK-12","577                           ","51                            ","8.838800                      ","526                           ","91.161100                     "
"2003","51886","11","0119","0040","04","High Schools","N","Amery","Amery Hi","PreK-12","597                           ","101                           ","16.917900                     ","496                           ","83.082000                     "
"2003","51887","11","0119","0050","04","Elem. Schools","N","Amery","Lakeview Intermediate","PreK-12","258                           ","49                            ","18.992200                     ","209                           ","81.007700                     "
"2003","51888","11","0119","0060","04","Mid/Jr Hi Schools","N","Amery","Amery Mid","PreK-12","420                           ","63                            ","15.000000                     ","357                           ","85.000000                     "
"2003","53370","11","0231","","03","El/Sec Combined Schls","N","Baldwin-Woodville Area","","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2003","53370","11","0231","","03","Elem. Schools","N","Baldwin-Woodville Area","","PreK-12","519                           ","79                            ","15.221500                     ","440                           ","84.778400                     "
"2003","53370","11","0231","","03","Mid/Jr Hi Schools","N","Baldwin-Woodville Area","","PreK-12","388                           ","51                            ","13.144300                     ","337                           ","86.855600                     "
"2003","53370","11","0231","","03","High Schools","N","Baldwin-Woodville Area","","PreK-12","470                           ","59                            ","12.553100                     ","411                           ","87.446800                     "
"2003","51889","11","0231","0040","04","High Schools","N","Baldwin-Woodville Area","Baldwin-Woodville Hi","PreK-12","470                           ","59                            ","12.553100                     ","411                           ","87.446800                     "
"2003","51892","11","0231","0070","04","Elem. Schools","N","Baldwin-Woodville Area","Greenfield El","PreK-12","519                           ","79                            ","15.221500                     ","440                           ","84.778400                     "
"2003","51918","11","0231","0090","04","Mid/Jr Hi Schools","N","Baldwin-Woodville Area","Viking Mid","PreK-12","388                           ","51                            ","13.144300                     ","337                           ","86.855600                     "
"2003","53440","11","0238","","03","High Schools","N","Unity","","PreK-12","360                           ","51                            ","14.166600                     ","309                           ","85.833300                     "
"2003","53440","11","0238","","03","Mid/Jr Hi Schools","N","Unity","","PreK-12","269                           ","59                            ","21.933000                     ","210                           ","78.066900                     "
"2003","53440","11","0238","","03","Elem. Schools","N","Unity","","PreK-12","500                           ","68                            ","13.600000                     ","432                           ","86.400000                     "
"2003","53440","11","0238","","03","El/Sec Combined Schls","N","Unity","","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2003","54581","11","0238","0060","04","Elem. Schools","N","Unity","Unity El","PreK-12","500                           ","68                            ","13.600000                     ","432                           ","86.400000                     "
"2003","52160","11","0238","0100","04","High Schools","N","Unity","Unity Hi","PreK-12","360                           ","51                            ","14.166600                     ","309                           ","85.833300                     "
"2003","52161","11","0238","0120","04","Mid/Jr Hi Schools","N","Unity","Unity Mid","PreK-12","269                           ","59                            ","21.933000                     ","210                           ","78.066900                     "
"2003","53441","11","0308","","03","El/Sec Combined Schls","N","Barron Area","","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2003","53441","11","0308","","03","Elem. Schools","N","Barron Area","","PreK-12","628                           ","94                            ","14.968100                     ","534                           ","85.031800                     "
"2003","53441","11","0308","","03","Mid/Jr Hi Schools","N","Barron Area","","PreK-12","333                           ","45                            ","13.513500                     ","288                           ","86.486400                     "
"2003","53441","11","0308","","03","High Schools","N","Barron Area","","PreK-12","503                           ","64                            ","12.723600                     ","439                           ","87.276300                     "
"2003","53038","11","0308","0020","04","Elem. Schools","N","Barron Area","Almena El","PreK-12","87                            ","1                             ","1.149400                      ","86                            ","98.850500                     "
"2003","52162","11","0308","0030","04","High Schools","N","Barron Area","Barron Hi","PreK-12","491                           ","64                            ","13.034600                     ","427                           ","86.965300                     "
"2003","52990","11","0308","0080","04","Elem. Schools","N","Barron Area","Dallas Early Learning Center","PreK-12","22                            ","17                            ","77.272700                     ","5                             ","22.727200                     "
"2003","53020","11","0308","0120","04","Elem. Schools","N","Barron Area","Ridgeland El","PreK-12","91                            ","3                             ","3.296700                      ","88                            ","96.703200                     "
"2003","52163","11","0308","0140","04","Mid/Jr Hi Schools","N","Barron Area","Riverview Mid","PreK-12","333                           ","45                            ","13.513500                     ","288                           ","86.486400                     "
"2003","52164","11","0308","0160","04","Elem. Schools","N","Barron Area","Woodland El","PreK-12","428                           ","73                            ","17.056000                     ","355                           ","82.943900                     "
"2003","54786","11","0308","9410","4C","High Schools","Y","Barron Area","Barron County Learning Center","PreK-12","12                            ","0                             ","0.000000                      ","12                            ","100.000000                    "
"2003","53443","11","0441","","03","High Schools","N","Birchwood","","PreK-12","123                           ","11                            ","8.943000                      ","112                           ","91.056900                     "
"2003","53443","11","0441","","03","Mid/Jr Hi Schools","N","Birchwood","","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2003","53443","11","0441","","03","Elem. Schools","N","Birchwood","","PreK-12","213                           ","34                            ","15.962400                     ","179                           ","84.037500                     "
"2003","53443","11","0441","","03","El/Sec Combined Schls","N","Birchwood","","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2003","52168","11","0441","0020","04","Elem. Schools","N","Birchwood","Birchwood El","PreK-12","213                           ","34                            ","15.962400                     ","179                           ","84.037500                     "
"2003","52169","11","0441","0040","04","High Schools","N","Birchwood","Birchwood Hi","PreK-12","123                           ","11                            ","8.943000                      ","112                           ","91.056900                     "
"2003","53430","11","0637","","03","El/Sec Combined Schls","N","Boyceville Community","","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2003","53430","11","0637","","03","Elem. Schools","N","Boyceville Community","","PreK-12","415                           ","59                            ","14.216800                     ","356                           ","85.783100                     "
"2003","53430","11","0637","","03","Mid/Jr Hi Schools","N","Boyceville Community","","PreK-12","193                           ","33                            ","17.098400                     ","160                           ","82.901500                     "
"2003","53430","11","0637","","03","High Schools","N","Boyceville Community","","PreK-12","318                           ","45                            ","14.150900                     ","273                           ","85.849000                     "
"2003","52126","11","0637","0020","04","Elem. Schools","N","Boyceville Community","Tiffany Creek El","PreK-12","415                           ","59                            ","14.216800                     ","356                           ","85.783100                     "
"2003","52127","11","0637","0040","04","High Schools","N","Boyceville Community","Boyceville Hi","PreK-12","318                           ","45                            ","14.150900                     ","273                           ","85.849000                     "
"2003","54525","11","0637","0200","04","Mid/Jr Hi Schools","N","Boyceville Community","Boyceville Middle Sch","PreK-12","193                           ","33                            ","17.098400                     ","160                           ","82.901500                     "
