"year","agency_key","CESA","district_number","school_number","agency_type","school_type","charter","district_name","school_name","grade_label","total_enrollment_prek-12","number_female","percent_female","number_male","percent_male","number_am_ind","percent_am_ind","number_asian","percent_asian","number_black","percent_black","number_hispanic","percent_hispanic","number_white","percent_white"
"1997","05178","05","0014","","03","Elem      ","N","Adams-Friendship Area","","Elementary School Type/ Prek-12","1101",510,"46.321500                     ",591,"53.678400                     ",8,"0.726600                      ",9,"0.817400                      ",12,"1.089900                      ",37,"3.360500                      ",1035,"94.005400                     "
"1997","05178","05","0014","","03","Mid/Jr Hi ","N","Adams-Friendship Area","","Middle/Junior High School Type/ Prek-12","324",141,"43.518500                     ",183,"56.481400                     ",2,"0.617200                      ",3,"0.925900                      ",3,"0.925900                      ",9,"2.777700                      ",307,"94.753000                     "
"1997","05178","05","0014","","03","High      ","N","Adams-Friendship Area","","High School Type/ PreK-12","617",279,"45.218800                     ",338,"54.781100                     ",7,"1.134500                      ",4,"0.648200                      ",7,"1.134500                      ",18,"2.917300                      ",581,"94.165300                     "
"1997","05178","05","0014","","03","El/Sec    ","N","Adams-Friendship Area","","Combined Elementary/Secondary School Type/ Prek-12","0",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            "
"1997","05178","05","0014","","03","Summary   ","N","Adams-Friendship Area","","Grades PreK-12","2042",930,"45.543500                     ",1112,"54.456400                     ",17,"0.832500                      ",16,"0.783500                      ",22,"1.077300                      ",64,"3.134100                      ",1923,"94.172300                     "
"1997","06385","05","0014","0020","04","Elem      ","N","Adams-Friendship Area","Adams El","Grades PreK-12","283",148,"52.296800                     ",135,"47.703100                     ",0,"0.000000                      ",4,"1.413400                      ",2,"0.706700                      ",10,"3.533500                      ",267,"94.346200                     "
"1997","06386","05","0014","0040","04","High      ","N","Adams-Friendship Area","Adams-Friendship Hi","Grades PreK-12","617",279,"45.218800                     ",338,"54.781100                     ",7,"1.134500                      ",4,"0.648200                      ",7,"1.134500                      ",18,"2.917300                      ",581,"94.165300                     "
"1997","06384","05","0014","0080","04","Elem      ","N","Adams-Friendship Area","Castle Rock El","Grades PreK-12","161",61,"37.888100                     ",100,"62.111800                     ",3,"1.863300                      ",0,"0.000000                      ",8,"4.968900                      ",7,"4.347800                      ",143,"88.819800                     "
"1997","06387","05","0014","0100","04","Mid/Jr Hi ","N","Adams-Friendship Area","Adams-Friendship Jr","Grades PreK-12","324",141,"43.518500                     ",183,"56.481400                     ",2,"0.617200                      ",3,"0.925900                      ",3,"0.925900                      ",9,"2.777700                      ",307,"94.753000                     "
"1997","06388","05","0014","0120","04","Elem      ","N","Adams-Friendship Area","Friendship El","Grades PreK-12","309",135,"43.689300                     ",174,"56.310600                     ",3,"0.970800                      ",3,"0.970800                      ",1,"0.323600                      ",8,"2.588900                      ",294,"95.145600                     "
