"year","agency_key","CESA","district_number","school_number","agency_type","school_type","charter","district_name","school_name","grade_label","total_enrollment_prek-12","number_female","percent_female","number_male","percent_male","number_am_ind","percent_am_ind","number_asian","percent_asian","number_black","percent_black","number_hispanic","percent_hispanic","number_white","percent_white"
"2000","32930","11","0119","","03","Elem      ","N","Amery","","Elementary School Type/ Prek-12","561",283,"50.445600                     ",278,"49.554300                     ",4,"0.713000                      ",3,"0.534700                      ",2,"0.356500                      ",10,"1.782500                      ",542,"96.613100                     "
"2000","32930","11","0119","","03","Mid/Jr Hi ","N","Amery","","Middle/Junior High School Type/ Prek-12","679",336,"49.484500                     ",343,"50.515400                     ",19,"2.798200                      ",6,"0.883600                      ",2,"0.294500                      ",6,"0.883600                      ",646,"95.139900                     "
"2000","32930","11","0119","","03","High      ","N","Amery","","High School Type/ PreK-12","614",316,"51.465700                     ",298,"48.534200                     ",18,"2.931500                      ",0,"0.000000                      ",2,"0.325700                      ",7,"1.140000                      ",587,"95.602600                     "
"2000","32930","11","0119","","03","El/Sec    ","N","Amery","","Combined Elementary/Secondary School Type/ Prek-12","0",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            "
"2000","32930","11","0119","","03","Summary   ","N","Amery","","Grades PreK-12","1854",935,"50.431400                     ",919,"49.568500                     ",41,"2.211400                      ",9,"0.485400                      ",6,"0.323600                      ",23,"1.240500                      ",1775,"95.738900                     "
"2000","31281","11","0119","0020","04","Elem      ","N","Amery","Lien El","Grades PreK-12","561",283,"50.445600                     ",278,"49.554300                     ",4,"0.713000                      ",3,"0.534700                      ",2,"0.356500                      ",10,"1.782500                      ",542,"96.613100                     "
"2000","31282","11","0119","0040","04","High      ","N","Amery","Amery Hi","Grades PreK-12","614",316,"51.465700                     ",298,"48.534200                     ",18,"2.931500                      ",0,"0.000000                      ",2,"0.325700                      ",7,"1.140000                      ",587,"95.602600                     "
"2000","31283","11","0119","0050","04","Mid/Jr Hi ","N","Amery","Lakeview Intermediate","Grades PreK-12","280",141,"50.357100                     ",139,"49.642800                     ",4,"1.428500                      ",3,"1.071400                      ",1,"0.357100                      ",4,"1.428500                      ",268,"95.714200                     "
"2000","31284","11","0119","0060","04","Mid/Jr Hi ","N","Amery","Amery Mid","Grades PreK-12","399",195,"48.872100                     ",204,"51.127800                     ",15,"3.759300                      ",3,"0.751800                      ",1,"0.250600                      ",2,"0.501200                      ",378,"94.736800                     "
"2000","32931","11","0231","","03","Elem      ","N","Baldwin-Woodville Area","","Elementary School Type/ Prek-12","451",233,"51.662900                     ",218,"48.337000                     ",0,"0.000000                      ",6,"1.330300                      ",2,"0.443400                      ",5,"1.108600                      ",438,"97.117500                     "
"2000","32931","11","0231","","03","Mid/Jr Hi ","N","Baldwin-Woodville Area","","Middle/Junior High School Type/ Prek-12","384",192,"50.000000                     ",192,"50.000000                     ",0,"0.000000                      ",1,"0.260400                      ",1,"0.260400                      ",0,"0.000000                      ",382,"99.479100                     "
"2000","32931","11","0231","","03","High      ","N","Baldwin-Woodville Area","","High School Type/ PreK-12","446",226,"50.672600                     ",220,"49.327300                     ",0,"0.000000                      ",4,"0.896800                      ",0,"0.000000                      ",3,"0.672600                      ",439,"98.430400                     "
"2000","32931","11","0231","","03","El/Sec    ","N","Baldwin-Woodville Area","","Combined Elementary/Secondary School Type/ Prek-12","0",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            "
"2000","32931","11","0231","","03","Summary   ","N","Baldwin-Woodville Area","","Grades PreK-12","1281",651,"50.819600                     ",630,"49.180300                     ",0,"0.000000                      ",11,"0.858700                      ",3,"0.234100                      ",8,"0.624500                      ",1259,"98.282500                     "
"2000","31285","11","0231","0040","04","High      ","N","Baldwin-Woodville Area","Baldwin-Woodville Hi","Grades PreK-12","446",226,"50.672600                     ",220,"49.327300                     ",0,"0.000000                      ",4,"0.896800                      ",0,"0.000000                      ",3,"0.672600                      ",439,"98.430400                     "
"2000","31286","11","0231","0070","04","Elem      ","N","Baldwin-Woodville Area","Greenfield El","Grades PreK-12","451",233,"51.662900                     ",218,"48.337000                     ",0,"0.000000                      ",6,"1.330300                      ",2,"0.443400                      ",5,"1.108600                      ",438,"97.117500                     "
