"year","agency_key","CESA","district_number","school_number","agency_type","school_type","charter","district_name","school_name","grade_label","total_enrollment_prek-12","number_female","percent_female","number_male","percent_male","number_am_ind","percent_am_ind","number_asian","percent_asian","number_black","percent_black","number_hispanic","percent_hispanic","number_white","percent_white"
"2004","67348","05","0014","","03","Elem      ","N","Adams-Friendship Area","","Elementary School Type/ Prek-12","913",418,"45.783100                     ",495,"54.216800                     ",11,"1.204800                      ",2,"0.219000                      ",4,"0.438100                      ",51,"5.585900                      ",845,"92.552000                     "
"2004","67348","05","0014","","03","Mid/Jr Hi ","N","Adams-Friendship Area","","Middle/Junior High School Type/ Prek-12","494",241,"48.785400                     ",253,"51.214500                     ",2,"0.404800                      ",0,"0.000000                      ",5,"1.012100                      ",21,"4.251000                      ",466,"94.331900                     "
"2004","67348","05","0014","","03","High      ","N","Adams-Friendship Area","","High School Type/ PreK-12","649",305,"46.995300                     ",344,"53.004600                     ",11,"1.694900                      ",1,"0.154000                      ",4,"0.616300                      ",30,"4.622400                      ",603,"92.912100                     "
"2004","67348","05","0014","","03","El/Sec    ","N","Adams-Friendship Area","","Combined Elementary/Secondary School Type/ Prek-12","0",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            "
"2004","67348","05","0014","","03","Summary   ","N","Adams-Friendship Area","","Grades PreK-12","2056",964,"46.887100                     ",1092,"53.112800                     ",24,"1.167300                      ",3,"0.145900                      ",13,"0.632200                      ",102,"4.961000                      ",1914,"93.093300                     "
"2004","65416","05","0014","0040","04","High      ","N","Adams-Friendship Area","Adams-Friendship Hi","Grades PreK-12","649",305,"46.995300                     ",344,"53.004600                     ",11,"1.694900                      ",1,"0.154000                      ",4,"0.616300                      ",30,"4.622400                      ",603,"92.912100                     "
"2004","67345","05","0014","0080","04","Elem      ","N","Adams-Friendship Area","Castle Rock El","Grades PreK-12","139",65,"46.762500                     ",74,"53.237400                     ",0,"0.000000                      ",0,"0.000000                      ",2,"1.438800                      ",3,"2.158200                      ",134,"96.402800                     "
"2004","67347","05","0014","0130","04","Elem      ","N","Adams-Friendship Area","Adams-Friendship El","Grades PreK-12","457",212,"46.389400                     ",245,"53.610500                     ",7,"1.531700                      ",2,"0.437600                      ",1,"0.218800                      ",31,"6.783300                      ",416,"91.028400                     "
"2004","67288","05","0014","0140","04","Elem      ","N","Adams-Friendship Area","Grand Marsh El","Grades PreK-12","143",68,"47.552400                     ",75,"52.447500                     ",2,"1.398600                      ",0,"0.000000                      ",0,"0.000000                      ",13,"9.090900                      ",128,"89.510400                     "
"2004","67304","05","0014","0180","04","Elem      ","N","Adams-Friendship Area","Pine Land El","Grades PreK-12","59",27,"45.762700                     ",32,"54.237200                     ",2,"3.389800                      ",0,"0.000000                      ",0,"0.000000                      ",1,"1.694900                      ",56,"94.915200                     "
"2004","66390","05","0014","0200","04","Elem      ","N","Adams-Friendship Area","Roche A Cri El","Grades PreK-12","115",46,"40.000000                     ",69,"60.000000                     ",0,"0.000000                      ",0,"0.000000                      ",1,"0.869500                      ",3,"2.608600                      ",111,"96.521700                     "
