"year","agency_key","CESA","district_number","school_number","agency_type","school_type","charter","district_name","school_name","grade_label","total_enrollment_prek-12","number_with_disabilities","percent_with_disabilities","number_without_disabilities","percent_without_disabilities"
"2005","75931","04","0084","","03","High Schools","N","Alma","","PreK-12","134                           ","20                            ","14.925300                     ","114                           ","85.074600                     "
"2005","75931","04","0084","","03","Mid/Jr Hi Schools","N","Alma","","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2005","75931","04","0084","","03","Elem. Schools","N","Alma","","PreK-12","206                           ","24                            ","11.650400                     ","182                           ","88.349500                     "
"2005","75931","04","0084","","03","El/Sec Combined Schls","N","Alma","","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2005","79230","04","0084","0020","04","Elem. Schools","N","Alma","Alma Elementary","PreK-12","206                           ","24                            ","11.650400                     ","182                           ","88.349500                     "
"2005","75946","04","0084","0040","04","High Schools","N","Alma","Alma High","PreK-12","134                           ","20                            ","14.925300                     ","114                           ","85.074600                     "
"2005","75934","04","0091","","03","El/Sec Combined Schls","N","Alma Center","","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2005","75934","04","0091","","03","Elem. Schools","N","Alma Center","","PreK-12","344                           ","49                            ","14.244100                     ","295                           ","85.755800                     "
"2005","75934","04","0091","","03","Mid/Jr Hi Schools","N","Alma Center","","PreK-12","101                           ","14                            ","13.861300                     ","87                            ","86.138600                     "
"2005","75934","04","0091","","03","High Schools","N","Alma Center","","PreK-12","174                           ","26                            ","14.942500                     ","148                           ","85.057400                     "
"2005","75932","04","0091","0060","04","High Schools","N","Alma Center","Lincoln High","PreK-12","174                           ","26                            ","14.942500                     ","148                           ","85.057400                     "
"2005","75933","04","0091","0070","04","","N","Alma Center","Lincoln Junior High","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2005","75706","04","0091","0080","04","Elem. Schools","N","Alma Center","Lincoln Elementary","PreK-12","344                           ","49                            ","14.244100                     ","295                           ","85.755800                     "
"2005","75937","04","0154","","03","High Schools","N","Arcadia","","PreK-12","296                           ","33                            ","11.148600                     ","263                           ","88.851300                     "
"2005","75937","04","0154","","03","Mid/Jr Hi Schools","N","Arcadia","","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2005","75937","04","0154","","03","Elem. Schools","N","Arcadia","","PreK-12","635                           ","100                           ","15.748000                     ","535                           ","84.251900                     "
"2005","75937","04","0154","","03","El/Sec Combined Schls","N","Arcadia","","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2005","75935","04","0154","0020","04","Elem. Schools","N","Arcadia","Arcadia Elementary","PreK-12","635                           ","100                           ","15.748000                     ","535                           ","84.251900                     "
