"year","agency_key","CESA","district_number","school_number","agency_type","school_type","charter","district_name","school_name","grade_label","total_enrollment_K-12","number_female","percent_female","number_male","percent_male","number_am_ind","percent_am_ind","number_asian","percent_asian","number_black","percent_black","number_hispanic","percent_hispanic","number_white","percent_white"
"2005","76234","10","0007","","03","High Schools","N","Abbotsford","","High Schools","355",172,48.450700,183,51.549200,0,.000000,0,.000000,1,.281600,35,9.859100,319,89.859100
"2005","76234","10","0007","","03","Mid/Jr Hi Schools","N","Abbotsford","","Mid/Jr Hi Schools","0",,.000000,,.000000,,.000000,,.000000,,.000000,,.000000,,.000000
"2005","76234","10","0007","","03","Elem. Schools","N","Abbotsford","","Elem. Schools","288",134,46.527700,154,53.472200,0,.000000,4,1.388800,1,.347200,44,15.277700,239,82.986100
"2005","76234","10","0007","","03","El/Sec Combined Schls","N","Abbotsford","","El/Sec Combined Schls","0",,.000000,,.000000,,.000000,,.000000,,.000000,,.000000,,.000000
"2005","76234","10","0007","","03","Summary","N","Abbotsford","","Summary","643",306,47.589400,337,52.410500,0,.000000,4,.622000,2,.311000,79,12.286100,558,86.780700
"2005","76232","10","0007","0020","04","Elem. Schools","N","Abbotsford","Abbotsford Elementary","Elem. Schools","288",134,46.527700,154,53.472200,0,.000000,4,1.388800,1,.347200,44,15.277700,239,82.986100
"2005","76233","10","0007","0040","04","High Schools","N","Abbotsford","Abbotsford Jr/Sr High","High Schools","355",172,48.450700,183,51.549200,0,.000000,0,.000000,1,.281600,35,9.859100,319,89.859100
"2005","75788","10","0112","","03","High Schools","N","Altoona","","High Schools","443",217,48.984100,226,51.015800,6,1.354400,15,3.386000,5,1.128600,4,.902900,413,93.227900
"2005","75788","10","0112","","03","Mid/Jr Hi Schools","N","Altoona","","Mid/Jr Hi Schools","417",197,47.242200,220,52.757700,3,.719400,13,3.117500,9,2.158200,4,.959200,388,93.045500
"2005","75788","10","0112","","03","Elem. Schools","N","Altoona","","Elem. Schools","549",272,49.544600,277,50.455300,2,.364200,13,2.367900,18,3.278600,8,1.457100,508,92.531800
"2005","75788","10","0112","","03","El/Sec Combined Schls","N","Altoona","","El/Sec Combined Schls","0",,.000000,,.000000,,.000000,,.000000,,.000000,,.000000,,.000000
"2005","75788","10","0112","","03","Summary","N","Altoona","","Summary","1409",686,48.687000,723,51.312900,11,.780600,41,2.909800,32,2.271100,16,1.135500,1309,92.902700
"2005","75785","10","0112","0040","04","High Schools","N","Altoona","Altoona High","High Schools","443",217,48.984100,226,51.015800,6,1.354400,15,3.386000,5,1.128600,4,.902900,413,93.227900
"2005","75786","10","0112","0060","04","Mid/Jr Hi Schools","N","Altoona","Altoona Middle","Mid/Jr Hi Schools","417",197,47.242200,220,52.757700,3,.719400,13,3.117500,9,2.158200,4,.959200,388,93.045500
"2005","75787","10","0112","0080","04","Elem. Schools","N","Altoona","Pedersen Elementary","Elem. Schools","549",272,49.544600,277,50.455300,2,.364200,13,2.367900,18,3.278600,8,1.457100,508,92.531800
"2005","75776","10","0217","","03","High Schools","N","Augusta","","High Schools","344",168,48.837200,176,51.162700,2,.581300,0,.000000,4,1.162700,6,1.744100,332,96.511600
"2005","75776","10","0217","","03","Mid/Jr Hi Schools","N","Augusta","","Mid/Jr Hi Schools","0",,.000000,,.000000,,.000000,,.000000,,.000000,,.000000,,.000000
