"year","agency_key","CESA","district_number","school_number","agency_type","school_type","charter","district_name","school_name","grade_label","race_ethnicity","gender","enrollment_prek-12","number_lep_spanish","percent_lep_spanish","number_lep_hmong","percent_lep_hmong","number_lep_other","percent_lep_other","number_english_proficient","percent_english_proficient"
"2006","10429","08","0602","","03","Elem      ","N","Bonduel","","Elementary School Type/ Prek-12","All Races","Both Genders",369,6,"1.6260162600                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",363,"98.3739837300                 "
"2006","10429","08","0602","","03","Mid/Jr Hi ","N","Bonduel","","Middle/Junior High School Type/ Prek-12","All Races","Both Genders",178,4,"2.2471910100                  ",0,"0.0000000000                  ",1,"0.5617977500                  ",173,"97.1910112300                 "
"2006","10429","08","0602","","03","High      ","N","Bonduel","","High School Type/ PreK-12","All Races","Both Genders",350,2,"0.5714285700                  ",0,"0.0000000000                  ",1,"0.2857142800                  ",347,"99.1428571400                 "
"2006","10429","08","0602","","03","El/Sec    ","N","Bonduel","","Combined Elementary/Secondary School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            "
"2006","10429","08","0602","","03","Summary   ","N","Bonduel","","Grades PreK-12","All Races","Both Genders",897,12,"1.3377926400                  ",0,"0.0000000000                  ",2,"0.2229654400                  ",883,"98.4392419100                 "
"2006","10421","08","0602","0020","04","Elem      ","N","Bonduel","Bonduel El","Grades PreK-12","All Races","Both Genders",310,6,"1.9354838700                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",304,"98.0645161200                 "
"2006","10422","08","0602","0021","04","Mid/Jr Hi ","N","Bonduel","Bonduel Mid","Grades PreK-12","All Races","Both Genders",178,4,"2.2471910100                  ",0,"0.0000000000                  ",1,"0.5617977500                  ",173,"97.1910112300                 "
"2006","10423","08","0602","0040","04","High      ","N","Bonduel","Bonduel Hi","Grades PreK-12","All Races","Both Genders",350,2,"0.5714285700                  ",0,"0.0000000000                  ",1,"0.2857142800                  ",347,"99.1428571400                 "
"2006","10424","08","0602","0080","04","Elem      ","N","Bonduel","Navarino El","Grades PreK-12","All Races","Both Genders",59,0,"0.0000000000                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",59,"100.0000000000                "
"2006","12495","08","0623","","03","Elem      ","N","Bowler","","Elementary School Type/ Prek-12","All Races","Both Genders",246,0,"0.0000000000                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",246,"100.0000000000                "
"2006","12495","08","0623","","03","Mid/Jr Hi ","N","Bowler","","Middle/Junior High School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            "
"2006","12495","08","0623","","03","High      ","N","Bowler","","High School Type/ PreK-12","All Races","Both Genders",209,0,"0.0000000000                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",209,"100.0000000000                "
"2006","12495","08","0623","","03","El/Sec    ","N","Bowler","","Combined Elementary/Secondary School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            "
"2006","12495","08","0623","","03","Summary   ","N","Bowler","","Grades PreK-12","All Races","Both Genders",455,0,"0.0000000000                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",455,"100.0000000000                "
"2006","12492","08","0623","0020","04","Elem      ","N","Bowler","Bowler El","Grades PreK-12","All Races","Both Genders",246,0,"0.0000000000                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",246,"100.0000000000                "
