"year","agency_key","CESA","district_number","school_number","agency_type","school_type","charter","district_name","school_name","grade_label","race_ethnicity","gender","total_enrollment_prek-12","pre-k_number","pre-k_percent","kinder_number","kinder_percent","grade_1_number","grade_1_percent","grade_2_number","grade_2_percent","grade_3_number","grade_3_percent","grade_4_number","grade_4_percent","grade_5_number","grade_5_percent","grade_6_number","grade_6_percent","grade_7_number","grade_7_percent","grade_8_number","grade_8_percent","grade_9_number","grade_9_percent","grade_10_number","grade_10_percent","grade_11_number","grade_11_percent","grade_12_number","grade_12_percent"
"2005","77956","01","0714","","03","Summary   ","N","Elmbrook","","Grades PreK-12","All Races","Both Genders","7617",70,"0.918900                      ",425,"5.579600                      ",519,"6.813700                      ",480,"6.301600                      ",494,"6.485400                      ",510,"6.695500                      ",557,"7.312500                      ",564,"7.404400                      ",606,"7.955800                      ",638,"8.376000                      ",707,"9.281800                      ",723,"9.491900                      ",669,"8.782900                      ",655,"8.599100                      "
"2005","77967","01","0714","0020","04","High      ","N","Elmbrook","Central High","Grades PreK-12","All Races","Both Genders","1352",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",344,"25.443700                     ",377,"27.884600                     ",321,"23.742600                     ",310,"22.928900                     "
"2005","77854","01","0714","0040","04","Elem      ","N","Elmbrook","Brookfield Elementary","Grades PreK-12","All Races","Both Genders","463",0,"0.000000                      ",76,"16.414600                     ",91,"19.654400                     ",59,"12.742900                     ",89,"19.222400                     ",69,"14.902800                     ",79,"17.062600                     ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      "
"2005","77968","01","0714","0060","04","High      ","N","Elmbrook","East High","Grades PreK-12","All Races","Both Genders","1383",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",360,"26.030300                     ",342,"24.728800                     ",342,"24.728800                     ",339,"24.511900                     "
"2005","79638","01","0714","0080","04","Elem      ","N","Elmbrook","Burleigh Elementary","Grades PreK-12","All Races","Both Genders","783",70,"8.939900                      ",85,"10.855600                     ",127,"16.219600                     ",115,"14.687100                     ",123,"15.708800                     ",128,"16.347300                     ",135,"17.241300                     ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      "
"2005","77969","01","0714","0100","04","Elem      ","N","Elmbrook","Dixon Elementary","Grades PreK-12","All Races","Both Genders","426",0,"0.000000                      ",63,"14.788700                     ",65,"15.258200                     ",78,"18.309800                     ",66,"15.492900                     ",78,"18.309800                     ",76,"17.840300                     ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      "
"2005","77631","01","0714","0150","04","Mid/Jr Hi ","N","Elmbrook","Pilgrim Park Middle","Grades PreK-12","All Races","Both Genders","879",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",280,"31.854300                     ",301,"34.243400                     ",298,"33.902100                     ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      "
"2005","79614","01","0714","0160","04","El/Sec    ","N","Elmbrook","Fairview South","Grades PreK-12","All Races","Both Genders","36",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",5,"13.888800                     ",5,"13.888800                     ",3,"8.333300                      ",4,"11.111100                     ",3,"8.333300                      ",4,"11.111100                     ",6,"16.666600                     ",6,"16.666600                     "
"2005","77855","01","0714","0170","04","Elem      ","N","Elmbrook","Hillside Elementary","Grades PreK-12","All Races","Both Genders","393",0,"0.000000                      ",67,"17.048300                     ",66,"16.793800                     ",68,"17.302700                     ",64,"16.284900                     ",64,"16.284900                     ",64,"16.284900                     ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      "
"2005","75217","01","0714","0190","04","Elem      ","N","Elmbrook","Swanson Elementary","Grades PreK-12","All Races","Both Genders","608",0,"0.000000                      ",77,"12.664400                     ",108,"17.763100                     ",95,"15.625000                     ",97,"15.953900                     ",105,"17.269700                     ",126,"20.723600                     ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      "
"2005","77632","01","0714","0250","04","Elem      ","N","Elmbrook","Tonawanda Elementary","Grades PreK-12","All Races","Both Genders","377",0,"0.000000                      ",57,"15.119300                     ",62,"16.445600                     ",65,"17.241300                     ",55,"14.588800                     ",66,"17.506600                     ",72,"19.098100                     ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      "
"2005","77856","01","0714","0270","04","Mid/Jr Hi ","N","Elmbrook","Wisconsin Hills Middle","Grades PreK-12","All Races","Both Genders","917",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",279,"30.425200                     ",302,"32.933400                     ",336,"36.641200                     ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      "
"2005","77186","01","0721","","03","Summary   ","N","Brown Deer","","Grades PreK-12","All Races","Both Genders","1850",15,"0.810800                      ",91,"4.918900                      ",110,"5.945900                      ",111,"6.000000                      ",109,"5.891800                      ",125,"6.756700                      ",133,"7.189100                      ",144,"7.783700                      ",156,"8.432400                      ",145,"7.837800                      ",196,"10.594500                     ",180,"9.729700                      ",186,"10.054000                     ",149,"8.054000                      "
"2005","77193","01","0721","0040","04","High      ","N","Brown Deer","Brown Deer High","Grades PreK-12","All Races","Both Genders","711",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",196,"27.566800                     ",180,"25.316400                     ",186,"26.160300                     ",149,"20.956300                     "
"2005","77194","01","0721","0060","04","Mid/Jr Hi ","N","Brown Deer","Brown Deer Middle","Grades PreK-12","All Races","Both Genders","577",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",132,"22.876900                     ",144,"24.956600                     ",156,"27.036300                     ",145,"25.129900                     ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      "
"2005","77195","01","0721","0080","04","Elem      ","N","Brown Deer","Dean Elementary","Grades PreK-12","All Races","Both Genders","330",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",95,"28.787800                     ",109,"33.030300                     ",125,"37.878700                     ",1,"0.303000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      "
"2005","77196","01","0721","0090","04","Elem      ","N","Brown Deer","Algonquin Elementary","Grades PreK-12","All Races","Both Genders","232",15,"6.465500                      ",91,"39.224100                     ",110,"47.413700                     ",16,"6.896500                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      "
"2005","78891","01","0721","9200","4C","Mid/Jr Hi ","Y","Brown Deer","Passage Middle School","Grades PreK-12","All Races","Both Genders","0",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            "
"2005","79635","01","1015","","03","Summary   ","N","Cedarburg","","Grades PreK-12","All Races","Both Genders","3161",39,"1.233700                      ",186,"5.884200                      ",206,"6.516900                      ",195,"6.168900                      ",196,"6.200500                      ",211,"6.675100                      ",206,"6.516900                      ",229,"7.244500                      ",257,"8.130300                      ",261,"8.256800                      ",277,"8.763000                      ",293,"9.269200                      ",315,"9.965200                      ",290,"9.174300                      "
"2005","79633","01","1015","0020","04","High      ","N","Cedarburg","Cedarburg High","Grades PreK-12","All Races","Both Genders","1175",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",277,"23.574400                     ",293,"24.936100                     ",315,"26.808500                     ",290,"24.680800                     "
"2005","77951","01","1015","0070","04","Elem      ","N","Cedarburg","Parkview Elementary","Grades PreK-12","All Races","Both Genders","445",39,"8.764000                      ",64,"14.382000                     ",61,"13.707800                     ",68,"15.280800                     ",73,"16.404400                     ",64,"14.382000                     ",76,"17.078600                     ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      "
"2005","77952","01","1015","0075","04","Elem      ","N","Cedarburg","Westlawn Elementary","Grades PreK-12","All Races","Both Genders","321",0,"0.000000                      ",50,"15.576300                     ",51,"15.887800                     ",55,"17.133900                     ",48,"14.953200                     ",63,"19.626100                     ",54,"16.822400                     ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      "
"2005","79634","01","1015","0090","04","Elem      ","N","Cedarburg","Thorson Elementary","Grades PreK-12","All Races","Both Genders","473",0,"0.000000                      ",72,"15.221900                     ",94,"19.873100                     ",72,"15.221900                     ",75,"15.856200                     ",84,"17.758900                     ",76,"16.067600                     ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      "
"2005","77953","01","1015","0100","04","Mid/Jr Hi ","N","Cedarburg","Webster Middle","Grades PreK-12","All Races","Both Genders","747",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",229,"30.655900                     ",257,"34.404200                     ",261,"34.939700                     ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      "
"2005","77651","01","1253","","03","Summary   ","N","Cudahy","","Grades PreK-12","All Races","Both Genders","2850",154,"5.403500                      ",186,"6.526300                      ",198,"6.947300                      ",180,"6.315700                      ",185,"6.491200                      ",189,"6.631500                      ",207,"7.263100                      ",197,"6.912200                      ",218,"7.649100                      ",209,"7.333300                      ",270,"9.473600                      ",222,"7.789400                      ",226,"7.929800                      ",209,"7.333300                      "
"2005","77660","01","1253","0022","04","Mid/Jr Hi ","N","Cudahy","Cudahy Middle","Grades PreK-12","All Races","Both Genders","427",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",218,"51.053800                     ",209,"48.946100                     ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      "
