"year","agency_key","CESA","district_number","school_number","agency_type","school_type","charter","district_name","school_name","grade_label","total_enrollment_prek-12","number_with_disabilities","percent_with_disabilities","number_without_disabilities","percent_without_disabilities"
"2003","53609","09","0140","","03","High Schools","N","Antigo","","PreK-12","1096                          ","153                           ","13.959800                     ","943                           ","86.040100                     "
"2003","53609","09","0140","","03","Mid/Jr Hi Schools","N","Antigo","","PreK-12","574                           ","96                            ","16.724700                     ","478                           ","83.275200                     "
"2003","53609","09","0140","","03","Elem. Schools","N","Antigo","","PreK-12","1228                          ","204                           ","16.612300                     ","1024                          ","83.387600                     "
"2003","53609","09","0140","","03","El/Sec Combined Schls","N","Antigo","","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2003","52775","09","0140","0020","04","Elem. Schools","N","Antigo","Aniwa El","PreK-12","88                            ","13                            ","14.772700                     ","75                            ","85.227200                     "
"2003","52776","09","0140","0050","04","Mid/Jr Hi Schools","N","Antigo","Antigo Mid","PreK-12","574                           ","96                            ","16.724700                     ","478                           ","83.275200                     "
"2003","52777","09","0140","0070","04","High Schools","N","Antigo","Antigo Hi","PreK-12","1096                          ","153                           ","13.959800                     ","943                           ","86.040100                     "
"2003","52778","09","0140","0080","04","Elem. Schools","N","Antigo","Crestwood El","PreK-12","121                           ","5                             ","4.132200                      ","116                           ","95.867700                     "
"2003","52779","09","0140","0100","04","Elem. Schools","N","Antigo","East El","PreK-12","144                           ","51                            ","35.416600                     ","93                            ","64.583300                     "
"2003","52022","09","0140","0160","04","Elem. Schools","N","Antigo","Mattoon El","PreK-12","86                            ","11                            ","12.790600                     ","75                            ","87.209300                     "
"2003","52780","09","0140","0180","04","Elem. Schools","N","Antigo","North El","PreK-12","144                           ","37                            ","25.694400                     ","107                           ","74.305500                     "
"2003","52781","09","0140","0200","04","Elem. Schools","N","Antigo","Pleasant View El","PreK-12","128                           ","7                             ","5.468700                      ","121                           ","94.531200                     "
"2003","52010","09","0140","0240","04","Elem. Schools","N","Antigo","River Grove El","PreK-12","96                            ","17                            ","17.708300                     ","79                            ","82.291600                     "
"2003","52783","09","0140","0260","04","Elem. Schools","N","Antigo","Spring Valley El","PreK-12","163                           ","26                            ","15.950900                     ","137                           ","84.049000                     "
"2003","52784","09","0140","0280","04","Elem. Schools","N","Antigo","West El","PreK-12","170                           ","22                            ","12.941100                     ","148                           ","87.058800                     "
"2003","50171","09","0140","0300","04","Elem. Schools","N","Antigo","Antigo Kindergarten Center","PreK-12","88                            ","15                            ","17.045400                     ","73                            ","82.954500                     "
"2003","53396","09","0196","","03","El/Sec Combined Schls","N","Athens","","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2003","53396","09","0196","","03","Elem. Schools","N","Athens","","PreK-12","232                           ","36                            ","15.517200                     ","196                           ","84.482700                     "
"2003","53396","09","0196","","03","Mid/Jr Hi Schools","N","Athens","","PreK-12","107                           ","23                            ","21.495300                     ","84                            ","78.504600                     "
"2003","53396","09","0196","","03","High Schools","N","Athens","","PreK-12","229                           ","36                            ","15.720500                     ","193                           ","84.279400                     "
"2003","52785","09","0196","0020","04","Elem. Schools","N","Athens","Athens El","PreK-12","232                           ","36                            ","15.517200                     ","196                           ","84.482700                     "
"2003","54602","09","0196","0040","04","High Schools","N","Athens","Athens Hi","PreK-12","229                           ","36                            ","15.720500                     ","193                           ","84.279400                     "
"2003","52786","09","0196","0060","04","","N","Athens","Athens Jr","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2003","53630","09","0616","","03","High Schools","N","Boulder Junction J1","","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2003","53630","09","0616","","03","Mid/Jr Hi Schools","N","Boulder Junction J1","","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2003","53630","09","0616","","03","Elem. Schools","N","Boulder Junction J1","","PreK-12","202                           ","26                            ","12.871200                     ","176                           ","87.128700                     "
"2003","53630","09","0616","","03","El/Sec Combined Schls","N","Boulder Junction J1","","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2003","52883","09","0616","0050","04","Elem. Schools","N","Boulder Junction J1","North Lakeland El","PreK-12","202                           ","26                            ","12.871200                     ","176                           ","87.128700                     "
"2003","53412","09","1526","","03","El/Sec Combined Schls","N","Northland Pines","","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2003","53412","09","1526","","03","Elem. Schools","N","Northland Pines","","PreK-12","604                           ","79                            ","13.079400                     ","525                           ","86.920500                     "
"2003","53412","09","1526","","03","Mid/Jr Hi Schools","N","Northland Pines","","PreK-12","412                           ","49                            ","11.893200                     ","363                           ","88.106700                     "
"2003","53412","09","1526","","03","High Schools","N","Northland Pines","","PreK-12","563                           ","70                            ","12.433300                     ","493                           ","87.566600                     "
"2003","52059","09","1526","0040","04","Elem. Schools","N","Northland Pines","Northland Pines El-Eagle River","PreK-12","351                           ","46                            ","13.105400                     ","305                           ","86.894500                     "
