"year","agency_key","CESA","district_number","school_number","agency_type","school_type","charter","district_name","school_name","grade_label","total_enrollment_prek-12","number_female","percent_female","number_male","percent_male","number_am_ind","percent_am_ind","number_asian","percent_asian","number_black","percent_black","number_hispanic","percent_hispanic","number_white","percent_white"
"2002","48160","11","0119","","03","Elem      ","N","Amery","","Elementary School Type/ Prek-12","571",267,"46.760000                     ",304,"53.239900                     ",4,"0.700500                      ",3,"0.525300                      ",2,"0.350200                      ",3,"0.525300                      ",559,"97.898400                     "
"2002","48160","11","0119","","03","Mid/Jr Hi ","N","Amery","","Middle/Junior High School Type/ Prek-12","699",351,"50.214500                     ",348,"49.785400                     ",8,"1.144400                      ",3,"0.429100                      ",4,"0.572200                      ",13,"1.859700                      ",671,"95.994200                     "
"2002","48160","11","0119","","03","High      ","N","Amery","","High School Type/ PreK-12","600",298,"49.666600                     ",302,"50.333300                     ",13,"2.166600                      ",3,"0.500000                      ",1,"0.166600                      ",5,"0.833300                      ",578,"96.333300                     "
"2002","48160","11","0119","","03","El/Sec    ","N","Amery","","Combined Elementary/Secondary School Type/ Prek-12","0",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            "
"2002","48160","11","0119","","03","Summary   ","N","Amery","","Grades PreK-12","1870",916,"48.983900                     ",954,"51.016000                     ",25,"1.336800                      ",9,"0.481200                      ",7,"0.374300                      ",21,"1.122900                      ",1808,"96.684400                     "
"2002","46665","11","0119","0020","04","Elem      ","N","Amery","Lien El","Grades PreK-12","571",267,"46.760000                     ",304,"53.239900                     ",4,"0.700500                      ",3,"0.525300                      ",2,"0.350200                      ",3,"0.525300                      ",559,"97.898400                     "
"2002","46666","11","0119","0040","04","High      ","N","Amery","Amery Hi","Grades PreK-12","600",298,"49.666600                     ",302,"50.333300                     ",13,"2.166600                      ",3,"0.500000                      ",1,"0.166600                      ",5,"0.833300                      ",578,"96.333300                     "
"2002","46667","11","0119","0050","04","Mid/Jr Hi ","N","Amery","Lakeview Intermediate","Grades PreK-12","263",137,"52.091200                     ",126,"47.908700                     ",1,"0.380200                      ",0,"0.000000                      ",1,"0.380200                      ",6,"2.281300                      ",255,"96.958100                     "
"2002","46668","11","0119","0060","04","Mid/Jr Hi ","N","Amery","Amery Mid","Grades PreK-12","436",214,"49.082500                     ",222,"50.917400                     ",7,"1.605500                      ",3,"0.688000                      ",3,"0.688000                      ",7,"1.605500                      ",416,"95.412800                     "
"2002","48161","11","0231","","03","Elem      ","N","Baldwin-Woodville Area","","Elementary School Type/ Prek-12","495",245,"49.494900                     ",250,"50.505000                     ",0,"0.000000                      ",6,"1.212100                      ",12,"2.424200                      ",6,"1.212100                      ",471,"95.151500                     "
"2002","48161","11","0231","","03","Mid/Jr Hi ","N","Baldwin-Woodville Area","","Middle/Junior High School Type/ Prek-12","396",204,"51.515100                     ",192,"48.484800                     ",0,"0.000000                      ",1,"0.252500                      ",5,"1.262600                      ",3,"0.757500                      ",387,"97.727200                     "
"2002","48161","11","0231","","03","High      ","N","Baldwin-Woodville Area","","High School Type/ PreK-12","466",226,"48.497800                     ",240,"51.502100                     ",0,"0.000000                      ",6,"1.287500                      ",4,"0.858300                      ",1,"0.214500                      ",455,"97.639400                     "
"2002","48161","11","0231","","03","El/Sec    ","N","Baldwin-Woodville Area","","Combined Elementary/Secondary School Type/ Prek-12","0",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            "
