"year","agency_key","CESA","district_number","school_number","agency_type","school_type","charter","district_name","school_name","grade_label","race_ethnicity","gender","enrollment_prek-12","number_eligible_for_subsidized_lunch","percent_eligible_for_subsidized_lunch","number_not_eligible_for_subsidized_lunch_or_no_data","percent_not_eligible_for_subsidized_lunch_or_no_data"
"2006","10429","08","0602","","03","Elem      ","N","Bonduel","","Elementary School Type/ Prek-12","All Races","Both Genders",369,110,"29.8102981000                 ",259,"70.1897018900                 "
"2006","10429","08","0602","","03","Mid/Jr Hi ","N","Bonduel","","Middle/Junior High School Type/ Prek-12","All Races","Both Genders",178,57,"32.0224719100                 ",121,"67.9775280800                 "
"2006","10429","08","0602","","03","High      ","N","Bonduel","","High School Type/ PreK-12","All Races","Both Genders",350,68,"19.4285714200                 ",282,"80.5714285700                 "
"2006","10429","08","0602","","03","El/Sec    ","N","Bonduel","","Combined Elementary/Secondary School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            "
"2006","10429","08","0602","","03","Summary   ","N","Bonduel","","Grades PreK-12","All Races","Both Genders",897,235,"26.1984392400                 ",662,"73.8015607500                 "
"2006","10421","08","0602","0020","04","Elem      ","N","Bonduel","Bonduel Elementary","Grades PreK-12","All Races","Both Genders",310,101,"32.5806451600                 ",209,"67.4193548300                 "
"2006","10422","08","0602","0021","04","Mid/Jr Hi ","N","Bonduel","Bonduel Middle","Grades PreK-12","All Races","Both Genders",178,57,"32.0224719100                 ",121,"67.9775280800                 "
"2006","10423","08","0602","0040","04","High      ","N","Bonduel","Bonduel High","Grades PreK-12","All Races","Both Genders",350,68,"19.4285714200                 ",282,"80.5714285700                 "
"2006","10424","08","0602","0080","04","Elem      ","N","Bonduel","Navarino Elementary","Grades PreK-12","All Races","Both Genders",59,9,"15.2542372800                 ",50,"84.7457627100                 "
"2006","12495","08","0623","","03","Elem      ","N","Bowler","","Elementary School Type/ Prek-12","All Races","Both Genders",246,129,"52.4390243900                 ",117,"47.5609756000                 "
"2006","12495","08","0623","","03","Mid/Jr Hi ","N","Bowler","","Middle/Junior High School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            "
