"year","agency_key","CESA","district_number","school_number","agency_type","school_type","charter","district_name","school_name","grade_label","race_ethnicity","gender","enrollment_prek-12","number_eligible_for_subsidized_lunch","percent_eligible_for_subsidized_lunch","number_not_eligible_for_subsidized_lunch_or_no_data","percent_not_eligible_for_subsidized_lunch_or_no_data"
"1998","10116","02","0063","","03","Elem      ","N","Albany","","Elementary School Type/ Prek-12","All Races","Both Genders",244,,"",,""
"1998","10116","02","0063","","03","Mid/Jr Hi ","N","Albany","","Middle/Junior High School Type/ Prek-12","All Races","Both Genders",117,,"",,""
"1998","10116","02","0063","","03","High      ","N","Albany","","High School Type/ PreK-12","All Races","Both Genders",159,,"",,""
"1998","10116","02","0063","","03","El/Sec    ","N","Albany","","Combined Elementary/Secondary School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            "
"1998","10116","02","0063","","03","Summary   ","N","Albany","","Grades PreK-12","All Races","Both Genders",520,,"",,""
"1998","14768","02","0063","0020","04","Elem      ","N","Albany","Albany El","Grades PreK-12","All Races","Both Genders",244,,"",,""
"1998","14769","02","0063","0040","04","High      ","N","Albany","Albany Hi","Grades PreK-12","All Races","Both Genders",159,,"",,""
"1998","14770","02","0063","0060","04","Mid/Jr Hi ","N","Albany","Albany Mid","Grades PreK-12","All Races","Both Genders",117,,"",,""
"1998","10119","02","0350","","03","Elem      ","N","Belleville","","Elementary School Type/ Prek-12","All Races","Both Genders",490,,"",,""
"1998","10119","02","0350","","03","Mid/Jr Hi ","N","Belleville","","Middle/Junior High School Type/ Prek-12","All Races","Both Genders",125,,"",,""
"1998","10119","02","0350","","03","High      ","N","Belleville","","High School Type/ PreK-12","All Races","Both Genders",210,,"",,""
"1998","10119","02","0350","","03","El/Sec    ","N","Belleville","","Combined Elementary/Secondary School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            "
"1998","10119","02","0350","","03","Summary   ","N","Belleville","","Grades PreK-12","All Races","Both Genders",825,,"",,""
"1998","14776","02","0350","0020","04","Elem      ","N","Belleville","Belleville Primary","Grades PreK-12","All Races","Both Genders",171,,"",,""
"1998","14777","02","0350","0040","04","High      ","N","Belleville","Belleville Hi","Grades PreK-12","All Races","Both Genders",210,,"",,""
"1998","14778","02","0350","0060","04","Mid/Jr Hi ","N","Belleville","Belleville Mid","Grades PreK-12","All Races","Both Genders",125,,"",,""
