"year","agency_key","CESA","district_number","school_number","agency_type","school_type","charter","district_name","school_name","grade_label","race_ethnicity","gender","enrollment_prek-12","number_lep_spanish","percent_lep_spanish","number_lep_hmong","percent_lep_hmong","number_lep_other","percent_lep_other","number_english_proficient","percent_english_proficient"
"2003","53609","09","0140","","03","Elem      ","N","Antigo","","Elementary School Type/ Prek-12","All Races","Both Genders",1228,6,"0.4885993400                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",1222,"99.5114006500                 "
"2003","53609","09","0140","","03","Mid/Jr Hi ","N","Antigo","","Middle/Junior High School Type/ Prek-12","All Races","Both Genders",574,4,"0.6968641100                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",570,"99.3031358800                 "
"2003","53609","09","0140","","03","High      ","N","Antigo","","High School Type/ PreK-12","All Races","Both Genders",1096,2,"0.1824817500                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",1094,"99.8175182400                 "
"2003","53609","09","0140","","03","El/Sec    ","N","Antigo","","Combined Elementary/Secondary School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            ",0,"--                            ",,"--                            "
"2003","53609","09","0140","","03","Summary   ","N","Antigo","","Grades PreK-12","All Races","Both Genders",2898,12,"0.4140786700                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",2886,"99.5859213200                 "
"2003","52775","09","0140","0020","04","Elem      ","N","Antigo","Aniwa El","Grades PreK-12","All Races","Both Genders",88,0,"0.0000000000                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",88,"100.0000000000                "
"2003","52776","09","0140","0050","04","Mid/Jr Hi ","N","Antigo","Antigo Mid","Grades PreK-12","All Races","Both Genders",574,4,"0.6968641100                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",570,"99.3031358800                 "
"2003","52777","09","0140","0070","04","High      ","N","Antigo","Antigo Hi","Grades PreK-12","All Races","Both Genders",1096,2,"0.1824817500                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",1094,"99.8175182400                 "
"2003","52778","09","0140","0080","04","Elem      ","N","Antigo","Crestwood El","Grades PreK-12","All Races","Both Genders",121,1,"0.8264462800                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",120,"99.1735537100                 "
"2003","52779","09","0140","0100","04","Elem      ","N","Antigo","East El","Grades PreK-12","All Races","Both Genders",144,0,"0.0000000000                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",144,"100.0000000000                "
"2003","52022","09","0140","0160","04","Elem      ","N","Antigo","Mattoon El","Grades PreK-12","All Races","Both Genders",86,4,"4.6511627900                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",82,"95.3488372000                 "
"2003","52780","09","0140","0180","04","Elem      ","N","Antigo","North El","Grades PreK-12","All Races","Both Genders",144,0,"0.0000000000                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",144,"100.0000000000                "
"2003","52781","09","0140","0200","04","Elem      ","N","Antigo","Pleasant View El","Grades PreK-12","All Races","Both Genders",128,0,"0.0000000000                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",128,"100.0000000000                "
"2003","52010","09","0140","0240","04","Elem      ","N","Antigo","River Grove El","Grades PreK-12","All Races","Both Genders",96,0,"0.0000000000                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",96,"100.0000000000                "
"2003","52783","09","0140","0260","04","Elem      ","N","Antigo","Spring Valley El","Grades PreK-12","All Races","Both Genders",163,0,"0.0000000000                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",163,"100.0000000000                "
"2003","52784","09","0140","0280","04","Elem      ","N","Antigo","West El","Grades PreK-12","All Races","Both Genders",170,0,"0.0000000000                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",170,"100.0000000000                "
"2003","50171","09","0140","0300","04","Elem      ","N","Antigo","Antigo Kindergarten Center","Grades PreK-12","All Races","Both Genders",88,1,"1.1363636300                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",87,"98.8636363600                 "
"2003","53396","09","0196","","03","Elem      ","N","Athens","","Elementary School Type/ Prek-12","All Races","Both Genders",232,0,"0.0000000000                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",232,"100.0000000000                "
