"year","agency_key","CESA","district_number","school_number","agency_type","school_type","charter","district_name","school_name","grade_label","total_enrollment_prek-12","number_with_disabilities","percent_with_disabilities","number_without_disabilities","percent_without_disabilities"
"2005","77113","03","0161","","03","High Schools","N","Argyle","","PreK-12","198                           ","24                            ","12.121200                     ","174                           ","87.878700                     "
"2005","77113","03","0161","","03","Mid/Jr Hi Schools","N","Argyle","","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2005","77113","03","0161","","03","Elem. Schools","N","Argyle","","PreK-12","166                           ","19                            ","11.445700                     ","147                           ","88.554200                     "
"2005","77113","03","0161","","03","El/Sec Combined Schls","N","Argyle","","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2005","77111","03","0161","0020","04","Elem. Schools","N","Argyle","Argyle Elementary","PreK-12","166                           ","19                            ","11.445700                     ","147                           ","88.554200                     "
"2005","77112","03","0161","0040","04","High Schools","N","Argyle","Argyle High","PreK-12","198                           ","24                            ","12.121200                     ","174                           ","87.878700                     "
"2005","79878","03","0161","0430","04","High Schools","Y","Argyle","ALEA Argyle Land Ethic Academy","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2005","74918","03","0161","9412","04","High Schools","Y","Argyle","Lafayette County Academy","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2005","77100","03","0287","","03","El/Sec Combined Schls","N","Barneveld","","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2005","77100","03","0287","","03","Elem. Schools","N","Barneveld","","PreK-12","186                           ","25                            ","13.440800                     ","161                           ","86.559100                     "
"2005","77100","03","0287","","03","Mid/Jr Hi Schools","N","Barneveld","","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2005","77100","03","0287","","03","High Schools","N","Barneveld","","PreK-12","213                           ","26                            ","12.206500                     ","187                           ","87.793400                     "
"2005","77098","03","0287","0020","04","Elem. Schools","N","Barneveld","Barneveld Elementary","PreK-12","186                           ","25                            ","13.440800                     ","161                           ","86.559100                     "
"2005","77099","03","0287","0040","04","High Schools","N","Barneveld","Barneveld High","PreK-12","213                           ","26                            ","12.206500                     ","187                           ","87.793400                     "
"2005","79044","03","0287","9412","4C","High Schools","Y","Barneveld","Lafayette County Academy","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2005","77089","03","0364","","03","High Schools","N","Belmont Community","","PreK-12","183                           ","14                            ","7.650200                      ","169                           ","92.349700                     "
"2005","77089","03","0364","","03","Mid/Jr Hi Schools","N","Belmont Community","","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2005","77089","03","0364","","03","Elem. Schools","N","Belmont Community","","PreK-12","167                           ","30                            ","17.964000                     ","137                           ","82.035900                     "
"2005","77089","03","0364","","03","El/Sec Combined Schls","N","Belmont Community","","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2005","77104","03","0364","0020","04","Elem. Schools","N","Belmont Community","Belmont Elementary","PreK-12","167                           ","30                            ","17.964000                     ","137                           ","82.035900                     "
"2005","77088","03","0364","0040","04","High Schools","N","Belmont Community","Belmont High","PreK-12","183                           ","14                            ","7.650200                      ","169                           ","92.349700                     "
"2005","79045","03","0364","9412","4C","High Schools","Y","Belmont Community","Lafayette County Academy","PreK-12","2                             ","*                             ","*                             ","*                             ","*                             "
"2005","76792","03","0427","","03","El/Sec Combined Schls","N","Benton","","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2005","76792","03","0427","","03","Elem. Schools","N","Benton","","PreK-12","25                            ","*                             ","*                             ","*                             ","*                             "
"2005","76792","03","0427","","03","Mid/Jr Hi Schools","N","Benton","","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2005","76792","03","0427","","03","High Schools","N","Benton","","PreK-12","18                            ","17                            ","94.444400                     ","1                             ","5.555500                      "
"2005","76790","03","0427","0020","04","Elem. Schools","N","Benton","Benton Elementary","PreK-12","25                            ","*                             ","*                             ","*                             ","*                             "
"2005","76791","03","0427","0040","04","High Schools","N","Benton","Benton High","PreK-12","18                            ","17                            ","94.444400                     ","1                             ","5.555500                      "
"2005","79046","03","0427","9412","4C","High Schools","Y","Benton","Lafayette County Academy","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2005","77067","03","0490","","03","High Schools","N","Pecatonica Area","","PreK-12","238                           ","31                            ","13.025200                     ","207                           ","86.974700                     "
"2005","77067","03","0490","","03","Mid/Jr Hi Schools","N","Pecatonica Area","","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
