"year","agency_key","CESA","district_number","school_number","agency_type","school_type","charter","district_name","school_name","grade_label","race_ethnicity","gender","total_enrollment_prek-12","pre-k_number","pre-k_percent","kinder_number","kinder_percent","grade_1_number","grade_1_percent","grade_2_number","grade_2_percent","grade_3_number","grade_3_percent","grade_4_number","grade_4_percent","grade_5_number","grade_5_percent","grade_6_number","grade_6_percent","grade_7_number","grade_7_percent","grade_8_number","grade_8_percent","grade_9_number","grade_9_percent","grade_10_number","grade_10_percent","grade_11_number","grade_11_percent","grade_12_number","grade_12_percent"
"2006","14408","04","0084","","03","Summary   ","N","Alma","","Grades PreK-12","All Races","Both Genders","325",18,"5.538400                      ",14,"4.307600                      ",14,"4.307600                      ",23,"7.076900                      ",23,"7.076900                      ",16,"4.923000                      ",22,"6.769200                      ",23,"7.076900                      ",28,"8.615300                      ",20,"6.153800                      ",31,"9.538400                      ",31,"9.538400                      ",34,"10.461500                     ",28,"8.615300                      "
"2006","14406","04","0084","0020","04","Elem      ","N","Alma","Alma Elementary","Grades PreK-12","All Races","Both Genders","201",18,"8.955200                      ",14,"6.965100                      ",14,"6.965100                      ",23,"11.442700                     ",23,"11.442700                     ",16,"7.960100                      ",22,"10.945200                     ",23,"11.442700                     ",28,"13.930300                     ",20,"9.950200                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      "
"2006","14407","04","0084","0040","04","High      ","N","Alma","Alma High","Grades PreK-12","All Races","Both Genders","124",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",31,"25.000000                     ",31,"25.000000                     ",34,"27.419300                     ",28,"22.580600                     "
"2006","14429","04","0091","","03","Summary   ","N","Alma Center","","Grades PreK-12","All Races","Both Genders","620",32,"5.161200                      ",41,"6.612900                      ",45,"7.258000                      ",50,"8.064500                      ",45,"7.258000                      ",45,"7.258000                      ",46,"7.419300                      ",37,"5.967700                      ",42,"6.774100                      ",41,"6.612900                      ",69,"11.129000                     ",34,"5.483800                      ",50,"8.064500                      ",43,"6.935400                      "
"2006","14427","04","0091","0060","04","High      ","N","Alma Center","Lincoln High","Grades PreK-12","All Races","Both Genders","196",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",69,"35.204000                     ",34,"17.346900                     ",50,"25.510200                     ",43,"21.938700                     "
"2006","14428","04","0091","0070","04","Mid/Jr Hi ","N","Alma Center","Lincoln Junior High","Grades PreK-12","All Races","Both Genders","83",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",42,"50.602400                     ",41,"49.397500                     ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      "
"2006","15906","04","0091","0080","04","Elem      ","N","Alma Center","Lincoln Elementary","Grades PreK-12","All Races","Both Genders","341",32,"9.384100                      ",41,"12.023400                     ",45,"13.196400                     ",50,"14.662700                     ",45,"13.196400                     ",45,"13.196400                     ",46,"13.489700                     ",37,"10.850400                     ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      "
"2006","14435","04","0154","","03","Summary   ","N","Arcadia","","Grades PreK-12","All Races","Both Genders","995",87,"8.743700                      ",66,"6.633100                      ",76,"7.638100                      ",73,"7.336600                      ",59,"5.929600                      ",70,"7.035100                      ",67,"6.733600                      ",67,"6.733600                      ",66,"6.633100                      ",62,"6.231100                      ",75,"7.537600                      ",70,"7.035100                      ",82,"8.241200                      ",75,"7.537600                      "
"2006","14430","04","0154","0020","04","Elem      ","N","Arcadia","Arcadia Elementary","Grades PreK-12","All Races","Both Genders","693",87,"12.554100                     ",66,"9.523800                      ",76,"10.966800                     ",73,"10.533900                     ",59,"8.513700                      ",70,"10.101000                     ",67,"9.668100                      ",67,"9.668100                      ",66,"9.523800                      ",62,"8.946600                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      "
"2006","14431","04","0154","0040","04","High      ","N","Arcadia","Arcadia High","Grades PreK-12","All Races","Both Genders","302",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",75,"24.834400                     ",70,"23.178800                     ",82,"27.152300                     ",75,"24.834400                     "
"2006","14462","04","0245","","03","Summary   ","N","Bangor","","Grades PreK-12","All Races","Both Genders","640",5,"0.781200                      ",57,"8.906200                      ",35,"5.468700                      ",36,"5.625000                      ",37,"5.781200                      ",35,"5.468700                      ",46,"7.187500                      ",51,"7.968700                      ",52,"8.125000                      ",54,"8.437500                      ",56,"8.750000                      ",58,"9.062500                      ",54,"8.437500                      ",64,"10.000000                     "
"2006","14457","04","0245","0020","04","Elem      ","N","Bangor","Bangor Elementary","Grades PreK-12","All Races","Both Genders","251",5,"1.992000                      ",57,"22.709100                     ",35,"13.944200                     ",36,"14.342600                     ",37,"14.741000                     ",35,"13.944200                     ",46,"18.326600                     ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      "
