"year","agency_key","CESA","district_number","school_number","agency_type","school_type","charter","district_name","school_name","grade_label","race_ethnicity","gender","enrollment_prek-12","number_lep_spanish","percent_lep_spanish","number_lep_hmong","percent_lep_hmong","number_lep_other","percent_lep_other","number_english_proficient","percent_english_proficient"
"2002","48160","11","0119","","03","Elem      ","N","Amery","","Elementary School Type/ Prek-12","All Races","Both Genders",571,0,"0.0000000000                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",571,"100.0000000000                "
"2002","48160","11","0119","","03","Mid/Jr Hi ","N","Amery","","Middle/Junior High School Type/ Prek-12","All Races","Both Genders",699,0,"0.0000000000                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",699,"100.0000000000                "
"2002","48160","11","0119","","03","High      ","N","Amery","","High School Type/ PreK-12","All Races","Both Genders",600,0,"0.0000000000                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",600,"100.0000000000                "
"2002","48160","11","0119","","03","El/Sec    ","N","Amery","","Combined Elementary/Secondary School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            ",0,"--                            ",,"--                            "
"2002","48160","11","0119","","03","Summary   ","N","Amery","","Grades PreK-12","All Races","Both Genders",1870,0,"0.0000000000                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",1870,"100.0000000000                "
"2002","46665","11","0119","0020","04","Elem      ","N","Amery","Lien El","Grades PreK-12","All Races","Both Genders",571,0,"0.0000000000                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",571,"100.0000000000                "
"2002","46666","11","0119","0040","04","High      ","N","Amery","Amery Hi","Grades PreK-12","All Races","Both Genders",600,0,"0.0000000000                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",600,"100.0000000000                "
"2002","46667","11","0119","0050","04","Mid/Jr Hi ","N","Amery","Lakeview Intermediate","Grades PreK-12","All Races","Both Genders",263,0,"0.0000000000                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",263,"100.0000000000                "
"2002","46668","11","0119","0060","04","Mid/Jr Hi ","N","Amery","Amery Mid","Grades PreK-12","All Races","Both Genders",436,0,"0.0000000000                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",436,"100.0000000000                "
"2002","48161","11","0231","","03","Elem      ","N","Baldwin-Woodville Area","","Elementary School Type/ Prek-12","All Races","Both Genders",495,3,"0.6060606000                  ",4,"0.8080808000                  ",2,"0.4040404000                  ",486,"98.1818181800                 "
"2002","48161","11","0231","","03","Mid/Jr Hi ","N","Baldwin-Woodville Area","","Middle/Junior High School Type/ Prek-12","All Races","Both Genders",396,0,"0.0000000000                  ",1,"0.2525252500                  ",0,"0.0000000000                  ",395,"99.7474747400                 "
"2002","48161","11","0231","","03","High      ","N","Baldwin-Woodville Area","","High School Type/ PreK-12","All Races","Both Genders",466,0,"0.0000000000                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",466,"100.0000000000                "
"2002","48161","11","0231","","03","El/Sec    ","N","Baldwin-Woodville Area","","Combined Elementary/Secondary School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            ",0,"--                            ",,"--                            "
"2002","48161","11","0231","","03","Summary   ","N","Baldwin-Woodville Area","","Grades PreK-12","All Races","Both Genders",1357,3,"0.2210759000                  ",5,"0.3684598300                  ",2,"0.1473839300                  ",1347,"99.2630803200                 "
"2002","46669","11","0231","0040","04","High      ","N","Baldwin-Woodville Area","Baldwin-Woodville Hi","Grades PreK-12","All Races","Both Genders",466,0,"0.0000000000                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",466,"100.0000000000                "
"2002","46672","11","0231","0070","04","Elem      ","N","Baldwin-Woodville Area","Greenfield El","Grades PreK-12","All Races","Both Genders",495,3,"0.6060606000                  ",4,"0.8080808000                  ",2,"0.4040404000                  ",486,"98.1818181800                 "
"2002","46698","11","0231","0090","04","Mid/Jr Hi ","N","Baldwin-Woodville Area","Viking Mid","Grades PreK-12","All Races","Both Genders",396,0,"0.0000000000                  ",1,"0.2525252500                  ",0,"0.0000000000                  ",395,"99.7474747400                 "
"2002","48231","11","0238","","03","Elem      ","N","Unity","","Elementary School Type/ Prek-12","All Races","Both Genders",523,0,"0.0000000000                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",523,"100.0000000000                "
"2002","48231","11","0238","","03","Mid/Jr Hi ","N","Unity","","Middle/Junior High School Type/ Prek-12","All Races","Both Genders",268,0,"0.0000000000                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",268,"100.0000000000                "
"2002","48231","11","0238","","03","High      ","N","Unity","","High School Type/ PreK-12","All Races","Both Genders",359,0,"0.0000000000                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",359,"100.0000000000                "
"2002","48231","11","0238","","03","El/Sec    ","N","Unity","","Combined Elementary/Secondary School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            ",0,"--                            ",,"--                            "
