"year","agency_key","CESA","district_number","school_number","agency_type","school_type","charter","district_name","school_name","grade_label","total_enrollment_prek-12","number_female","percent_female","number_male","percent_male","number_am_ind","percent_am_ind","number_asian","percent_asian","number_black","percent_black","number_hispanic","percent_hispanic","number_white","percent_white"
"1998","10117","03","0161","","03","Elem      ","N","Argyle","","Elementary School Type/ Prek-12","205",101,"49.268200                     ",104,"50.731700                     ",3,"1.463400                      ",0,"0.000000                      ",0,"0.000000                      ",2,"0.975600                      ",200,"97.560900                     "
"1998","10117","03","0161","","03","Mid/Jr Hi ","N","Argyle","","Middle/Junior High School Type/ Prek-12","0",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            "
"1998","10117","03","0161","","03","High      ","N","Argyle","","High School Type/ PreK-12","173",74,"42.774500                     ",99,"57.225400                     ",0,"0.000000                      ",0,"0.000000                      ",1,"0.578000                      ",0,"0.000000                      ",172,"99.421900                     "
"1998","10117","03","0161","","03","El/Sec    ","N","Argyle","","Combined Elementary/Secondary School Type/ Prek-12","0",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            "
"1998","10117","03","0161","","03","Summary   ","N","Argyle","","Grades PreK-12","378",175,"46.296200                     ",203,"53.703700                     ",3,"0.793600                      ",0,"0.000000                      ",1,"0.264500                      ",2,"0.529100                      ",372,"98.412600                     "
"1998","14772","03","0161","0020","04","Elem      ","N","Argyle","Argyle El","Grades PreK-12","205",101,"49.268200                     ",104,"50.731700                     ",3,"1.463400                      ",0,"0.000000                      ",0,"0.000000                      ",2,"0.975600                      ",200,"97.560900                     "
"1998","14773","03","0161","0040","04","High      ","N","Argyle","Argyle Hi","Grades PreK-12","173",74,"42.774500                     ",99,"57.225400                     ",0,"0.000000                      ",0,"0.000000                      ",1,"0.578000                      ",0,"0.000000                      ",172,"99.421900                     "
"1998","10118","03","0287","","03","Elem      ","N","Barneveld","","Elementary School Type/ Prek-12","157",67,"42.675100                     ",90,"57.324800                     ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",157,"100.000000                    "
"1998","10118","03","0287","","03","Mid/Jr Hi ","N","Barneveld","","Middle/Junior High School Type/ Prek-12","0",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            "
"1998","10118","03","0287","","03","High      ","N","Barneveld","","High School Type/ PreK-12","257",128,"49.805400                     ",129,"50.194500                     ",0,"0.000000                      ",0,"0.000000                      ",1,"0.389100                      ",0,"0.000000                      ",256,"99.610800                     "
"1998","10118","03","0287","","03","El/Sec    ","N","Barneveld","","Combined Elementary/Secondary School Type/ Prek-12","0",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            "
"1998","10118","03","0287","","03","Summary   ","N","Barneveld","","Grades PreK-12","414",195,"47.101400                     ",219,"52.898500                     ",0,"0.000000                      ",0,"0.000000                      ",1,"0.241500                      ",0,"0.000000                      ",413,"99.758400                     "
"1998","14774","03","0287","0020","04","Elem      ","N","Barneveld","Barneveld El","Grades PreK-12","157",67,"42.675100                     ",90,"57.324800                     ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",157,"100.000000                    "
"1998","14775","03","0287","0040","04","High      ","N","Barneveld","Barneveld Hi","Grades PreK-12","257",128,"49.805400                     ",129,"50.194500                     ",0,"0.000000                      ",0,"0.000000                      ",1,"0.389100                      ",0,"0.000000                      ",256,"99.610800                     "
"1998","10120","03","0364","","03","Elem      ","N","Belmont Community","","Elementary School Type/ Prek-12","209",110,"52.631500                     ",99,"47.368400                     ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",209,"100.000000                    "
