"year","agency_key","CESA","district_number","school_number","agency_type","school_type","charter","district_name","school_name","grade_label","total_enrollment_K-12","number_female","percent_female","number_male","percent_male","number_am_ind","percent_am_ind","number_asian","percent_asian","number_black","percent_black","number_hispanic","percent_hispanic","number_white","percent_white"
"2005","76215","09","0140","","03","High Schools","N","Antigo","","High Schools","1048",490,46.755700,558,53.244200,17,1.622100,1,.095400,5,.477000,17,1.622100,1008,96.183200
"2005","76215","09","0140","","03","Mid/Jr Hi Schools","N","Antigo","","Mid/Jr Hi Schools","579",274,47.322900,305,52.677000,12,2.072500,4,.690800,1,.172700,6,1.036200,556,96.027600
"2005","76215","09","0140","","03","Elem. Schools","N","Antigo","","Elem. Schools","1144",535,46.765700,609,53.234200,21,1.835600,10,.874100,18,1.573400,24,2.097900,1071,93.618800
"2005","76215","09","0140","","03","El/Sec Combined Schls","N","Antigo","","El/Sec Combined Schls","0",,.000000,,.000000,,.000000,,.000000,,.000000,,.000000,,.000000
"2005","76215","09","0140","","03","Summary","N","Antigo","","Summary","2771",1299,46.878300,1472,53.121600,50,1.804400,15,.541300,24,.866100,47,1.696100,2635,95.092000
"2005","79276","09","0140","0050","04","Mid/Jr Hi Schools","N","Antigo","Antigo Middle","Mid/Jr Hi Schools","579",274,47.322900,305,52.677000,12,2.072500,4,.690800,1,.172700,6,1.036200,556,96.027600
"2005","76224","09","0140","0070","04","High Schools","N","Antigo","Antigo High","High Schools","1048",490,46.755700,558,53.244200,17,1.622100,1,.095400,5,.477000,17,1.622100,1008,96.183200
"2005","76225","09","0140","0080","04","Elem. Schools","N","Antigo","Crestwood Elementary","Elem. Schools","145",58,40.000000,87,60.000000,4,2.758600,2,1.379300,0,.000000,5,3.448200,134,92.413700
"2005","76226","09","0140","0100","04","Elem. Schools","N","Antigo","East Elementary","Elem. Schools","146",67,45.890400,79,54.109500,5,3.424600,2,1.369800,6,4.109500,3,2.054700,130,89.041000
"2005","76149","09","0140","0160","04","Elem. Schools","N","Antigo","Mattoon Elementary","Elem. Schools","112",57,50.892800,55,49.107100,4,3.571400,0,.000000,0,.000000,10,8.928500,98,87.500000
"2005","76227","09","0140","0180","04","Elem. Schools","N","Antigo","North Elementary","Elem. Schools","196",102,52.040800,94,47.959100,4,2.040800,2,1.020400,6,3.061200,1,.510200,183,93.367300
"2005","79277","09","0140","0200","04","Elem. Schools","N","Antigo","Pleasant View Elementary","Elem. Schools","101",44,43.564300,57,56.435600,1,.990000,2,1.980100,0,.000000,0,.000000,98,97.029700
"2005","76200","09","0140","0240","04","Elem. Schools","N","Antigo","River Grove Elementary","Elem. Schools","82",39,47.560900,43,52.439000,0,.000000,1,1.219500,0,.000000,1,1.219500,80,97.560900
