"year","agency_key","CESA","district_number","school_number","agency_type","school_type","charter","district_name","school_name","grade_label","total_enrollment_prek-12","number_with_disabilities","percent_with_disabilities","number_without_disabilities","percent_without_disabilities"
"2004","67348","05","0014","","03","High Schools","N","Adams-Friendship Area","","PreK-12","649                           ","117                           ","18.027700                     ","532                           ","81.972200                     "
"2004","67348","05","0014","","03","Mid/Jr Hi Schools","N","Adams-Friendship Area","","PreK-12","494                           ","107                           ","21.659900                     ","387                           ","78.340000                     "
"2004","67348","05","0014","","03","Elem. Schools","N","Adams-Friendship Area","","PreK-12","913                           ","187                           ","20.481900                     ","726                           ","79.518000                     "
"2004","67348","05","0014","","03","El/Sec Combined Schls","N","Adams-Friendship Area","","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2004","65416","05","0014","0040","04","High Schools","N","Adams-Friendship Area","Adams-Friendship Hi","PreK-12","649                           ","117                           ","18.027700                     ","532                           ","81.972200                     "
"2004","67345","05","0014","0080","04","Elem. Schools","N","Adams-Friendship Area","Castle Rock El","PreK-12","139                           ","18                            ","12.949600                     ","121                           ","87.050300                     "
"2004","67347","05","0014","0130","04","Elem. Schools","N","Adams-Friendship Area","Adams-Friendship El","PreK-12","457                           ","120                           ","26.258200                     ","337                           ","73.741700                     "
"2004","67288","05","0014","0140","04","Elem. Schools","N","Adams-Friendship Area","Grand Marsh El","PreK-12","143                           ","22                            ","15.384600                     ","121                           ","84.615300                     "
"2004","67304","05","0014","0180","04","Elem. Schools","N","Adams-Friendship Area","Pine Land El","PreK-12","59                            ","14                            ","23.728800                     ","45                            ","76.271100                     "
"2004","66390","05","0014","0200","04","Elem. Schools","N","Adams-Friendship Area","Roche A Cri El","PreK-12","115                           ","13                            ","11.304300                     ","102                           ","88.695600                     "
"2004","67346","05","0014","0210","04","Mid/Jr Hi Schools","N","Adams-Friendship Area","Adams-Friendship Mid","PreK-12","494                           ","107                           ","21.659900                     ","387                           ","78.340000                     "
"2004","65357","05","0014","0400","04","High Schools","N","Adams-Friendship Area","Alternative Education School","PreK-12","3                             ","*                             ","*                             ","*                             ","*                             "
"2004","65873","05","0105","","03","El/Sec Combined Schls","N","Almond-Bancroft","","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2004","65873","05","0105","","03","Elem. Schools","N","Almond-Bancroft","","PreK-12","218                           ","37                            ","16.972400                     ","181                           ","83.027500                     "
"2004","65873","05","0105","","03","Mid/Jr Hi Schools","N","Almond-Bancroft","","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2004","65873","05","0105","","03","High Schools","N","Almond-Bancroft","","PreK-12","310                           ","45                            ","14.516100                     ","265                           ","85.483800                     "
"2004","65890","05","0105","0020","04","Elem. Schools","N","Almond-Bancroft","Almond El","PreK-12","184                           ","26                            ","14.130400                     ","158                           ","85.869500                     "
