"year","agency_key","CESA","district_number","school_number","agency_type","school_type","charter","district_name","school_name","grade_label","race_ethnicity","gender","enrollment_prek-12","number_lep_spanish","percent_lep_spanish","number_lep_hmong","percent_lep_hmong","number_lep_other","percent_lep_other","number_english_proficient","percent_english_proficient"
"2004","66747","10","0007","","03","Elem      ","N","Abbotsford","","Elementary School Type/ Prek-12","All Races","Both Genders",265,38,"14.3396226400                 ",0,"0.0000000000                  ",0,"0.0000000000                  ",227,"85.6603773500                 "
"2004","66747","10","0007","","03","Mid/Jr Hi ","N","Abbotsford","","Middle/Junior High School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            ",0,"--                            ",,"--                            "
"2004","66747","10","0007","","03","High      ","N","Abbotsford","","High School Type/ PreK-12","All Races","Both Genders",351,25,"7.1225071200                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",326,"92.8774928700                 "
"2004","66747","10","0007","","03","El/Sec    ","N","Abbotsford","","Combined Elementary/Secondary School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            ",0,"--                            ",,"--                            "
"2004","66747","10","0007","","03","Summary   ","N","Abbotsford","","Grades PreK-12","All Races","Both Genders",616,63,"10.2272727200                 ",0,"0.0000000000                  ",0,"0.0000000000                  ",553,"89.7727272700                 "
"2004","66744","10","0007","0020","04","Elem      ","N","Abbotsford","Abbotsford El","Grades PreK-12","All Races","Both Genders",265,38,"14.3396226400                 ",0,"0.0000000000                  ",0,"0.0000000000                  ",227,"85.6603773500                 "
"2004","66745","10","0007","0040","04","High      ","N","Abbotsford","Abbotsford Jr/Sr Hi","Grades PreK-12","All Races","Both Genders",351,25,"7.1225071200                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",326,"92.8774928700                 "
"2004","66213","10","0112","","03","Elem      ","N","Altoona","","Elementary School Type/ Prek-12","All Races","Both Genders",554,0,"0.0000000000                  ",5,"0.9025270700                  ",2,"0.3610108300                  ",547,"98.7364620900                 "
"2004","66213","10","0112","","03","Mid/Jr Hi ","N","Altoona","","Middle/Junior High School Type/ Prek-12","All Races","Both Genders",435,0,"0.0000000000                  ",7,"1.6091954000                  ",1,"0.2298850500                  ",427,"98.1609195400                 "
"2004","66213","10","0112","","03","High      ","N","Altoona","","High School Type/ PreK-12","All Races","Both Genders",429,0,"0.0000000000                  ",4,"0.9324009300                  ",6,"1.3986013900                  ",419,"97.6689976600                 "
"2004","66213","10","0112","","03","El/Sec    ","N","Altoona","","Combined Elementary/Secondary School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            ",0,"--                            ",,"--                            "
"2004","66213","10","0112","","03","Summary   ","N","Altoona","","Grades PreK-12","All Races","Both Genders",1418,0,"0.0000000000                  ",16,"1.1283497800                  ",9,"0.6346967500                  ",1393,"98.2369534500                 "
"2004","66209","10","0112","0040","04","High      ","N","Altoona","Altoona Hi","Grades PreK-12","All Races","Both Genders",429,0,"0.0000000000                  ",4,"0.9324009300                  ",6,"1.3986013900                  ",419,"97.6689976600                 "
"2004","66210","10","0112","0060","04","Mid/Jr Hi ","N","Altoona","Altoona Mid","Grades PreK-12","All Races","Both Genders",435,0,"0.0000000000                  ",7,"1.6091954000                  ",1,"0.2298850500                  ",427,"98.1609195400                 "
"2004","66211","10","0112","0080","04","Elem      ","N","Altoona","Pedersen El","Grades PreK-12","All Races","Both Genders",554,0,"0.0000000000                  ",5,"0.9025270700                  ",2,"0.3610108300                  ",547,"98.7364620900                 "
"2004","66198","10","0217","","03","Elem      ","N","Augusta","","Elementary School Type/ Prek-12","All Races","Both Genders",264,0,"0.0000000000                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",264,"100.0000000000                "
