"year","agency_key","CESA","district_number","school_number","agency_type","school_type","charter","district_name","school_name","grade_label","race_ethnicity","gender","total_enrollment_prek-12","pre-k_number","pre-k_percent","kinder_number","kinder_percent","grade_1_number","grade_1_percent","grade_2_number","grade_2_percent","grade_3_number","grade_3_percent","grade_4_number","grade_4_percent","grade_5_number","grade_5_percent","grade_6_number","grade_6_percent","grade_7_number","grade_7_percent","grade_8_number","grade_8_percent","grade_9_number","grade_9_percent","grade_10_number","grade_10_percent","grade_11_number","grade_11_percent","grade_12_number","grade_12_percent"
"2002","48093","01","0714","","03","Summary   ","N","Elmbrook","","Grades PreK-12","All Races","Both Genders","7449",61,"0.818900                      ",403,"5.410100                      ",437,"5.866500                      ",473,"6.349800                      ",484,"6.497500                      ",534,"7.168700                      ",581,"7.799700                      ",591,"7.933900                      ",603,"8.095000                      ",615,"8.256100                      ",648,"8.699100                      ",678,"9.101800                      ",705,"9.464300                      ",636,"8.538000                      "
"2002","46328","01","0714","0020","04","High      ","N","Elmbrook","Central Hi","Grades PreK-12","All Races","Both Genders","1325",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",317,"23.924500                     ",348,"26.264100                     ",332,"25.056600                     ",328,"24.754700                     "
"2002","46296","01","0714","0040","04","Elem      ","N","Elmbrook","Brookfield El","Grades PreK-12","All Races","Both Genders","417",0,"0.000000                      ",67,"16.067100                     ",53,"12.709800                     ",69,"16.546700                     ",66,"15.827300                     ",66,"15.827300                     ",96,"23.021500                     ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      "
"2002","46329","01","0714","0060","04","High      ","N","Elmbrook","East Hi","Grades PreK-12","All Races","Both Genders","1302",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",325,"24.961500                     ",321,"24.654300                     ",359,"27.572900                     ",297,"22.811000                     "
"2002","46330","01","0714","0080","04","Elem      ","N","Elmbrook","Burleigh El","Grades PreK-12","All Races","Both Genders","747",61,"8.165900                      ",101,"13.520700                     ",111,"14.859400                     ",103,"13.788400                     ",111,"14.859400                     ",139,"18.607700                     ",121,"16.198100                     ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      "
"2002","46331","01","0714","0100","04","Elem      ","N","Elmbrook","Dixon El","Grades PreK-12","All Races","Both Genders","401",0,"0.000000                      ",47,"11.720600                     ",65,"16.209400                     ",63,"15.710700                     ",73,"18.204400                     ",73,"18.204400                     ",80,"19.950100                     ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      "
"2002","46206","01","0714","0150","04","Mid/Jr Hi ","N","Elmbrook","Pilgrim Park Mid","Grades PreK-12","All Races","Both Genders","867",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",293,"33.794600                     ",286,"32.987300                     ",288,"33.217900                     ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      "
"2002","46297","01","0714","0160","04","El/Sec    ","N","Elmbrook","Fairview South","Grades PreK-12","All Races","Both Genders","66",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",2,"3.030300                      ",5,"7.575700                      ",5,"7.575700                      ",2,"3.030300                      ",12,"18.181800                     ",6,"9.090900                      ",9,"13.636300                     ",14,"21.212100                     ",11,"16.666600                     "
"2002","46298","01","0714","0170","04","Elem      ","N","Elmbrook","Hillside El","Grades PreK-12","All Races","Both Genders","378",0,"0.000000                      ",55,"14.550200                     ",59,"15.608400                     ",61,"16.137500                     ",68,"17.989400                     ",68,"17.989400                     ",67,"17.724800                     ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      "
"2002","48010","01","0714","0190","04","Elem      ","N","Elmbrook","Swanson El","Grades PreK-12","All Races","Both Genders","654",0,"0.000000                      ",91,"13.914300                     ",96,"14.678800                     ",112,"17.125300                     ",98,"14.984700                     ",123,"18.807300                     ",134,"20.489200                     ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      "
