"year","agency_key","CESA","district_number","school_number","agency_type","school_type","charter","district_name","school_name","grade_label","total_enrollment_prek-12","number_female","percent_female","number_male","percent_male","number_am_ind","percent_am_ind","number_asian","percent_asian","number_black","percent_black","number_hispanic","percent_hispanic","number_white","percent_white"
"2000","32835","01","3479","","03","High      ","N","Mequon-Thiensville","","High School Type/ PreK-12","1519",742,"48.847900                     ",777,"51.152000                     ",7,"0.460800                      ",57,"3.752400                      ",69,"4.542400                      ",26,"1.711600                      ",1360,"89.532500                     "
"2000","32835","01","3479","","03","El/Sec    ","N","Mequon-Thiensville","","Combined Elementary/Secondary School Type/ Prek-12","0",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            "
"2000","32835","01","3479","","03","Summary   ","N","Mequon-Thiensville","","Grades PreK-12","4214",2033,"48.243900                     ",2181,"51.756000                     ",17,"0.403400                      ",155,"3.678200                      ",250,"5.932600                      ",70,"1.661100                      ",3722,"88.324600                     "
"2000","30773","01","3479","0020","04","Elem      ","N","Mequon-Thiensville","Donges Bay El","Grades PreK-12","446",200,"44.843000                     ",246,"55.156900                     ",0,"0.000000                      ",23,"5.156900                      ",31,"6.950600                      ",6,"1.345200                      ",386,"86.547000                     "
"2000","30774","01","3479","0060","04","High      ","N","Mequon-Thiensville","Homestead Hi","Grades PreK-12","1519",742,"48.847900                     ",777,"51.152000                     ",7,"0.460800                      ",57,"3.752400                      ",69,"4.542400                      ",26,"1.711600                      ",1360,"89.532500                     "
"2000","30775","01","3479","0080","04","Mid/Jr Hi ","N","Mequon-Thiensville","Lake Shore Mid","Grades PreK-12","483",239,"49.482400                     ",244,"50.517500                     ",4,"0.828100                      ",20,"4.140700                      ",34,"7.039300                      ",4,"0.828100                      ",421,"87.163500                     "
"2000","30794","01","3479","0100","04","Elem      ","N","Mequon-Thiensville","Oriole Lane El","Grades PreK-12","331",155,"46.827700                     ",176,"53.172200                     ",0,"0.000000                      ",5,"1.510500                      ",25,"7.552800                      ",8,"2.416900                      ",293,"88.519600                     "
"2000","30776","01","3479","0120","04","Elem      ","N","Mequon-Thiensville","Range Line El","Grades PreK-12","373",188,"50.402100                     ",185,"49.597800                     ",1,"0.268000                      ",12,"3.217100                      ",35,"9.383300                      ",7,"1.876600                      ",318,"85.254600                     "
"2000","30777","01","3479","0140","04","Mid/Jr Hi ","N","Mequon-Thiensville","Steffen Mid","Grades PreK-12","539",253,"46.938700                     ",286,"53.061200                     ",1,"0.185500                      ",21,"3.896100                      ",25,"4.638200                      ",9,"1.669700                      ",483,"89.610300                     "
"2000","30778","01","3479","0160","04","Elem      ","N","Mequon-Thiensville","Wilson El","Grades PreK-12","523",256,"48.948300                     ",267,"51.051600                     ",4,"0.764800                      ",17,"3.250400                      ",31,"5.927300                      ",10,"1.912000                      ",461,"88.145300                     "
"2000","33028","01","3510","","03","Elem      ","N","Swallow","","Elementary School Type/ Prek-12","325",149,"45.846100                     ",176,"54.153800                     ",0,"0.000000                      ",6,"1.846100                      ",0,"0.000000                      ",0,"0.000000                      ",319,"98.153800                     "
"2000","33028","01","3510","","03","Mid/Jr Hi ","N","Swallow","","Middle/Junior High School Type/ Prek-12","0",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            "
"2000","33028","01","3510","","03","High      ","N","Swallow","","High School Type/ PreK-12","0",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            "
"2000","33028","01","3510","","03","El/Sec    ","N","Swallow","","Combined Elementary/Secondary School Type/ Prek-12","0",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            "
"2000","33028","01","3510","","03","Summary   ","N","Swallow","","Grades PreK-12","325",149,"45.846100                     ",176,"54.153800                     ",0,"0.000000                      ",6,"1.846100                      ",0,"0.000000                      ",0,"0.000000                      ",319,"98.153800                     "
"2000","31708","01","3510","0020","04","Elem      ","N","Swallow","Swallow El","Grades PreK-12","325",149,"45.846100                     ",176,"54.153800                     ",0,"0.000000                      ",6,"1.846100                      ",0,"0.000000                      ",0,"0.000000                      ",319,"98.153800                     "
"2000","32867","01","3514","","03","Elem      ","N","North Lake","","Elementary School Type/ Prek-12","383",173,"45.169700                     ",210,"54.830200                     ",0,"0.000000                      ",4,"1.044300                      ",1,"0.261000                      ",1,"0.261000                      ",377,"98.433400                     "
"2000","32867","01","3514","","03","Mid/Jr Hi ","N","North Lake","","Middle/Junior High School Type/ Prek-12","0",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            "
"2000","32867","01","3514","","03","High      ","N","North Lake","","High School Type/ PreK-12","0",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            "
"2000","32867","01","3514","","03","El/Sec    ","N","North Lake","","Combined Elementary/Secondary School Type/ Prek-12","0",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            "
"2000","32867","01","3514","","03","Summary   ","N","North Lake","","Grades PreK-12","383",173,"45.169700                     ",210,"54.830200                     ",0,"0.000000                      ",4,"1.044300                      ",1,"0.261000                      ",1,"0.261000                      ",377,"98.433400                     "
"2000","30933","01","3514","0020","04","Elem      ","N","North Lake","North Lake El","Grades PreK-12","383",173,"45.169700                     ",210,"54.830200                     ",0,"0.000000                      ",4,"1.044300                      ",1,"0.261000                      ",1,"0.261000                      ",377,"98.433400                     "
"2000","33039","01","3528","","03","Elem      ","N","Merton Community","","Elementary School Type/ Prek-12","823",424,"51.518800                     ",399,"48.481100                     ",0,"0.000000                      ",4,"0.486000                      ",4,"0.486000                      ",0,"0.000000                      ",815,"99.027900                     "
"2000","33039","01","3528","","03","Mid/Jr Hi ","N","Merton Community","","Middle/Junior High School Type/ Prek-12","0",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            "
"2000","33039","01","3528","","03","High      ","N","Merton Community","","High School Type/ PreK-12","0",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            "
"2000","33039","01","3528","","03","El/Sec    ","N","Merton Community","","Combined Elementary/Secondary School Type/ Prek-12","0",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            "
"2000","33039","01","3528","","03","Summary   ","N","Merton Community","","Grades PreK-12","823",424,"51.518800                     ",399,"48.481100                     ",0,"0.000000                      ",4,"0.486000                      ",4,"0.486000                      ",0,"0.000000                      ",815,"99.027900                     "
"2000","31733","01","3528","0020","04","Elem      ","N","Merton Community","Merton Intermediate","Grades PreK-12","495",254,"51.313100                     ",241,"48.686800                     ",0,"0.000000                      ",3,"0.606000                      ",2,"0.404000                      ",0,"0.000000                      ",490,"98.989800                     "
"2000","32779","01","3528","0040","04","Elem      ","N","Merton Community","Merton Primary","Grades PreK-12","328",170,"51.829200                     ",158,"48.170700                     ",0,"0.000000                      ",1,"0.304800                      ",2,"0.609700                      ",0,"0.000000                      ",325,"99.085300                     "
"2000","32869","01","3542","","03","Elem      ","N","Stone Bank","","Elementary School Type/ Prek-12","320",156,"48.750000                     ",164,"51.250000                     ",0,"0.000000                      ",1,"0.312500                      ",2,"0.625000                      ",4,"1.250000                      ",313,"97.812500                     "
"2000","32869","01","3542","","03","Mid/Jr Hi ","N","Stone Bank","","Middle/Junior High School Type/ Prek-12","0",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            "
"2000","32869","01","3542","","03","High      ","N","Stone Bank","","High School Type/ PreK-12","0",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            "
"2000","32869","01","3542","","03","El/Sec    ","N","Stone Bank","","Combined Elementary/Secondary School Type/ Prek-12","0",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            "
"2000","32869","01","3542","","03","Summary   ","N","Stone Bank","","Grades PreK-12","320",156,"48.750000                     ",164,"51.250000                     ",0,"0.000000                      ",1,"0.312500                      ",2,"0.625000                      ",4,"1.250000                      ",313,"97.812500                     "
"2000","30937","01","3542","0020","04","Elem      ","N","Stone Bank","Stone Bank El","Grades PreK-12","320",156,"48.750000                     ",164,"51.250000                     ",0,"0.000000                      ",1,"0.312500                      ",2,"0.625000                      ",4,"1.250000                      ",313,"97.812500                     "
"2000","32886","01","3619","","03","Elem      ","N","Milwaukee","","Elementary School Type/ Prek-12","57688",28011,"48.556000                     ",29677,"51.443900                     ",554,"0.960300                      ",2514,"4.357900                      ",35287,"61.168700                     ",8728,"15.129600                     ",10605,"18.383300                     "
"2000","32886","01","3619","","03","Mid/Jr Hi ","N","Milwaukee","","Middle/Junior High School Type/ Prek-12","15836",7795,"49.223200                     ",8041,"50.776700                     ",190,"1.199700                      ",609,"3.845600                      ",10127,"63.949200                     ",2041,"12.888300                     ",2869,"18.116900                     "
"2000","32886","01","3619","","03","High      ","N","Milwaukee","","High School Type/ PreK-12","23320",11687,"50.115700                     ",11633,"49.884200                     ",271,"1.162000                      ",950,"4.073700                      ",13641,"58.494800                     ",3046,"13.061700                     ",5412,"23.207500                     "
"2000","32886","01","3619","","03","El/Sec    ","N","Milwaukee","","Combined Elementary/Secondary School Type/ Prek-12","2885",1412,"48.942800                     ",1473,"51.057100                     ",14,"0.485200                      ",83,"2.876900                      ",1933,"67.001700                     ",316,"10.953200                     ",539,"18.682800                     "
