"year","agency_key","CESA","district_number","school_number","agency_type","school_type","charter","district_name","school_name","grade_label","race_ethnicity","gender","total_enrollment_prek-12","pre-k_number","pre-k_percent","kinder_number","kinder_percent","grade_1_number","grade_1_percent","grade_2_number","grade_2_percent","grade_3_number","grade_3_percent","grade_4_number","grade_4_percent","grade_5_number","grade_5_percent","grade_6_number","grade_6_percent","grade_7_number","grade_7_percent","grade_8_number","grade_8_percent","grade_9_number","grade_9_percent","grade_10_number","grade_10_percent","grade_11_number","grade_11_percent","grade_12_number","grade_12_percent"
"1998","10116","02","0063","","03","Summary   ","N","Albany","","Grades PreK-12","All Races","Both Genders","520",6,"1.153800                      ",41,"7.884600                      ",49,"9.423000                      ",41,"7.884600                      ",36,"6.923000                      ",35,"6.730700                      ",36,"6.923000                      ",43,"8.269200                      ",40,"7.692300                      ",34,"6.538400                      ",46,"8.846100                      ",33,"6.346100                      ",37,"7.115300                      ",43,"8.269200                      "
"1998","14768","02","0063","0020","04","Elem      ","N","Albany","Albany El","Grades PreK-12","All Races","Both Genders","244",6,"2.459000                      ",41,"16.803200                     ",49,"20.081900                     ",41,"16.803200                     ",36,"14.754000                     ",35,"14.344200                     ",36,"14.754000                     ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      "
"1998","14769","02","0063","0040","04","High      ","N","Albany","Albany Hi","Grades PreK-12","All Races","Both Genders","159",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",46,"28.930800                     ",33,"20.754700                     ",37,"23.270400                     ",43,"27.044000                     "
"1998","14770","02","0063","0060","04","Mid/Jr Hi ","N","Albany","Albany Mid","Grades PreK-12","All Races","Both Genders","117",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",43,"36.752100                     ",40,"34.188000                     ",34,"29.059800                     ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      "
"1998","10119","02","0350","","03","Summary   ","N","Belleville","","Grades PreK-12","All Races","Both Genders","825",23,"2.787800                      ",64,"7.757500                      ",84,"10.181800                     ",69,"8.363600                      ",64,"7.757500                      ",59,"7.151500                      ",70,"8.484800                      ",57,"6.909000                      ",59,"7.151500                      ",66,"8.000000                      ",55,"6.666600                      ",65,"7.878700                      ",35,"4.242400                      ",55,"6.666600                      "
"1998","14776","02","0350","0020","04","Elem      ","N","Belleville","Belleville Primary","Grades PreK-12","All Races","Both Genders","171",23,"13.450200                     ",64,"37.426900                     ",84,"49.122800                     ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      "
"1998","14777","02","0350","0040","04","High      ","N","Belleville","Belleville Hi","Grades PreK-12","All Races","Both Genders","210",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",55,"26.190400                     ",65,"30.952300                     ",35,"16.666600                     ",55,"26.190400                     "
"1998","14778","02","0350","0060","04","Mid/Jr Hi ","N","Belleville","Belleville Mid","Grades PreK-12","All Races","Both Genders","125",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",59,"47.200000                     ",66,"52.800000                     ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      "
"1998","17606","02","0350","0100","04","Elem      ","N","Belleville","Belleville Intermediate","Grades PreK-12","All Races","Both Genders","319",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",69,"21.630000                     ",64,"20.062600                     ",59,"18.495200                     ",70,"21.943500                     ",57,"17.868300                     ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      "
"1998","10121","02","0413","","03","Summary   ","N","Beloit","","Grades PreK-12","All Races","Both Genders","6905",191,"2.766100                      ",572,"8.283800                      ",607,"8.790700                      ",603,"8.732800                      ",516,"7.472800                      ",547,"7.921700                      ",475,"6.879000                      ",533,"7.719000                      ",474,"6.864500                      ",500,"7.241100                      ",450,"6.517000                      ",479,"6.937000                      ",502,"7.270000                      ",456,"6.603900                      "
"1998","14781","02","0413","0020","04","Mid/Jr Hi ","N","Beloit","Aldrich Mid","Grades PreK-12","All Races","Both Genders","710",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",248,"34.929500                     ",221,"31.126700                     ",241,"33.943600                     ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      "
"1998","14782","02","0413","0040","04","Elem      ","N","Beloit","Burdge El","Grades PreK-12","All Races","Both Genders","205",38,"18.536500                     ",23,"11.219500                     ",30,"14.634100                     ",29,"14.146300                     ",26,"12.682900                     ",32,"15.609700                     ",27,"13.170700                     ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      "
"1998","14783","02","0413","0060","04","Elem      ","N","Beloit","Converse El","Grades PreK-12","All Races","Both Genders","341",27,"7.917800                      ",51,"14.956000                     ",49,"14.369500                     ",70,"20.527800                     ",50,"14.662700                     ",53,"15.542500                     ",41,"12.023400                     ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      "
"1998","14784","02","0413","0080","04","Elem      ","N","Beloit","Cunningham El","Grades PreK-12","All Races","Both Genders","285",0,"0.000000                      ",47,"16.491200                     ",42,"14.736800                     ",62,"21.754300                     ",36,"12.631500                     ",46,"16.140300                     ",52,"18.245600                     ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      "
"1998","14767","02","0413","0097","04","Elem      ","N","Beloit","Roosevelt P-K","Grades PreK-12","All Races","Both Genders","45",29,"64.444400                     ",16,"35.555500                     ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      "
"1998","14749","02","0413","0110","04","Elem      ","N","Beloit","Gaston El","Grades PreK-12","All Races","Both Genders","328",0,"0.000000                      ",54,"16.463400                     ",71,"21.646300                     ",50,"15.243900                     ",51,"15.548700                     ",56,"17.073100                     ",46,"14.024300                     ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      "
"1998","14750","02","0413","0120","04","Elem      ","N","Beloit","Hackett El","Grades PreK-12","All Races","Both Genders","368",29,"7.880400                      ",65,"17.663000                     ",68,"18.478200                     ",49,"13.315200                     ",56,"15.217300                     ",48,"13.043400                     ",53,"14.402100                     ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      "
"1998","14751","02","0413","0160","04","Elem      ","N","Beloit","McLenegan El","Grades PreK-12","All Races","Both Genders","227",0,"0.000000                      ",41,"18.061600                     ",45,"19.823700                     ",49,"21.585900                     ",28,"12.334800                     ",36,"15.859000                     ",28,"12.334800                     ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      "
