"year","agency_key","CESA","district_number","school_number","agency_type","school_type","charter","district_name","school_name","grade_label","race_ethnicity","gender","total_enrollment_prek-12","pre-k_number","pre-k_percent","kinder_number","kinder_percent","grade_1_number","grade_1_percent","grade_2_number","grade_2_percent","grade_3_number","grade_3_percent","grade_4_number","grade_4_percent","grade_5_number","grade_5_percent","grade_6_number","grade_6_percent","grade_7_number","grade_7_percent","grade_8_number","grade_8_percent","grade_9_number","grade_9_percent","grade_10_number","grade_10_percent","grade_11_number","grade_11_percent","grade_12_number","grade_12_percent"
"2006","11290","07","0070","","03","Summary   ","N","Algoma","","Grades PreK-12","All Races","Both Genders","616",42,"6.818100                      ",37,"6.006400                      ",47,"7.629800                      ",33,"5.357100                      ",24,"3.896100                      ",39,"6.331100                      ",35,"5.681800                      ",38,"6.168800                      ",42,"6.818100                      ",37,"6.006400                      ",62,"10.064900                     ",60,"9.740200                      ",63,"10.227200                     ",57,"9.253200                      "
"2006","11283","07","0070","0020","04","Elem      ","N","Algoma","Algoma Elementary/Middle","Grades PreK-12","All Races","Both Genders","374",42,"11.229900                     ",37,"9.893000                      ",47,"12.566800                     ",33,"8.823500                      ",24,"6.417100                      ",39,"10.427800                     ",35,"9.358200                      ",38,"10.160400                     ",42,"11.229900                     ",37,"9.893000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      "
"2006","11284","07","0070","0040","04","High      ","N","Algoma","Algoma High","Grades PreK-12","All Races","Both Genders","242",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",62,"25.619800                     ",60,"24.793300                     ",63,"26.033000                     ",57,"23.553700                     "
"2006","72973","07","0070","9204","4C","High      ","Y","Algoma","Northeast WI Online Charter Sch (NEWOCS)","Grades PreK-12","All Races","Both Genders","0",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            "
"2006","12000","07","0182","","03","Summary   ","N","Ashwaubenon","","Grades PreK-12","All Races","Both Genders","3119",21,"0.673200                      ",223,"7.149700                      ",199,"6.380200                      ",208,"6.668800                      ",188,"6.027500                      ",214,"6.861100                      ",228,"7.310000                      ",205,"6.572600                      ",255,"8.175600                      ",248,"7.951200                      ",282,"9.041300                      ",278,"8.913100                      ",256,"8.207700                      ",314,"10.067300                     "
"2006","11954","07","0182","0020","04","High      ","N","Ashwaubenon","Ashwaubenon High","Grades PreK-12","All Races","Both Genders","1130",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",282,"24.955700                     ",278,"24.601700                     ",256,"22.654800                     ",314,"27.787600                     "
"2006","11955","07","0182","0045","04","Mid/Jr Hi ","N","Ashwaubenon","Parkview Middle","Grades PreK-12","All Races","Both Genders","708",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",205,"28.954800                     ",255,"36.016900                     ",248,"35.028200                     ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      "
"2006","11882","07","0182","0050","04","Elem      ","N","Ashwaubenon","Pioneer Elementary","Grades PreK-12","All Races","Both Genders","401",0,"0.000000                      ",0,"0.000000                      ",79,"19.700700                     ",82,"20.448800                     ",70,"17.456300                     ",83,"20.698200                     ",87,"21.695700                     ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      "
"2006","11956","07","0182","0055","04","Elem      ","N","Ashwaubenon","Cormier School and Early Learning","Grades PreK-12","All Races","Both Genders","235",12,"5.106300                      ",223,"94.893600                     ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      "
"2006","11957","07","0182","0060","04","Elem      ","N","Ashwaubenon","Valley View Elementary","Grades PreK-12","All Races","Both Genders","645",9,"1.395300                      ",0,"0.000000                      ",120,"18.604600                     ",126,"19.534800                     ",118,"18.294500                     ",131,"20.310000                     ",141,"21.860400                     ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      "
"2006","72974","07","0182","9204","4C","High      ","Y","Ashwaubenon","Northeast WI Online Charter Sch (NEWOCS)","Grades PreK-12","All Races","Both Genders","0",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            "
"2006","10445","07","0658","","03","Summary   ","N","Brillion","","Grades PreK-12","All Races","Both Genders","870",0,"0.000000                      ",51,"5.862000                      ",60,"6.896500                      ",58,"6.666600                      ",41,"4.712600                      ",52,"5.977000                      ",54,"6.206800                      ",80,"9.195400                      ",60,"6.896500                      ",79,"9.080400                      ",77,"8.850500                      ",95,"10.919500                     ",77,"8.850500                      ",86,"9.885000                      "
"2006","10437","07","0658","0020","04","Elem      ","N","Brillion","Brillion Elementary","Grades PreK-12","All Races","Both Genders","316",0,"0.000000                      ",51,"16.139200                     ",60,"18.987300                     ",58,"18.354400                     ",41,"12.974600                     ",52,"16.455600                     ",54,"17.088600                     ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      "
"2006","10438","07","0658","0021","04","Mid/Jr Hi ","N","Brillion","Brillion Middle","Grades PreK-12","All Races","Both Genders","219",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",80,"36.529600                     ",60,"27.397200                     ",79,"36.073000                     ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      "
"2006","10439","07","0658","0040","04","High      ","N","Brillion","Brillion High","Grades PreK-12","All Races","Both Genders","335",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",77,"22.985000                     ",95,"28.358200                     ",77,"22.985000                     ",86,"25.671600                     "
"2006","72975","07","0658","9204","4C","High      ","Y","Brillion","Northeast WI Online Charter Sch (NEWOCS)","Grades PreK-12","All Races","Both Genders","1",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",1,"100.000000                    "
