"year","agency_key","CESA","district_number","school_number","agency_type","school_type","charter","district_name","school_name","grade_label","total_enrollment_prek-12","number_female","percent_female","number_male","percent_male","number_am_ind","percent_am_ind","number_asian","percent_asian","number_black","percent_black","number_hispanic","percent_hispanic","number_white","percent_white"
"2003","53692","06","0147","","03","Elem      ","N","Appleton Area","","Elementary School Type/ Prek-12","7794",3717,"47.690500                     ",4077,"52.309400                     ",69,"0.885200                      ",873,"11.200900                     ",188,"2.412100                      ",347,"4.452100                      ",6317,"81.049500                     "
"2003","53692","06","0147","","03","Mid/Jr Hi ","N","Appleton Area","","Middle/Junior High School Type/ Prek-12","2231",1126,"50.470600                     ",1105,"49.529300                     ",16,"0.717100                      ",231,"10.354100                     ",44,"1.972200                      ",57,"2.554900                      ",1883,"84.401600                     "
"2003","53692","06","0147","","03","High      ","N","Appleton Area","","High School Type/ PreK-12","4918",2351,"47.803900                     ",2567,"52.196000                     ",35,"0.711600                      ",438,"8.906000                      ",75,"1.525000                      ",130,"2.643300                      ",4240,"86.213900                     "
"2003","53692","06","0147","","03","El/Sec    ","N","Appleton Area","","Combined Elementary/Secondary School Type/ Prek-12","0",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            "
"2003","53692","06","0147","","03","Summary   ","N","Appleton Area","","Grades PreK-12","14943",7194,"48.142900                     ",7749,"51.857000                     ",120,"0.803000                      ",1542,"10.319200                     ",307,"2.054400                      ",534,"3.573500                      ",12440,"83.249600                     "
"2003","53129","06","0147","0020","04","High      ","N","Appleton Area","East Hi","Grades PreK-12","1499",732,"48.832500                     ",767,"51.167400                     ",7,"0.466900                      ",115,"7.671700                      ",16,"1.067300                      ",20,"1.334200                      ",1341,"89.459600                     "
"2003","53188","06","0147","0030","04","High      ","N","Appleton Area","North Hi","Grades PreK-12","1702",838,"49.236100                     ",864,"50.763800                     ",14,"0.822500                      ",184,"10.810800                     ",25,"1.468800                      ",61,"3.584000                      ",1418,"83.313700                     "
"2003","53128","06","0147","0040","04","High      ","N","Appleton Area","West Hi","Grades PreK-12","1461",643,"44.010900                     ",818,"55.989000                     ",7,"0.479100                      ",128,"8.761100                      ",29,"1.984900                      ",41,"2.806200                      ",1256,"85.968500                     "
"2003","50160","06","0147","0060","04","Elem      ","N","Appleton Area","Badger El","Grades PreK-12","299",156,"52.173900                     ",143,"47.826000                     ",5,"1.672200                      ",22,"7.357800                      ",12,"4.013300                      ",58,"19.397900                     ",202,"67.558500                     "
"2003","50161","06","0147","0080","04","Elem      ","N","Appleton Area","Columbus El","Grades PreK-12","222",101,"45.495400                     ",121,"54.504500                     ",3,"1.351300                      ",89,"40.090000                     ",10,"4.504500                      ",8,"3.603600                      ",112,"50.450400                     "
"2003","50162","06","0147","0100","04","Elem      ","N","Appleton Area","Edison El","Grades PreK-12","304",128,"42.105200                     ",176,"57.894700                     ",6,"1.973600                      ",30,"9.868400                      ",11,"3.618400                      ",2,"0.657800                      ",255,"83.881500                     "
"2003","54221","06","0147","0110","04","Elem      ","Y","Appleton Area","Classical Charter Sch","Grades PreK-12","335",174,"51.940200                     ",161,"48.059700                     ",1,"0.298500                      ",9,"2.686500                      ",1,"0.298500                      ",3,"0.895500                      ",321,"95.820800                     "
"2003","55146","06","0147","0115","04","Elem      ","Y","Appleton Area","Elementary TAG School","Grades PreK-12","39",13,"33.333300                     ",26,"66.666600                     ",0,"0.000000                      ",1,"2.564100                      ",0,"0.000000                      ",1,"2.564100                      ",37,"94.871700                     "
"2003","50163","06","0147","0120","04","Mid/Jr Hi ","N","Appleton Area","Einstein Mid","Grades PreK-12","448",231,"51.562500                     ",217,"48.437500                     ",4,"0.892800                      ",19,"4.241000                      ",4,"0.892800                      ",3,"0.669600                      ",418,"93.303500                     "
"2003","55148","06","0147","0125","04","Elem      ","Y","Appleton Area","Wisconsin Connections Academy","Grades PreK-12","238",108,"45.378100                     ",130,"54.621800                     ",2,"0.840300                      ",0,"0.000000                      ",14,"5.882300                      ",7,"2.941100                      ",215,"90.336100                     "
"2003","50204","06","0147","0130","04","Elem      ","N","Appleton Area","Ferber El","Grades PreK-12","808",378,"46.782100                     ",430,"53.217800                     ",7,"0.866300                      ",84,"10.396000                     ",13,"1.608900                      ",21,"2.599000                      ",683,"84.529700                     "
"2003","50205","06","0147","0140","04","Elem      ","N","Appleton Area","Foster El","Grades PreK-12","242",118,"48.760300                     ",124,"51.239600                     ",0,"0.000000                      ",69,"28.512300                     ",7,"2.892500                      ",9,"3.719000                      ",157,"64.876000                     "
"2003","50206","06","0147","0160","04","Elem      ","N","Appleton Area","Franklin El","Grades PreK-12","419",181,"43.198000                     ",238,"56.801900                     ",5,"1.193300                      ",56,"13.365100                     ",6,"1.431900                      ",9,"2.147900                      ",343,"81.861500                     "
"2003","50207","06","0147","0180","04","Elem      ","N","Appleton Area","Highlands El","Grades PreK-12","628",322,"51.273800                     ",306,"48.726100                     ",0,"0.000000                      ",106,"16.878900                     ",19,"3.025400                      ",46,"7.324800                      ",457,"72.770700                     "
"2003","53130","06","0147","0190","04","Elem      ","N","Appleton Area","Horizons El","Grades PreK-12","476",232,"48.739400                     ",244,"51.260500                     ",4,"0.840300                      ",65,"13.655400                     ",12,"2.521000                      ",66,"13.865500                     ",329,"69.117600                     "
"2003","53132","06","0147","0195","04","Elem      ","N","Appleton Area","Houdini El","Grades PreK-12","642",302,"47.040400                     ",340,"52.959500                     ",1,"0.155700                      ",13,"2.024900                      ",21,"3.271000                      ",7,"1.090300                      ",600,"93.457900                     "
"2003","54535","06","0147","0200","04","Elem      ","N","Appleton Area","Huntley El","Grades PreK-12","568",265,"46.654900                     ",303,"53.345000                     ",12,"2.112600                      ",30,"5.281600                      ",11,"1.936600                      ",13,"2.288700                      ",502,"88.380200                     "
"2003","54506","06","0147","0210","04","Mid/Jr Hi ","Y","Appleton Area","Magellan Mid","Grades PreK-12","46",27,"58.695600                     ",19,"41.304300                     ",1,"2.173900                      ",2,"4.347800                      ",0,"0.000000                      ",1,"2.173900                      ",42,"91.304300                     "
"2003","53133","06","0147","0220","04","Elem      ","N","Appleton Area","Berry El","Grades PreK-12","524",270,"51.526700                     ",254,"48.473200                     ",4,"0.763300                      ",15,"2.862500                      ",4,"0.763300                      ",7,"1.335800                      ",494,"94.274800                     "
"2003","54477","06","0147","0230","04","Mid/Jr Hi ","Y","Appleton Area","Appleton Community Learning Center","Grades PreK-12","5",1,"20.000000                     ",4,"80.000000                     ",0,"0.000000                      ",0,"0.000000                      ",0,"0.000000                      ",1,"20.000000                     ",4,"80.000000                     "
"2003","53119","06","0147","0240","04","Elem      ","N","Appleton Area","Jefferson El","Grades PreK-12","400",204,"51.000000                     ",196,"49.000000                     ",8,"2.000000                      ",71,"17.750000                     ",10,"2.500000                      ",24,"6.000000                      ",287,"71.750000                     "
"2003","53120","06","0147","0260","04","Elem      ","N","Appleton Area","Johnston El","Grades PreK-12","501",207,"41.317300                     ",294,"58.682600                     ",2,"0.399200                      ",80,"15.968000                     ",9,"1.796400                      ",29,"5.788400                      ",381,"76.047900                     "
"2003","53121","06","0147","0280","04","Elem      ","N","Appleton Area","Lincoln El","Grades PreK-12","428",208,"48.598100                     ",220,"51.401800                     ",7,"1.635500                      ",92,"21.495300                     ",10,"2.336400                      ",20,"4.672800                      ",299,"69.859800                     "
"2003","53122","06","0147","0300","04","Mid/Jr Hi ","N","Appleton Area","Madison Mid","Grades PreK-12","749",366,"48.865100                     ",383,"51.134800                     ",3,"0.400500                      ",75,"10.013300                     ",9,"1.201600                      ",20,"2.670200                      ",642,"85.714200                     "
"2003","53123","06","0147","0320","04","Elem      ","N","Appleton Area","McKinley El","Grades PreK-12","456",213,"46.710500                     ",243,"53.289400                     ",2,"0.438500                      ",27,"5.921000                      ",11,"2.412200                      ",12,"2.631500                      ",404,"88.596400                     "
"2003","53124","06","0147","0340","04","Elem      ","N","Appleton Area","Richmond El","Grades PreK-12","265",137,"51.698100                     ",128,"48.301800                     ",0,"0.000000                      ",14,"5.283000                      ",7,"2.641500                      ",5,"1.886700                      ",239,"90.188600                     "
