"year","agency_key","CESA","district_number","school_number","agency_type","school_type","charter","district_name","school_name","grade_label","race_ethnicity","gender","enrollment_prek-12","number_eligible_for_subsidized_lunch","percent_eligible_for_subsidized_lunch","number_not_eligible_for_subsidized_lunch_or_no_data","percent_not_eligible_for_subsidized_lunch_or_no_data"
"2001","42967","01","0714","","03","Elem      ","N","Elmbrook","","Elementary School Type/ Prek-12","All Races","Both Genders",2976,157,"5.2755376300                  ",2819,"94.7244623600                 "
"2001","42967","01","0714","","03","Mid/Jr Hi ","N","Elmbrook","","Middle/Junior High School Type/ Prek-12","All Races","Both Genders",1744,98,"5.6192660500                  ",1646,"94.3807339400                 "
"2001","42967","01","0714","","03","High      ","N","Elmbrook","","High School Type/ PreK-12","All Races","Both Genders",2695,113,"4.1929499000                  ",2582,"95.8070500900                 "
"2001","42967","01","0714","","03","El/Sec    ","N","Elmbrook","","Combined Elementary/Secondary School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            "
"2001","42967","01","0714","","03","Summary   ","N","Elmbrook","","Grades PreK-12","All Races","Both Genders",7415,368,"4.9629130100                  ",7047,"95.0370869800                 "
"2001","41135","01","0714","0020","04","High      ","N","Elmbrook","Central Hi","Grades PreK-12","All Races","Both Genders",1337,52,"3.8893044100                  ",1285,"96.1106955800                 "
"2001","41101","01","0714","0040","04","Elem      ","N","Elmbrook","Brookfield El","Grades PreK-12","All Races","Both Genders",389,20,"5.1413881700                  ",369,"94.8586118200                 "
"2001","41136","01","0714","0060","04","High      ","N","Elmbrook","East Hi","Grades PreK-12","All Races","Both Genders",1280,50,"3.9062500000                  ",1230,"96.0937500000                 "
"2001","41137","01","0714","0080","04","Elem      ","N","Elmbrook","Burleigh El","Grades PreK-12","All Races","Both Genders",766,37,"4.8302872000                  ",729,"95.1697127900                 "
"2001","41138","01","0714","0100","04","Elem      ","N","Elmbrook","Dixon El","Grades PreK-12","All Races","Both Genders",411,20,"4.8661800400                  ",391,"95.1338199500                 "
"2001","41008","01","0714","0150","04","Mid/Jr Hi ","N","Elmbrook","Pilgrim Park Mid","Grades PreK-12","All Races","Both Genders",827,37,"4.4740024100                  ",790,"95.5259975800                 "
"2001","41102","01","0714","0160","04","High      ","N","Elmbrook","Fairview South","Grades PreK-12","All Races","Both Genders",78,11,"14.1025641000                 ",67,"85.8974358900                 "
"2001","41103","01","0714","0170","04","Elem      ","N","Elmbrook","Hillside El","Grades PreK-12","All Races","Both Genders",395,17,"4.3037974600                  ",378,"95.6962025300                 "
"2001","42879","01","0714","0190","04","Elem      ","N","Elmbrook","Swanson El","Grades PreK-12","All Races","Both Genders",621,50,"8.0515297900                  ",571,"91.9484702000                 "
"2001","41009","01","0714","0250","04","Elem      ","N","Elmbrook","Tonawanda El","Grades PreK-12","All Races","Both Genders",394,13,"3.2994923800                  ",381,"96.7005076100                 "
"2001","41104","01","0714","0270","04","Mid/Jr Hi ","N","Elmbrook","Wisconsin Hills Mid","Grades PreK-12","All Races","Both Genders",917,61,"6.6521264900                  ",856,"93.3478735000                 "
"2001","43177","01","0721","","03","Elem      ","N","Brown Deer","","Elementary School Type/ Prek-12","All Races","Both Genders",561,81,"14.4385026700                 ",480,"85.5614973200                 "
"2001","43177","01","0721","","03","Mid/Jr Hi ","N","Brown Deer","","Middle/Junior High School Type/ Prek-12","All Races","Both Genders",578,96,"16.6089965300                 ",482,"83.3910034600                 "
"2001","43177","01","0721","","03","High      ","N","Brown Deer","","High School Type/ PreK-12","All Races","Both Genders",579,25,"4.3177892900                  ",554,"95.6822107000                 "
"2001","43177","01","0721","","03","El/Sec    ","N","Brown Deer","","Combined Elementary/Secondary School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            "
"2001","43177","01","0721","","03","Summary   ","N","Brown Deer","","Grades PreK-12","All Races","Both Genders",1718,202,"11.7578579700                 ",1516,"88.2421420200                 "
"2001","42000","01","0721","0040","04","High      ","N","Brown Deer","Brown Deer Hi","Grades PreK-12","All Races","Both Genders",579,25,"4.3177892900                  ",554,"95.6822107000                 "
"2001","42001","01","0721","0060","04","Mid/Jr Hi ","N","Brown Deer","Brown Deer Mid","Grades PreK-12","All Races","Both Genders",578,96,"16.6089965300                 ",482,"83.3910034600                 "
"2001","42002","01","0721","0080","04","Elem      ","N","Brown Deer","Dean El","Grades PreK-12","All Races","Both Genders",332,49,"14.7590361400                 ",283,"85.2409638500                 "
"2001","42003","01","0721","0090","04","Elem      ","N","Brown Deer","Algonquin El","Grades PreK-12","All Races","Both Genders",229,32,"13.9737991200                 ",197,"86.0262008700                 "
"2001","42969","01","1015","","03","Elem      ","N","Cedarburg","","Elementary School Type/ Prek-12","All Races","Both Genders",1204,26,"2.1594684300                  ",1178,"97.8405315600                 "
"2001","42969","01","1015","","03","Mid/Jr Hi ","N","Cedarburg","","Middle/Junior High School Type/ Prek-12","All Races","Both Genders",660,16,"2.4242424200                  ",644,"97.5757575700                 "
"2001","42969","01","1015","","03","High      ","N","Cedarburg","","High School Type/ PreK-12","All Races","Both Genders",1059,13,"1.2275731800                  ",1046,"98.7724268100                 "
"2001","42969","01","1015","","03","El/Sec    ","N","Cedarburg","","Combined Elementary/Secondary School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            "
"2001","42969","01","1015","","03","Summary   ","N","Cedarburg","","Grades PreK-12","All Races","Both Genders",2923,55,"1.8816284600                  ",2868,"98.1183715300                 "
"2001","41144","01","1015","0020","04","High      ","N","Cedarburg","Cedarburg Hi","Grades PreK-12","All Races","Both Genders",1059,13,"1.2275731800                  ",1046,"98.7724268100                 "
"2001","41145","01","1015","0070","04","Elem      ","N","Cedarburg","Parkview El","Grades PreK-12","All Races","Both Genders",428,8,"1.8691588700                  ",420,"98.1308411200                 "
"2001","41146","01","1015","0075","04","Elem      ","N","Cedarburg","Westlawn El","Grades PreK-12","All Races","Both Genders",295,10,"3.3898305000                  ",285,"96.6101694900                 "
"2001","41147","01","1015","0090","04","Elem      ","N","Cedarburg","Thorson El","Grades PreK-12","All Races","Both Genders",481,8,"1.6632016600                  ",473,"98.3367983300                 "
"2001","41148","01","1015","0100","04","Mid/Jr Hi ","N","Cedarburg","Webster Mid","Grades PreK-12","All Races","Both Genders",660,16,"2.4242424200                  ",644,"97.5757575700                 "
"2001","42938","01","1253","","03","Elem      ","N","Cudahy","","Elementary School Type/ Prek-12","All Races","Both Genders",1624,488,"30.0492610800                 ",1136,"69.9507389100                 "
"2001","42938","01","1253","","03","Mid/Jr Hi ","N","Cudahy","","Middle/Junior High School Type/ Prek-12","All Races","Both Genders",435,127,"29.1954022900                 ",308,"70.8045977000                 "
"2001","42938","01","1253","","03","High      ","N","Cudahy","","High School Type/ PreK-12","All Races","Both Genders",924,161,"17.4242424200                 ",763,"82.5757575700                 "
"2001","42938","01","1253","","03","El/Sec    ","N","Cudahy","","Combined Elementary/Secondary School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            "
"2001","42938","01","1253","","03","Summary   ","N","Cudahy","","Grades PreK-12","All Races","Both Genders",2983,776,"26.0140797800                 ",2207,"73.9859202100                 "
"2001","40984","01","1253","0022","04","Mid/Jr Hi ","N","Cudahy","Cudahy Mid","Grades PreK-12","All Races","Both Genders",435,127,"29.1954022900                 ",308,"70.8045977000                 "
"2001","40985","01","1253","0040","04","High      ","N","Cudahy","Cudahy Hi","Grades PreK-12","All Races","Both Genders",924,161,"17.4242424200                 ",763,"82.5757575700                 "
"2001","40986","01","1253","0050","04","Elem      ","N","Cudahy","Mitchell El","Grades PreK-12","All Races","Both Genders",349,59,"16.9054441200                 ",290,"83.0945558700                 "
"2001","40987","01","1253","0060","04","Elem      ","N","Cudahy","Jones El","Grades PreK-12","All Races","Both Genders",216,30,"13.8888888800                 ",186,"86.1111111100                 "
"2001","40988","01","1253","0080","04","Elem      ","N","Cudahy","Lincoln El","Grades PreK-12","All Races","Both Genders",411,141,"34.3065693400                 ",270,"65.6934306500                 "
"2001","40989","01","1253","0120","04","Elem      ","N","Cudahy","Parkview El","Grades PreK-12","All Races","Both Genders",361,149,"41.2742382200                 ",212,"58.7257617700                 "
"2001","39591","01","1253","0140","04","Elem      ","N","Cudahy","Kosciuszko El","Grades PreK-12","All Races","Both Genders",287,109,"37.9790940700                 ",178,"62.0209059200                 "
"2001","43171","01","1376","","03","Elem      ","N","Kettle Moraine","","Elementary School Type/ Prek-12","All Races","Both Genders",1783,79,"4.4307347100                  ",1704,"95.5692652800                 "
"2001","43171","01","1376","","03","Mid/Jr Hi ","N","Kettle Moraine","","Middle/Junior High School Type/ Prek-12","All Races","Both Genders",1025,41,"4.0000000000                  ",984,"96.0000000000                 "
"2001","43171","01","1376","","03","High      ","N","Kettle Moraine","","High School Type/ PreK-12","All Races","Both Genders",1468,28,"1.9073569400                  ",1440,"98.0926430500                 "
"2001","43171","01","1376","","03","El/Sec    ","N","Kettle Moraine","","Combined Elementary/Secondary School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            "
"2001","43171","01","1376","","03","Summary   ","N","Kettle Moraine","","Grades PreK-12","All Races","Both Genders",4276,148,"3.4611786700                  ",4128,"96.5388213200                 "
"2001","41079","01","1376","0040","04","Elem      ","N","Kettle Moraine","Cushing El","Grades PreK-12","All Races","Both Genders",531,20,"3.7664783400                  ",511,"96.2335216500                 "
"2001","40995","01","1376","0060","04","Elem      ","N","Kettle Moraine","Dousman El","Grades PreK-12","All Races","Both Genders",477,41,"8.5953878400                  ",436,"91.4046121500                 "
"2001","41878","01","1376","0120","04","High      ","N","Kettle Moraine","Kettle Moraine Hi","Grades PreK-12","All Races","Both Genders",1468,28,"1.9073569400                  ",1440,"98.0926430500                 "
"2001","40996","01","1376","0140","04","Mid/Jr Hi ","N","Kettle Moraine","Kettle Moraine Mid","Grades PreK-12","All Races","Both Genders",1025,41,"4.0000000000                  ",984,"96.0000000000                 "
