"year","agency_key","CESA","district_number","school_number","agency_type","school_type","charter","district_name","school_name","grade_label","race_ethnicity","gender","enrollment_prek-12","number_eligible_for_subsidized_lunch","percent_eligible_for_subsidized_lunch","number_not_eligible_for_subsidized_lunch_or_no_data","percent_not_eligible_for_subsidized_lunch_or_no_data"
"2005","77113","03","0161","","03","Elem      ","N","Argyle","","Elementary School Type/ Prek-12","All Races","Both Genders",166,39,"23.4939759000                 ",127,"76.5060240900                 "
"2005","77113","03","0161","","03","Mid/Jr Hi ","N","Argyle","","Middle/Junior High School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            "
"2005","77113","03","0161","","03","High      ","N","Argyle","","High School Type/ PreK-12","All Races","Both Genders",198,42,"21.2121212100                 ",156,"78.7878787800                 "
"2005","77113","03","0161","","03","El/Sec    ","N","Argyle","","Combined Elementary/Secondary School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            "
"2005","77113","03","0161","","03","Summary   ","N","Argyle","","Grades PreK-12","All Races","Both Genders",364,81,"22.2527472500                 ",283,"77.7472527400                 "
"2005","77111","03","0161","0020","04","Elem      ","N","Argyle","Argyle Elementary","Grades PreK-12","All Races","Both Genders",166,39,"23.4939759000                 ",127,"76.5060240900                 "
"2005","77112","03","0161","0040","04","High      ","N","Argyle","Argyle High","Grades PreK-12","All Races","Both Genders",198,42,"21.2121212100                 ",156,"78.7878787800                 "
"2005","79878","03","0161","0430","04","High      ","Y","Argyle","ALEA Argyle Land Ethic Academy","Grades PreK-12","All Races","Both Genders",0,0,"--                            ",0,"--                            "
"2005","74918","03","0161","9412","04","High      ","Y","Argyle","Lafayette County Academy","Grades PreK-12","All Races","Both Genders",0,0,"--                            ",0,"--                            "
"2005","77100","03","0287","","03","Elem      ","N","Barneveld","","Elementary School Type/ Prek-12","All Races","Both Genders",186,17,"9.1397849400                  ",169,"90.8602150500                 "
"2005","77100","03","0287","","03","Mid/Jr Hi ","N","Barneveld","","Middle/Junior High School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            "
"2005","77100","03","0287","","03","High      ","N","Barneveld","","High School Type/ PreK-12","All Races","Both Genders",213,18,"8.4507042200                  ",195,"91.5492957700                 "
"2005","77100","03","0287","","03","El/Sec    ","N","Barneveld","","Combined Elementary/Secondary School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            "
"2005","77100","03","0287","","03","Summary   ","N","Barneveld","","Grades PreK-12","All Races","Both Genders",399,35,"8.7719298200                  ",364,"91.2280701700                 "
"2005","77098","03","0287","0020","04","Elem      ","N","Barneveld","Barneveld Elementary","Grades PreK-12","All Races","Both Genders",186,17,"9.1397849400                  ",169,"90.8602150500                 "
"2005","77099","03","0287","0040","04","High      ","N","Barneveld","Barneveld High","Grades PreK-12","All Races","Both Genders",213,18,"8.4507042200                  ",195,"91.5492957700                 "
"2005","79044","03","0287","9412","4C","High      ","Y","Barneveld","Lafayette County Academy","Grades PreK-12","All Races","Both Genders",0,0,"--                            ",0,"--                            "
"2005","77089","03","0364","","03","Elem      ","N","Belmont Community","","Elementary School Type/ Prek-12","All Races","Both Genders",167,33,"19.7604790400                 ",134,"80.2395209500                 "
"2005","77089","03","0364","","03","Mid/Jr Hi ","N","Belmont Community","","Middle/Junior High School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            "
