"year","agency_key","CESA","district_number","school_number","agency_type","school_type","charter","district_name","school_name","grade_label","total_enrollment_K-12","number_female","percent_female","number_male","percent_male","number_am_ind","percent_am_ind","number_asian","percent_asian","number_black","percent_black","number_hispanic","percent_hispanic","number_white","percent_white"
"2005","76549","08","0602","","03","High Schools","N","Bonduel","","High Schools","342",164,47.953200,178,52.046700,7,2.046700,2,.584700,2,.584700,2,.584700,329,96.198800
"2005","76549","08","0602","","03","Mid/Jr Hi Schools","N","Bonduel","","Mid/Jr Hi Schools","177",85,48.022500,92,51.977400,7,3.954800,0,.000000,0,.000000,5,2.824800,165,93.220300
"2005","76549","08","0602","","03","Elem. Schools","N","Bonduel","","Elem. Schools","343",159,46.355600,184,53.644300,6,1.749200,0,.000000,2,.583000,10,2.915400,325,94.752100
"2005","76549","08","0602","","03","El/Sec Combined Schls","N","Bonduel","","El/Sec Combined Schls","0",,.000000,,.000000,,.000000,,.000000,,.000000,,.000000,,.000000
"2005","76549","08","0602","","03","Summary","N","Bonduel","","Summary","862",408,47.331700,454,52.668200,20,2.320100,2,.232000,4,.464000,17,1.972100,819,95.011600
"2005","76560","08","0602","0020","04","Elem. Schools","N","Bonduel","Bonduel Elementary","Elem. Schools","286",128,44.755200,158,55.244700,6,2.097900,0,.000000,2,.699300,9,3.146800,269,94.055900
"2005","76561","08","0602","0021","04","Mid/Jr Hi Schools","N","Bonduel","Bonduel Middle","Mid/Jr Hi Schools","177",85,48.022500,92,51.977400,7,3.954800,0,.000000,0,.000000,5,2.824800,165,93.220300
"2005","76562","08","0602","0040","04","High Schools","N","Bonduel","Bonduel High","High Schools","342",164,47.953200,178,52.046700,7,2.046700,2,.584700,2,.584700,2,.584700,329,96.198800
"2005","76563","08","0602","0080","04","Elem. Schools","N","Bonduel","Navarino Elementary","Elem. Schools","57",31,54.385900,26,45.614000,0,.000000,0,.000000,0,.000000,1,1.754300,56,98.245600
"2005","76212","08","0623","","03","High Schools","N","Bowler","","High Schools","228",116,50.877100,112,49.122800,84,36.842100,1,.438500,0,.000000,2,.877100,141,61.842100
"2005","76212","08","0623","","03","Mid/Jr Hi Schools","N","Bowler","","Mid/Jr Hi Schools","0",,.000000,,.000000,,.000000,,.000000,,.000000,,.000000,,.000000
"2005","76212","08","0623","","03","Elem. Schools","N","Bowler","","Elem. Schools","234",118,50.427300,116,49.572600,92,39.316200,3,1.282000,2,.854700,0,.000000,137,58.547000
"2005","76212","08","0623","","03","El/Sec Combined Schls","N","Bowler","","El/Sec Combined Schls","0",,.000000,,.000000,,.000000,,.000000,,.000000,,.000000,,.000000
"2005","76212","08","0623","","03","Summary","N","Bowler","","Summary","462",234,50.649300,228,49.350600,176,38.095200,4,.865800,2,.432900,2,.432900,278,60.173100
"2005","76210","08","0623","0020","04","Elem. Schools","N","Bowler","Bowler Elementary","Elem. Schools","234",118,50.427300,116,49.572600,92,39.316200,3,1.282000,2,.854700,0,.000000,137,58.547000
"2005","76211","08","0623","0040","04","High Schools","N","Bowler","Bowler High","High Schools","228",116,50.877100,112,49.122800,84,36.842100,1,.438500,0,.000000,2,.877100,141,61.842100
"2005","79155","08","1141","","03","High Schools","N","Clintonville","","High Schools","626",309,49.361000,317,50.638900,5,.798700,10,1.597400,4,.638900,14,2.236400,593,94.728400
"2005","79155","08","1141","","03","Mid/Jr Hi Schools","N","Clintonville","","Mid/Jr Hi Schools","388",180,46.391700,208,53.608200,4,1.030900,1,.257700,4,1.030900,6,1.546300,373,96.134000
"2005","79155","08","1141","","03","Elem. Schools","N","Clintonville","","Elem. Schools","521",247,47.408800,274,52.591100,3,.575800,2,.383800,2,.383800,16,3.071000,498,95.585400
"2005","79155","08","1141","","03","El/Sec Combined Schls","N","Clintonville","","El/Sec Combined Schls","0",,.000000,,.000000,,.000000,,.000000,,.000000,,.000000,,.000000
"2005","79155","08","1141","","03","Summary","N","Clintonville","","Summary","1535",736,47.947800,799,52.052100,12,.781700,13,.846900,10,.651400,36,2.345200,1464,95.374500
"2005","75478","08","1141","0015","04","Elem. Schools","N","Clintonville","Bear Creek Elementary","Elem. Schools","54",27,50.000000,27,50.000000,0,.000000,0,.000000,0,.000000,4,7.407400,50,92.592500
"2005","75464","08","1141","0020","04","Mid/Jr Hi Schools","N","Clintonville","Clintonville Middle","Mid/Jr Hi Schools","388",180,46.391700,208,53.608200,4,1.030900,1,.257700,4,1.030900,6,1.546300,373,96.134000
"2005","79154","08","1141","0040","04","High Schools","N","Clintonville","Clintonville High","High Schools","626",309,49.361000,317,50.638900,5,.798700,10,1.597400,4,.638900,14,2.236400,593,94.728400
"2005","75465","08","1141","0060","04","Elem. Schools","N","Clintonville","Dellwood Early Learning Center","Elem. Schools","97",46,47.422600,51,52.577300,0,.000000,0,.000000,1,1.030900,0,.000000,96,98.969000
"2005","75466","08","1141","0100","04","Elem. Schools","N","Clintonville","Longfellow Elementary","Elem. Schools","370",174,47.027000,196,52.972900,3,.810800,2,.540500,1,.270200,12,3.243200,352,95.135100
"2005","78894","08","1141","9408","4C","High Schools","Y","Clintonville","Waupaca County Charter","High Schools","0",,.000000,,.000000,,.000000,,.000000,,.000000,,.000000,,.000000
"2005","76542","08","1169","","03","High Schools","N","Coleman","","High Schools","267",132,49.438200,135,50.561700,1,.374500,2,.749000,0,.000000,6,2.247100,258,96.629200
"2005","76542","08","1169","","03","Mid/Jr Hi Schools","N","Coleman","","Mid/Jr Hi Schools","0",,.000000,,.000000,,.000000,,.000000,,.000000,,.000000,,.000000
"2005","76542","08","1169","","03","Elem. Schools","N","Coleman","","Elem. Schools","516",251,48.643400,265,51.356500,1,.193700,2,.387500,1,.193700,23,4.457300,489,94.767400
"2005","76542","08","1169","","03","El/Sec Combined Schls","N","Coleman","","El/Sec Combined Schls","0",,.000000,,.000000,,.000000,,.000000,,.000000,,.000000,,.000000
"2005","76542","08","1169","","03","Summary","N","Coleman","","Summary","783",383,48.914400,400,51.085500,2,.255400,4,.510800,1,.127700,29,3.703700,747,95.402200
"2005","76555","08","1169","0040","04","Elem. Schools","N","Coleman","Coleman Elementary/Middle","Elem. Schools","516",251,48.643400,265,51.356500,1,.193700,2,.387500,1,.193700,23,4.457300,489,94.767400
"2005","76556","08","1169","0060","04","High Schools","N","Coleman","Coleman High","High Schools","267",132,49.438200,135,50.561700,1,.374500,2,.749000,0,.000000,6,2.247100,258,96.629200
"2005","79243","08","1218","","03","High Schools","N","Crandon","","High Schools","289",138,47.750800,151,52.249100,83,28.719700,1,.346000,0,.000000,0,.000000,205,70.934200
"2005","79243","08","1218","","03","Mid/Jr Hi Schools","N","Crandon","","Mid/Jr Hi Schools","247",123,49.797500,124,50.202400,75,30.364300,0,.000000,0,.000000,1,.404800,171,69.230700
"2005","79243","08","1218","","03","Elem. Schools","N","Crandon","","Elem. Schools","396",187,47.222200,209,52.777700,127,32.070700,1,.252500,1,.252500,1,.252500,266,67.171700
"2005","79243","08","1218","","03","El/Sec Combined Schls","N","Crandon","","El/Sec Combined Schls","26",11,42.307600,15,57.692300,11,42.307600,0,.000000,0,.000000,0,.000000,15,57.692300
"2005","79243","08","1218","","03","Summary","N","Crandon","","Summary","958",459,47.912300,499,52.087600,296,30.897700,2,.208700,1,.104300,2,.208700,657,68.580300
"2005","76024","08","1218","0022","04","Mid/Jr Hi Schools","N","Crandon","Crandon Middle","Mid/Jr Hi Schools","247",123,49.797500,124,50.202400,75,30.364300,0,.000000,0,.000000,1,.404800,171,69.230700
"2005","76025","08","1218","0040","04","Elem. Schools","N","Crandon","Crandon Elementary","Elem. Schools","396",187,47.222200,209,52.777700,127,32.070700,1,.252500,1,.252500,1,.252500,266,67.171700
"2005","76026","08","1218","0060","04","High Schools","N","Crandon","Crandon High","High Schools","289",138,47.750800,151,52.249100,83,28.719700,1,.346000,0,.000000,0,.000000,205,70.934200
"2005","75057","08","1218","0800","04","El/Sec Combined Schls","Y","Crandon","Crandon Alternative  Resource Sch (CARS)","El/Sec Combined Schls","26",11,42.307600,15,57.692300,11,42.307600,0,.000000,0,.000000,0,.000000,15,57.692300
"2005","76546","08","1232","","03","High Schools","N","Crivitz","","High Schools","322",161,50.000000,161,50.000000,4,1.242200,2,.621100,1,.310500,2,.621100,313,97.204900
"2005","76546","08","1232","","03","Mid/Jr Hi Schools","N","Crivitz","","Mid/Jr Hi Schools","131",70,53.435100,61,46.564800,1,.763300,0,.000000,0,.000000,2,1.526700,128,97.709900
"2005","76546","08","1232","","03","Elem. Schools","N","Crivitz","","Elem. Schools","392",190,48.469300,202,51.530600,4,1.020400,3,.765300,4,1.020400,2,.510200,379,96.683600
"2005","76546","08","1232","","03","El/Sec Combined Schls","N","Crivitz","","El/Sec Combined Schls","0",,.000000,,.000000,,.000000,,.000000,,.000000,,.000000,,.000000
"2005","76546","08","1232","","03","Summary","N","Crivitz","","Summary","845",421,49.822400,424,50.177500,9,1.065000,5,.591700,5,.591700,6,.710000,820,97.041400
"2005","76543","08","1232","0020","04","Elem. Schools","N","Crivitz","Crivitz Elementary","Elem. Schools","392",190,48.469300,202,51.530600,4,1.020400,3,.765300,4,1.020400,2,.510200,379,96.683600
"2005","76544","08","1232","0040","04","High Schools","N","Crivitz","Crivitz High","High Schools","322",161,50.000000,161,50.000000,4,1.242200,2,.621100,1,.310500,2,.621100,313,97.204900
"2005","76545","08","1232","0080","04","Mid/Jr Hi Schools","N","Crivitz","Crivitz Middle","Mid/Jr Hi Schools","131",70,53.435100,61,46.564800,1,.763300,0,.000000,0,.000000,2,1.526700,128,97.709900
"2005","76527","08","1855","","03","High Schools","N","Florence","","High Schools","221",117,52.941100,104,47.058800,3,1.357400,0,.000000,1,.452400,3,1.357400,214,96.832500
"2005","76527","08","1855","","03","Mid/Jr Hi Schools","N","Florence","","Mid/Jr Hi Schools","179",90,50.279300,89,49.720600,3,1.675900,0,.000000,3,1.675900,0,.000000,173,96.648000
"2005","76527","08","1855","","03","Elem. Schools","N","Florence","","Elem. Schools","268",121,45.149200,147,54.850700,1,.373100,0,.000000,4,1.492500,6,2.238800,257,95.895500
