"year","agency_key","CESA","district_number","school_number","agency_type","school_type","charter","district_name","school_name","grade_label","race_ethnicity","gender","enrollment_prek-12","number_eligible_for_subsidized_lunch","percent_eligible_for_subsidized_lunch","number_not_eligible_for_subsidized_lunch_or_no_data","percent_not_eligible_for_subsidized_lunch_or_no_data"
"1998","10167","03","0609","","03","El/Sec    ","N","Boscobel Area","","Combined Elementary/Secondary School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            "
"1998","10167","03","0609","","03","Summary   ","N","Boscobel Area","","Grades PreK-12","All Races","Both Genders",1054,,"",,""
"1998","14505","03","0609","0020","04","Elem      ","N","Boscobel Area","Boscobel El","Grades PreK-12","All Races","Both Genders",572,,"",,""
"1998","14506","03","0609","0040","04","High      ","N","Boscobel Area","Boscobel Hi","Grades PreK-12","All Races","Both Genders",305,,"",,""
"1998","14507","03","0609","0060","04","Mid/Jr Hi ","N","Boscobel Area","Boscobel Jr","Grades PreK-12","All Races","Both Genders",177,,"",,""
"1998","10168","03","0994","","03","Elem      ","N","Cassville","","Elementary School Type/ Prek-12","All Races","Both Genders",229,,"",,""
"1998","10168","03","0994","","03","Mid/Jr Hi ","N","Cassville","","Middle/Junior High School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            "
"1998","10168","03","0994","","03","High      ","N","Cassville","","High School Type/ PreK-12","All Races","Both Genders",197,,"",,""
"1998","10168","03","0994","","03","El/Sec    ","N","Cassville","","Combined Elementary/Secondary School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            "
"1998","10168","03","0994","","03","Summary   ","N","Cassville","","Grades PreK-12","All Races","Both Genders",426,,"",,""
"1998","14508","03","0994","0020","04","Elem      ","N","Cassville","Cassville El","Grades PreK-12","All Races","Both Genders",229,,"",,""
"1998","14509","03","0994","0040","04","High      ","N","Cassville","Cassville Hi","Grades PreK-12","All Races","Both Genders",197,,"",,""
"1998","10169","03","1246","","03","Elem      ","N","Cuba City","","Elementary School Type/ Prek-12","All Races","Both Genders",392,,"",,""
"1998","10169","03","1246","","03","Mid/Jr Hi ","N","Cuba City","","Middle/Junior High School Type/ Prek-12","All Races","Both Genders",113,,"",,""
"1998","10169","03","1246","","03","High      ","N","Cuba City","","High School Type/ PreK-12","All Races","Both Genders",352,,"",,""
"1998","10169","03","1246","","03","El/Sec    ","N","Cuba City","","Combined Elementary/Secondary School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            "
"1998","10169","03","1246","","03","Summary   ","N","Cuba City","","Grades PreK-12","All Races","Both Genders",857,,"",,""
"1998","14510","03","1246","0020","04","Elem      ","N","Cuba City","Cuba City El","Grades PreK-12","All Races","Both Genders",293,,"",,""
"1998","14511","03","1246","0030","04","Mid/Jr Hi ","N","Cuba City","Cuba City Jr","Grades PreK-12","All Races","Both Genders",113,,"",,""
"1998","17497","03","1246","0040","04","High      ","N","Cuba City","Cuba City Hi","Grades PreK-12","All Races","Both Genders",352,,"",,""
"1998","14512","03","1246","0060","04","Elem      ","N","Cuba City","Dickeyville El","Grades PreK-12","All Races","Both Genders",99,,"",,""
"1998","10125","03","1295","","03","Elem      ","N","Darlington Community","","Elementary School Type/ Prek-12","All Races","Both Genders",597,,"",,""
"1998","10125","03","1295","","03","Mid/Jr Hi ","N","Darlington Community","","Middle/Junior High School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            "
"1998","10125","03","1295","","03","High      ","N","Darlington Community","","High School Type/ PreK-12","All Races","Both Genders",350,,"",,""
