"year","agency_key","CESA","district_number","school_number","agency_type","school_type","charter","district_name","school_name","grade_label","total_enrollment_prek-12","number_with_disabilities","percent_with_disabilities","number_without_disabilities","percent_without_disabilities"
"2005","75494","06","0147","","03","High Schools","N","Appleton Area","","PreK-12","5077                          ","650                           ","12.802800                     ","4427                          ","87.197100                     "
"2005","75494","06","0147","","03","Mid/Jr Hi Schools","N","Appleton Area","","PreK-12","2208                          ","324                           ","14.673900                     ","1884                          ","85.326000                     "
"2005","75494","06","0147","","03","Elem. Schools","N","Appleton Area","","PreK-12","7775                          ","1115                          ","14.340800                     ","6660                          ","85.659100                     "
"2005","75494","06","0147","","03","El/Sec Combined Schls","N","Appleton Area","","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2005","78961","06","0147","0020","04","High Schools","N","Appleton Area","East High","PreK-12","1562                          ","236                           ","15.108800                     ","1326                          ","84.891100                     "
"2005","75306","06","0147","0030","04","High Schools","N","Appleton Area","North High","PreK-12","1798                          ","201                           ","11.179000                     ","1597                          ","88.820900                     "
"2005","75479","06","0147","0040","04","High Schools","N","Appleton Area","West High","PreK-12","1455                          ","204                           ","14.020600                     ","1251                          ","85.979300                     "
"2005","75504","06","0147","0060","04","Elem. Schools","N","Appleton Area","Badger Elementary","PreK-12","280                           ","37                            ","13.214200                     ","243                           ","86.785700                     "
"2005","75505","06","0147","0080","04","Elem. Schools","N","Appleton Area","Columbus Elementary","PreK-12","200                           ","22                            ","11.000000                     ","178                           ","89.000000                     "
"2005","79164","06","0147","0100","04","Elem. Schools","N","Appleton Area","Edison Elementary","PreK-12","295                           ","82                            ","27.796600                     ","213                           ","72.203300                     "
"2005","79036","06","0147","0105","04","Elem. Schools","N","Appleton Area","Child Learning Center","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2005","75118","06","0147","0110","04","Elem. Schools","Y","Appleton Area","Classical Charter Sch","PreK-12","403                           ","19                            ","4.714600                      ","384                           ","95.285300                     "
"2005","75506","06","0147","0120","04","Mid/Jr Hi Schools","N","Appleton Area","Einstein Middle","PreK-12","481                           ","52                            ","10.810800                     ","429                           ","89.189100                     "
"2005","74944","06","0147","0125","04","Elem. Schools","Y","Appleton Area","Wisconsin Connections Academy","PreK-12","468                           ","18                            ","3.846100                      ","450                           ","96.153800                     "
"2005","75507","06","0147","0130","04","Elem. Schools","N","Appleton Area","Ferber Elementary","PreK-12","713                           ","90                            ","12.622700                     ","623                           ","87.377200                     "
"2005","75508","06","0147","0140","04","Elem. Schools","N","Appleton Area","Foster Elementary","PreK-12","246                           ","27                            ","10.975600                     ","219                           ","89.024300                     "
"2005","75509","06","0147","0160","04","Elem. Schools","N","Appleton Area","Franklin Elementary","PreK-12","391                           ","60                            ","15.345200                     ","331                           ","84.654700                     "
"2005","79161","06","0147","0180","04","Elem. Schools","N","Appleton Area","Highlands Elementary","PreK-12","577                           ","101                           ","17.504300                     ","476                           ","82.495600                     "
"2005","75482","06","0147","0190","04","Elem. Schools","N","Appleton Area","Horizons Elementary","PreK-12","449                           ","66                            ","14.699300                     ","383                           ","85.300600                     "
"2005","75483","06","0147","0195","04","Elem. Schools","N","Appleton Area","Houdini Elementary","PreK-12","634                           ","99                            ","15.615100                     ","535                           ","84.384800                     "
"2005","75495","06","0147","0200","04","Elem. Schools","N","Appleton Area","Huntley Elementary","PreK-12","567                           ","96                            ","16.931200                     ","471                           ","83.068700                     "
"2005","75068","06","0147","0210","04","Mid/Jr Hi Schools","Y","Appleton Area","Odyssey-Magellan","PreK-12","54                            ","0                             ","0.000000                      ","54                            ","100.000000                    "
"2005","75484","06","0147","0220","04","Elem. Schools","N","Appleton Area","Berry Elementary","PreK-12","502                           ","76                            ","15.139400                     ","426                           ","84.860500                     "
"2005","75110","06","0147","0230","04","Mid/Jr Hi Schools","Y","Appleton Area","Appleton Community Learning Center","PreK-12","10                            ","1                             ","10.000000                     ","9                             ","90.000000                     "
"2005","75496","06","0147","0240","04","Elem. Schools","N","Appleton Area","Jefferson Elementary","PreK-12","385                           ","54                            ","14.025900                     ","331                           ","85.974000                     "
"2005","75497","06","0147","0260","04","Elem. Schools","N","Appleton Area","Johnston Elementary","PreK-12","478                           ","80                            ","16.736400                     ","398                           ","83.263500                     "
"2005","75498","06","0147","0280","04","Elem. Schools","N","Appleton Area","Lincoln Elementary","PreK-12","368                           ","56                            ","15.217300                     ","312                           ","84.782600                     "
"2005","79162","06","0147","0300","04","Mid/Jr Hi Schools","N","Appleton Area","Madison Middle","PreK-12","733                           ","111                           ","15.143200                     ","622                           ","84.856700                     "
"2005","75499","06","0147","0320","04","Elem. Schools","N","Appleton Area","McKinley Elementary","PreK-12","554                           ","112                           ","20.216600                     ","442                           ","79.783300                     "
"2005","75500","06","0147","0340","04","Elem. Schools","N","Appleton Area","Richmond Elementary","PreK-12","265                           ","20                            ","7.547100                      ","245                           ","92.452800                     "
"2005","75501","06","0147","0360","04","Mid/Jr Hi Schools","N","Appleton Area","Roosevelt Middle","PreK-12","415                           ","67                            ","16.144500                     ","348                           ","83.855400                     "
"2005","75287","06","0147","0400","04","High Schools","Y","Appleton Area","Appleton Central Alternative School","PreK-12","78                            ","5                             ","6.410200                      ","73                            ","93.589700                     "
"2005","79163","06","0147","0410","04","Mid/Jr Hi Schools","N","Appleton Area","Wilson Middle","PreK-12","515                           ","93                            ","18.058200                     ","422                           ","81.941700                     "
"2005","75069","06","0147","0420","04","High Schools","Y","Appleton Area","Renaissance Sch","PreK-12","82                            ","1                             ","1.219500                      ","81                            ","98.780400                     "
"2005","74943","06","0147","0430","04","High Schools","Y","Appleton Area","Tesla Engineering Charter School","PreK-12","6                             ","0                             ","0.000000                      ","6                             ","100.000000                    "
"2005","79058","06","0147","0440","04","High Schools","Y","Appleton Area","Appleton eSchool","PreK-12","33                            ","1                             ","3.030300                      ","32                            ","96.969600                     "
"2005","79034","06","0147","0460","04","High Schools","Y","Appleton Area","Valley New School","PreK-12","63                            ","2                             ","3.174600                      ","61                            ","96.825300                     "
"2005","79958","06","0147","0480","04","High Schools","Y","Appleton Area","Dan Spalding Academy","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2005","76721","06","0336","","03","El/Sec Combined Schls","N","Beaver Dam","","PreK-12","95                            ","45                            ","47.368400                     ","50                            ","52.631500                     "
"2005","76721","06","0336","","03","Elem. Schools","N","Beaver Dam","","PreK-12","1456                          ","233                           ","16.002700                     ","1223                          ","83.997200                     "
"2005","76721","06","0336","","03","Mid/Jr Hi Schools","N","Beaver Dam","","PreK-12","710                           ","128                           ","18.028100                     ","582                           ","81.971800                     "
"2005","76721","06","0336","","03","High Schools","N","Beaver Dam","","PreK-12","1142                          ","187                           ","16.374700                     ","955                           ","83.625200                     "
"2005","79358","06","0336","0020","04","Mid/Jr Hi Schools","N","Beaver Dam","Beaver Dam Middle","PreK-12","710                           ","128                           ","18.028100                     ","582                           ","81.971800                     "
"2005","76729","06","0336","0040","04","High Schools","N","Beaver Dam","Beaver Dam High","PreK-12","1142                          ","187                           ","16.374700                     ","955                           ","83.625200                     "
"2005","78963","06","0336","0080","04","Elem. Schools","N","Beaver Dam","Jefferson Elementary","PreK-12","317                           ","58                            ","18.296500                     ","259                           ","81.703400                     "
"2005","76730","06","0336","0100","04","Elem. Schools","N","Beaver Dam","Lincoln Elementary","PreK-12","233                           ","37                            ","15.879800                     ","196                           ","84.120100                     "
"2005","75179","06","0336","0110","04","Elem. Schools","N","Beaver Dam","Prairie View Elementary","PreK-12","278                           ","66                            ","23.741000                     ","212                           ","76.258900                     "
"2005","76716","06","0336","0120","04","Elem. Schools","N","Beaver Dam","South Beaver Dam Elementary","PreK-12","109                           ","10                            ","9.174300                      ","99                            ","90.825600                     "
"2005","79355","06","0336","0140","04","Elem. Schools","N","Beaver Dam","Trenton Elementary","PreK-12","99                            ","2                             ","2.020200                      ","97                            ","97.979700                     "
"2005","76717","06","0336","0160","04","Elem. Schools","N","Beaver Dam","Washington Elementary","PreK-12","274                           ","36                            ","13.138600                     ","238                           ","86.861300                     "
"2005","76718","06","0336","0180","04","Elem. Schools","N","Beaver Dam","Wilson Elementary","PreK-12","146                           ","24                            ","16.438300                     ","122                           ","83.561600                     "
"2005","75138","06","0336","0200","04","El/Sec Combined Schls","Y","Beaver Dam","Beaver Dam Charter Sch","PreK-12","95                            ","45                            ","47.368400                     ","50                            ","52.631500                     "
"2005","75477","06","0434","","03","High Schools","N","Berlin Area","","PreK-12","590                           ","75                            ","12.711800                     ","515                           ","87.288100                     "
"2005","75477","06","0434","","03","Mid/Jr Hi Schools","N","Berlin Area","","PreK-12","375                           ","56                            ","14.933300                     ","319                           ","85.066600                     "
"2005","75477","06","0434","","03","Elem. Schools","N","Berlin Area","","PreK-12","674                           ","59                            ","8.753700                      ","615                           ","91.246200                     "
"2005","75477","06","0434","","03","El/Sec Combined Schls","N","Berlin Area","","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
