"year","agency_key","CESA","district_number","school_number","agency_type","school_type","charter","district_name","school_name","grade_label","total_enrollment_prek-12","number_with_disabilities","percent_with_disabilities","number_without_disabilities","percent_without_disabilities"
"2005","77110","02","0063","","03","High Schools","N","Albany","","PreK-12","114                           ","12                            ","10.526300                     ","102                           ","89.473600                     "
"2005","77110","02","0063","","03","Mid/Jr Hi Schools","N","Albany","","PreK-12","103                           ","19                            ","18.446600                     ","84                            ","81.553300                     "
"2005","77110","02","0063","","03","Elem. Schools","N","Albany","","PreK-12","183                           ","23                            ","12.568300                     ","160                           ","87.431600                     "
"2005","77110","02","0063","","03","El/Sec Combined Schls","N","Albany","","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2005","77107","02","0063","0020","04","Elem. Schools","N","Albany","Albany Elementary","PreK-12","183                           ","23                            ","12.568300                     ","160                           ","87.431600                     "
"2005","77108","02","0063","0040","04","High Schools","N","Albany","Albany High","PreK-12","114                           ","12                            ","10.526300                     ","102                           ","89.473600                     "
"2005","77109","02","0063","0060","04","Mid/Jr Hi Schools","N","Albany","Albany Middle","PreK-12","103                           ","19                            ","18.446600                     ","84                            ","81.553300                     "
"2005","77103","02","0350","","03","El/Sec Combined Schls","N","Belleville","","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2005","77103","02","0350","","03","Elem. Schools","N","Belleville","","PreK-12","481                           ","62                            ","12.889800                     ","419                           ","87.110100                     "
"2005","77103","02","0350","","03","Mid/Jr Hi Schools","N","Belleville","","PreK-12","155                           ","19                            ","12.258000                     ","136                           ","87.741900                     "
"2005","77103","02","0350","","03","High Schools","N","Belleville","","PreK-12","278                           ","40                            ","14.388400                     ","238                           ","85.611500                     "
"2005","77101","02","0350","0020","04","Elem. Schools","N","Belleville","Belleville Elementary","PreK-12","165                           ","21                            ","12.727200                     ","144                           ","87.272700                     "
"2005","79436","02","0350","0040","04","High Schools","N","Belleville","Belleville High","PreK-12","278                           ","40                            ","14.388400                     ","238                           ","85.611500                     "
"2005","77102","02","0350","0060","04","Mid/Jr Hi Schools","N","Belleville","Belleville Middle","PreK-12","155                           ","19                            ","12.258000                     ","136                           ","87.741900                     "
"2005","75209","02","0350","0100","04","Elem. Schools","N","Belleville","Belleville Intermediate","PreK-12","316                           ","41                            ","12.974600                     ","275                           ","87.025300                     "
"2005","77078","02","0413","","03","High Schools","N","Beloit","","PreK-12","2079                          ","372                           ","17.893200                     ","1707                          ","82.106700                     "
"2005","77078","02","0413","","03","Mid/Jr Hi Schools","N","Beloit","","PreK-12","1592                          ","318                           ","19.974800                     ","1274                          ","80.025100                     "
"2005","77078","02","0413","","03","Elem. Schools","N","Beloit","","PreK-12","3442                          ","598                           ","17.373600                     ","2844                          ","82.626300                     "
"2005","77078","02","0413","","03","El/Sec Combined Schls","N","Beloit","","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2005","77090","02","0413","0020","04","Mid/Jr Hi Schools","N","Beloit","Aldrich Middle","PreK-12","730                           ","166                           ","22.739700                     ","564                           ","77.260200                     "
"2005","77091","02","0413","0040","04","Elem. Schools","N","Beloit","Burdge Elementary","PreK-12","192                           ","45                            ","23.437500                     ","147                           ","76.562500                     "
