"year","agency_key","CESA","district_number","school_number","agency_type","school_type","charter","district_name","school_name","grade_label","race_ethnicity","gender","enrollment_prek-12","number_eligible_for_subsidized_lunch","percent_eligible_for_subsidized_lunch","number_not_eligible_for_subsidized_lunch_or_no_data","percent_not_eligible_for_subsidized_lunch_or_no_data"
"2005","75931","04","0084","","03","Elem      ","N","Alma","","Elementary School Type/ Prek-12","All Races","Both Genders",206,55,"26.6990291200                 ",151,"73.3009708700                 "
"2005","75931","04","0084","","03","Mid/Jr Hi ","N","Alma","","Middle/Junior High School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            "
"2005","75931","04","0084","","03","High      ","N","Alma","","High School Type/ PreK-12","All Races","Both Genders",134,30,"22.3880597000                 ",104,"77.6119402900                 "
"2005","75931","04","0084","","03","El/Sec    ","N","Alma","","Combined Elementary/Secondary School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            "
"2005","75931","04","0084","","03","Summary   ","N","Alma","","Grades PreK-12","All Races","Both Genders",340,85,"25.0000000000                 ",255,"75.0000000000                 "
"2005","79230","04","0084","0020","04","Elem      ","N","Alma","Alma Elementary","Grades PreK-12","All Races","Both Genders",206,55,"26.6990291200                 ",151,"73.3009708700                 "
"2005","75946","04","0084","0040","04","High      ","N","Alma","Alma High","Grades PreK-12","All Races","Both Genders",134,30,"22.3880597000                 ",104,"77.6119402900                 "
"2005","75934","04","0091","","03","Elem      ","N","Alma Center","","Elementary School Type/ Prek-12","All Races","Both Genders",344,175,"50.8720930200                 ",169,"49.1279069700                 "
"2005","75934","04","0091","","03","Mid/Jr Hi ","N","Alma Center","","Middle/Junior High School Type/ Prek-12","All Races","Both Genders",101,26,"25.7425742500                 ",75,"74.2574257400                 "
"2005","75934","04","0091","","03","High      ","N","Alma Center","","High School Type/ PreK-12","All Races","Both Genders",174,44,"25.2873563200                 ",130,"74.7126436700                 "
"2005","75934","04","0091","","03","El/Sec    ","N","Alma Center","","Combined Elementary/Secondary School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            "
"2005","75934","04","0091","","03","Summary   ","N","Alma Center","","Grades PreK-12","All Races","Both Genders",619,245,"39.5799676800                 ",374,"60.4200323100                 "
"2005","75932","04","0091","0060","04","High      ","N","Alma Center","Lincoln High","Grades PreK-12","All Races","Both Genders",174,44,"25.2873563200                 ",130,"74.7126436700                 "
"2005","75933","04","0091","0070","04","Mid/Jr Hi ","N","Alma Center","Lincoln Junior High","Grades PreK-12","All Races","Both Genders",101,26,"25.7425742500                 ",75,"74.2574257400                 "
"2005","75706","04","0091","0080","04","Elem      ","N","Alma Center","Lincoln Elementary","Grades PreK-12","All Races","Both Genders",344,175,"50.8720930200                 ",169,"49.1279069700                 "
"2005","75937","04","0154","","03","Elem      ","N","Arcadia","","Elementary School Type/ Prek-12","All Races","Both Genders",635,220,"34.6456692900                 ",415,"65.3543307000                 "
"2005","75937","04","0154","","03","Mid/Jr Hi ","N","Arcadia","","Middle/Junior High School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            "
"2005","75937","04","0154","","03","High      ","N","Arcadia","","High School Type/ PreK-12","All Races","Both Genders",296,66,"22.2972972900                 ",230,"77.7027027000                 "
"2005","75937","04","0154","","03","El/Sec    ","N","Arcadia","","Combined Elementary/Secondary School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            "
"2005","75937","04","0154","","03","Summary   ","N","Arcadia","","Grades PreK-12","All Races","Both Genders",931,286,"30.7196562800                 ",645,"69.2803437100                 "
"2005","75935","04","0154","0020","04","Elem      ","N","Arcadia","Arcadia Elementary","Grades PreK-12","All Races","Both Genders",635,220,"34.6456692900                 ",415,"65.3543307000                 "
"2005","75936","04","0154","0040","04","High      ","N","Arcadia","Arcadia High","Grades PreK-12","All Races","Both Genders",296,66,"22.2972972900                 ",230,"77.7027027000                 "
"2005","75926","04","0245","","03","Elem      ","N","Bangor","","Elementary School Type/ Prek-12","All Races","Both Genders",238,58,"24.3697478900                 ",180,"75.6302521000                 "
"2005","75926","04","0245","","03","Mid/Jr Hi ","N","Bangor","","Middle/Junior High School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            "
"2005","75926","04","0245","","03","High      ","N","Bangor","","High School Type/ PreK-12","All Races","Both Genders",382,71,"18.5863874300                 ",311,"81.4136125600                 "
"2005","75926","04","0245","","03","El/Sec    ","N","Bangor","","Combined Elementary/Secondary School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            "
"2005","75926","04","0245","","03","Summary   ","N","Bangor","","Grades PreK-12","All Races","Both Genders",620,129,"20.8064516100                 ",491,"79.1935483800                 "
"2005","75923","04","0245","0020","04","Elem      ","N","Bangor","Bangor Elementary","Grades PreK-12","All Races","Both Genders",238,58,"24.3697478900                 ",180,"75.6302521000                 "
"2005","75924","04","0245","0040","04","High      ","N","Bangor","Bangor Middle/High","Grades PreK-12","All Races","Both Genders",382,71,"18.5863874300                 ",311,"81.4136125600                 "
"2005","75914","04","0476","","03","Elem      ","N","Black River Falls","","Elementary School Type/ Prek-12","All Races","Both Genders",817,333,"40.7588739200                 ",484,"59.2411260700                 "
"2005","75914","04","0476","","03","Mid/Jr Hi ","N","Black River Falls","","Middle/Junior High School Type/ Prek-12","All Races","Both Genders",434,171,"39.4009216500                 ",263,"60.5990783400                 "
"2005","75914","04","0476","","03","High      ","N","Black River Falls","","High School Type/ PreK-12","All Races","Both Genders",659,157,"23.8239757200                 ",502,"76.1760242700                 "
"2005","75914","04","0476","","03","El/Sec    ","N","Black River Falls","","Combined Elementary/Secondary School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            "
"2005","75914","04","0476","","03","Summary   ","N","Black River Falls","","Grades PreK-12","All Races","Both Genders",1910,661,"34.6073298400                 ",1249,"65.3926701500                 "
"2005","75927","04","0476","0040","04","High      ","N","Black River Falls","Black River Falls High","Grades PreK-12","All Races","Both Genders",659,157,"23.8239757200                 ",502,"76.1760242700                 "
"2005","75928","04","0476","0060","04","Mid/Jr Hi ","N","Black River Falls","Black River Falls Middle","Grades PreK-12","All Races","Both Genders",434,171,"39.4009216500                 ",263,"60.5990783400                 "
"2005","75929","04","0476","0080","04","Elem      ","N","Black River Falls","Forrest Street Elementary","Grades PreK-12","All Races","Both Genders",321,147,"45.7943925200                 ",174,"54.2056074700                 "
"2005","79227","04","0476","0100","04","Elem      ","N","Black River Falls","Gebhardt Elementary","Grades PreK-12","All Races","Both Genders",205,102,"49.7560975600                 ",103,"50.2439024300                 "
"2005","75930","04","0476","0130","04","Elem      ","N","Black River Falls","Third Street Elementary","Grades PreK-12","All Races","Both Genders",291,84,"28.8659793800                 ",207,"71.1340206100                 "
"2005","75917","04","0485","","03","Elem      ","N","Blair-Taylor","","Elementary School Type/ Prek-12","All Races","Both Genders",364,150,"41.2087912000                 ",214,"58.7912087900                 "
"2005","75917","04","0485","","03","Mid/Jr Hi ","N","Blair-Taylor","","Middle/Junior High School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            "
"2005","75917","04","0485","","03","High      ","N","Blair-Taylor","","High School Type/ PreK-12","All Races","Both Genders",0,0,"--                            ",0,"--                            "
"2005","75917","04","0485","","03","El/Sec    ","N","Blair-Taylor","","Combined Elementary/Secondary School Type/ Prek-12","All Races","Both Genders",313,95,"30.3514376900                 ",218,"69.6485623000                 "
"2005","75917","04","0485","","03","Summary   ","N","Blair-Taylor","","Grades PreK-12","All Races","Both Genders",677,245,"36.1890694200                 ",432,"63.8109305700                 "
