"year","agency_key","CESA","district_number","school_number","agency_type","school_type","charter","district_name","school_name","grade_label","total_enrollment_prek-12","number_with_disabilities","percent_with_disabilities","number_without_disabilities","percent_without_disabilities"
"2005","76415","07","0070","","03","High Schools","N","Algoma","","PreK-12","249                           ","34                            ","13.654600                     ","215                           ","86.345300                     "
"2005","76415","07","0070","","03","Mid/Jr Hi Schools","N","Algoma","","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2005","76415","07","0070","","03","Elem. Schools","N","Algoma","","PreK-12","361                           ","69                            ","19.113500                     ","292                           ","80.886400                     "
"2005","76415","07","0070","","03","El/Sec Combined Schls","N","Algoma","","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2005","76412","07","0070","0020","04","Elem. Schools","N","Algoma","Algoma Elementary/Middle","PreK-12","361                           ","69                            ","19.113500                     ","292                           ","80.886400                     "
"2005","76413","07","0070","0040","04","High Schools","N","Algoma","Algoma High","PreK-12","249                           ","34                            ","13.654600                     ","215                           ","86.345300                     "
"2005","80087","07","0070","9204","4C","High Schools","Y","Algoma","Northeast WI Online Charter Sch (NEWOCS)","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2005","76280","07","0182","","03","El/Sec Combined Schls","N","Ashwaubenon","","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2005","76280","07","0182","","03","Elem. Schools","N","Ashwaubenon","","PreK-12","1259                          ","170                           ","13.502700                     ","1089                          ","86.497200                     "
"2005","76280","07","0182","","03","Mid/Jr Hi Schools","N","Ashwaubenon","","PreK-12","759                           ","97                            ","12.779900                     ","662                           ","87.220000                     "
"2005","76280","07","0182","","03","High Schools","N","Ashwaubenon","","PreK-12","1100                          ","145                           ","13.181800                     ","955                           ","86.818100                     "
"2005","76298","07","0182","0020","04","High Schools","N","Ashwaubenon","Ashwaubenon High","PreK-12","1100                          ","145                           ","13.181800                     ","955                           ","86.818100                     "
"2005","76299","07","0182","0045","04","Mid/Jr Hi Schools","N","Ashwaubenon","Parkview Middle","PreK-12","759                           ","97                            ","12.779900                     ","662                           ","87.220000                     "
"2005","76316","07","0182","0050","04","Elem. Schools","N","Ashwaubenon","Pioneer Elementary","PreK-12","403                           ","45                            ","11.166200                     ","358                           ","88.833700                     "
"2005","76300","07","0182","0055","04","Elem. Schools","N","Ashwaubenon","Cormier School and Early Learning","PreK-12","235                           ","40                            ","17.021200                     ","195                           ","82.978700                     "
"2005","76301","07","0182","0060","04","Elem. Schools","N","Ashwaubenon","Valley View Elementary","PreK-12","621                           ","85                            ","13.687600                     ","536                           ","86.312300                     "
"2005","80088","07","0182","9204","4C","High Schools","Y","Ashwaubenon","Northeast WI Online Charter Sch (NEWOCS)","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2005","76554","07","0658","","03","High Schools","N","Brillion","","PreK-12","346                           ","21                            ","6.069300                      ","325                           ","93.930600                     "
"2005","76554","07","0658","","03","Mid/Jr Hi Schools","N","Brillion","","PreK-12","175                           ","0                             ","0.000000                      ","175                           ","100.000000                    "
"2005","76554","07","0658","","03","Elem. Schools","N","Brillion","","PreK-12","326                           ","47                            ","14.417100                     ","279                           ","85.582800                     "
"2005","76554","07","0658","","03","El/Sec Combined Schls","N","Brillion","","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2005","76550","07","0658","0020","04","Elem. Schools","N","Brillion","Brillion Elementary","PreK-12","326                           ","47                            ","14.417100                     ","279                           ","85.582800                     "
"2005","76551","07","0658","0021","04","Mid/Jr Hi Schools","N","Brillion","Brillion Middle","PreK-12","175                           ","0                             ","0.000000                      ","175                           ","100.000000                    "
"2005","79327","07","0658","0040","04","High Schools","N","Brillion","Brillion High","PreK-12","346                           ","21                            ","6.069300                      ","325                           ","93.930600                     "
"2005","80089","07","0658","9204","4C","High Schools","Y","Brillion","Northeast WI Online Charter Sch (NEWOCS)","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2005","77943","07","1029","","03","El/Sec Combined Schls","N","Cedar Grove-Belgium Area","","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2005","77943","07","1029","","03","Elem. Schools","N","Cedar Grove-Belgium Area","","PreK-12","437                           ","53                            ","12.128100                     ","384                           ","87.871800                     "
"2005","77943","07","1029","","03","Mid/Jr Hi Schools","N","Cedar Grove-Belgium Area","","PreK-12","304                           ","31                            ","10.197300                     ","273                           ","89.802600                     "
"2005","77943","07","1029","","03","High Schools","N","Cedar Grove-Belgium Area","","PreK-12","279                           ","25                            ","8.960500                      ","254                           ","91.039400                     "
"2005","77941","07","1029","0020","04","Elem. Schools","N","Cedar Grove-Belgium Area","Cedar Grove Elementary","PreK-12","437                           ","53                            ","12.128100                     ","384                           ","87.871800                     "
"2005","77942","07","1029","0040","04","High Schools","N","Cedar Grove-Belgium Area","Cedar Grove High","PreK-12","279                           ","25                            ","8.960500                      ","254                           ","91.039400                     "
"2005","75139","07","1029","0200","04","Mid/Jr Hi Schools","N","Cedar Grove-Belgium Area","Cedar Grove Middle","PreK-12","304                           ","31                            ","10.197300                     ","273                           ","89.802600                     "
"2005","80090","07","1029","9204","4C","High Schools","Y","Cedar Grove-Belgium Area","Northeast WI Online Charter Sch (NEWOCS)","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2005","77947","07","1085","","03","High Schools","N","Chilton","","PreK-12","459                           ","60                            ","13.071800                     ","399                           ","86.928100                     "
"2005","77947","07","1085","","03","Mid/Jr Hi Schools","N","Chilton","","PreK-12","370                           ","52                            ","14.054000                     ","318                           ","85.945900                     "
"2005","77947","07","1085","","03","Elem. Schools","N","Chilton","","PreK-12","417                           ","74                            ","17.745800                     ","343                           ","82.254100                     "
"2005","77947","07","1085","","03","El/Sec Combined Schls","N","Chilton","","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2005","79631","07","1085","0020","04","Elem. Schools","N","Chilton","Chilton Elementary","PreK-12","417                           ","74                            ","17.745800                     ","343                           ","82.254100                     "
"2005","77944","07","1085","0030","04","Mid/Jr Hi Schools","N","Chilton","Chilton Middle","PreK-12","370                           ","52                            ","14.054000                     ","318                           ","85.945900                     "
"2005","77945","07","1085","0040","04","High Schools","N","Chilton","Chilton High","PreK-12","459                           ","60                            ","13.071800                     ","399                           ","86.928100                     "
"2005","80091","07","1085","9204","4C","High Schools","Y","Chilton","Northeast WI Online Charter Sch (NEWOCS)","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2005","76392","07","1407","","03","El/Sec Combined Schls","N","Denmark","","PreK-12","11                            ","3                             ","27.272700                     ","8                             ","72.727200                     "
"2005","76392","07","1407","","03","Elem. Schools","N","Denmark","","PreK-12","693                           ","105                           ","15.151500                     ","588                           ","84.848400                     "
"2005","76392","07","1407","","03","Mid/Jr Hi Schools","N","Denmark","","PreK-12","370                           ","47                            ","12.702700                     ","323                           ","87.297200                     "
"2005","76392","07","1407","","03","High Schools","N","Denmark","","PreK-12","547                           ","73                            ","13.345500                     ","474                           ","86.654400                     "
"2005","79309","07","1407","0040","04","Elem. Schools","N","Denmark","Denmark Early Childhood Ctr","PreK-12","190                           ","25                            ","13.157800                     ","165                           ","86.842100                     "
"2005","76406","07","1407","0060","04","Elem. Schools","N","Denmark","Denmark Elementary","PreK-12","503                           ","80                            ","15.904500                     ","423                           ","84.095400                     "
"2005","79306","07","1407","0080","04","High Schools","N","Denmark","Denmark High","PreK-12","547                           ","73                            ","13.345500                     ","474                           ","86.654400                     "
"2005","76391","07","1407","0100","04","Mid/Jr Hi Schools","N","Denmark","Denmark Middle","PreK-12","370                           ","47                            ","12.702700                     ","323                           ","87.297200                     "
"2005","75030","07","1407","0800","04","El/Sec Combined Schls","Y","Denmark","Denmark Empowerment Charter School","PreK-12","11                            ","3                             ","27.272700                     ","8                             ","72.727200                     "
