order	package	version	source	origin	sha256
47	survival	2.38-1	CRAN-Archive	dependency	f5b90925b7f4fd23ba99fb44b713ffe3b6768bfe7cb81037b9f0d615a051004f
48	svUnit	0.7-12	CRAN-Archive	colophon	c565fd238bc1a889f874a2749c5da0eaa8af2e18af801ea65d9f8c3da4cf319a
49	TH.data	1.0-6	CRAN-Archive	dependency	f5e91e7c6d3b6051a81d79e5cd479d32bf623cd58774b84fec5bd02029faa6cf
50	ucminf	1.1-3	CRAN-Archive	colophon	7bfcd265e006fbac5af1d9fecfc7112687b86900490b07f7532dc32cc65ff5a5
51	xtable	1.7-4	CRAN-Archive	colophon	47629a31185591be30b13ae3a656fc24360760996975e292f4fa7954c0257dbb
52	BB	2014.10-1	CRAN-Archive	colophon	a09f67e3a6ef36db660e4dc92832dfad4a7591ae9fadc2a265c8770ffb1e2fd2
53	caTools	1.17.1	CRAN-Archive	dependency	d32a73febf00930355cc00f3e4e71357412e0f163faae6a4bf7f552cacfe9af4
54	coda	0.17-1	CRAN-Archive	colophon	ce88bc0e8d47c35aba3ae63d5644a9eb6158df39c532dd8089b19bd889c35ae2
55	dplyr	0.4.1	CRAN-Archive	dated	bc324a9b64e851800489cdc29e9ee3e90babc5b2937fe576f87cff27447a9c4d
56	evaluate	0.6	CRAN-Archive	colophon	c0f787d38c36489bfb836ea3ee3c356a63f2bcedcf21acd7cc27a77580cf43d5
57	foreach	1.4.2	CRAN-Archive	dependency	d4fd8f090029d9b9168ae415e6ab13ef017f06f1879488a2e0af4bcfd999ff24
58	gdata	2.16.1	CRAN-Archive	dependency	b5cd865587aafc4e9963d6cd701660b06968e2188cf6e71ee7c1fd423ec25a93
59	latticeExtra	0.6-26	CRAN-Archive	dependency	0d1410f279d515a99c102824cc11ad2b024c86ee6af982cb45ea55739e06a09b
60	markdown	0.7.7	CRAN-Archive	dependency	0b86c3a4e42bbc425be229f70a4a0efdca0522f48c6ea1bf0285c6b122854102
61	Matrix	1.2-0	CRAN-Archive	colophon	65ced3c0f01d5a960b635e0ccb8c544f7dd97dfb30a0d6e9b4fc327347109f7b
62	memisc	0.97	CRAN-Archive	colophon	dac154e5e89dee4b3d23a060738a281c7cbe3c947e509d59b089d2c3278e3a19
63	minqa	1.2.4	CRAN-Archive	colophon	cfa193a4a9c55cb08f3faf4ab09c11b70412523767f19894e4eafc6e94cccd0c
64	munsell	0.4.2	CRAN-Archive	colophon	84e787f58f626c52a1e3fc1201f724835dfa8023358bfed742e7001441f425ae
65	nlme	3.1-120	CRAN-Archive	colophon	4cd65b2187d6155652d8725f62086641da373f23f3bce4170ace92705cb628ca
66	optextras	2013-10.28	CRAN-Archive	colophon	db5d763a52e511b1c424bec5ca96c03c9fd59b75384e428761a5decc7b11a0ea
67	plyr	1.8.1	CRAN-Archive	colophon	95393c61e7c066450ab76eb667e28e763c04a0afb9d6e4d3b397ba93efb04a38
68	psych	1.5.4	CRAN-Archive	dependency	8aa08f8076f4e8d3f72d701db73e89a22256b34fb739006fc9d09778b2cbc012
69	quantreg	5.11	CRAN-Archive	colophon	f7c7a8c9809652ab3ee827747998966aab0f1225c82e737a54dbcb69e70fcc5f
70	Rcgmin	2013-2.21	CRAN-Archive	colophon	a824a09c32d7565a3e30607c71333506d5b7197478fbe8b43f8a77dad6c12f0a
71	sp	1.0-17	CRAN-Archive	colophon	b808dcca0d888c3db1e8723cceaf6e674791702336055ae2b9449e0896c0400a
72	zoo	1.7-12	CRAN-Archive	colophon	e5e19db28c39a4747fdd0b1d1a18b527313392538ad9c9f38d356f316bbbc4d8
73	doParallel	1.0.8	CRAN-Archive	dated	dd0a03106304e14aac9a93e65dae189e9593c99eb8a94bc8644be32d2de6ccfc
74	gplots	2.17.0	CRAN-Archive	dependency	25d7bd50616ee8b055226cbadfaf75b49ffe8f4606920ac086b3a442b5d7de37
75	knitr	1.9	CRAN-Archive	colophon	6946f89ceabbe76958e57fc6f83ee52f80625d366cd47db3fc83996049f87c9e
76	lmtest	0.9-33	CRAN-Archive	colophon	7a1ca66a73ed19462de6d88e7de4cce4be3a8527b6b6a9deb23510d7b3ec95f9
77	maptools	0.8-34	CRAN-Archive	colophon	dc3559855bd9bd298a08fc45838c6a81575ad0aeeea9705c8ac0ad76d5db24c6
78	mgcv	1.8-6	CRAN-Archive	colophon	388b0a5ef064fe0e3ac9df41934f87919b82399ea8358c347adf88b932660518
79	RcppEigen	0.3.2.4.0	CRAN-Archive	dependency	06bebe303bef4910afe821ac0760420e4566514629dcd56f2a005620a977d4dc
80	reshape	0.8.5	CRAN-Archive	dated	933890860eac2c9a2c9a39c02baeb5795813a707ace25877ba2e3c01964b5522
81	reshape2	1.4.1	CRAN-Archive	colophon	fbd49f75a5b0b7266378515af98db310cf6c772bf6e68bed01f38ee99b408042
82	Rvmmin	2013-11.12	CRAN-Archive	colophon	4a94d0aa2a8423670c5a3ad2bbf53fdef538afb7d12d5ab6047bad1f77f35fd2
83	sandwich	2.3-3	CRAN-Archive	colophon	1e71d0363297f4e4d6ed9da1a87978b5503f408d97706926f4aec14cbb075df4
84	scales	0.2.4	CRAN-Archive	colophon	5ba490c0a00909196b021336d636863c13b10ea8ea06a33b3701ae8862f4b921
85	data.table	1.9.4	CRAN-Archive	colophon	4607fd84f2c2e1469466dfb3896ebe950c91b720594e808d76bcd7e1a994563f
86	ggplot2	1.0.1	CRAN-Archive	colophon	40248e6b31307787e44e45d806e7a33095844a9bbe864cc7583dd311b19c241d
87	lme4	1.1-7	CRAN-Archive	colophon	d7eb99783f96fe68dd7d23eef6a007e1511b365cb450569be07eaaab73a23b6d
88	multcomp	1.4-0	CRAN-Archive	dependency	1276eb3543fbb919f239240fda68bffcdac8fe6af8a4687d2e68ccaace5b38d8
89	optimx	2013.8.7	CRAN-Archive	colophon	1a8c16f327be5af4b938c4ce71f9fe1c7704800b355412af2542ea28803e6d5d
90	RLRsim	3.0	CRAN-Archive	dated	e4dd2bd3275ad688400e652dd90855a105e4b499c35c147a7c33a255c2d57899
91	ROCR	1.0-7	CRAN-Archive	dated	e7ef710f847e441a48b20fdc781dbc1377f5a060a5ee635234053f7a2a435ec9
92	tidyr	0.2.0	CRAN-Archive	colophon	78b2cb61616d778f1c652bd33b407f13aebb1bb8d10b3cbe8bfb17252ecd3967
93	arm	1.8-4	CRAN-Archive	colophon	3948d3f4e843b037a5a26034bd70f6a637d7903a1da6a95e20b6d9abd12f6f9e
94	broom	0.3.7	CRAN-Archive	dated	85844959bf8eb724b32b0eeef72120117d93584e5a9a4e5e19cf5cdc3a9fe403
95	Hmisc	3.16-0	CRAN-Archive	dependency	4edc3903da63e25d747f34c33abf3e4e9a1f250580bbbab39fb192469738a30d
96	pbkrtest	0.4-2	CRAN-Archive	colophon	b7c1e10a14503944cfe64769c1b79050eed42e8bf9f50b110e41d2777bca2928
97	car	2.0-25	CRAN-Archive	colophon	d2fb748e248be62edf9d94f0bdb53c87e827bf5628d34e98c332bdeb75b3eec0
98	eeptools	0.3.1	CRAN-Archive	colophon	6fc0ebe1821b6dc6edbd40952df0df1f6127604ec1513be37fbc98c22304d154
99	rms	4.3-1	CRAN-Archive	dated	24819ada2d6a64960742758cd77cd0a0ac3bcb7db83b86ed4ef4fb313f45291c
