distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,notes
2212,2012,1,1,William,Taylor,119,,0,0,0,1,0,
2212,2012,1,2,Deborah,Thompson,120,1,0,0,0,1,0,
2212,2012,1,NA,scatter,scatter,2,0,0,0,1,1,0,
2212,2013,1,3,Carl,Frydrych,132,,0,0,0,2,0,
2212,2013,1,4,Robert,Stec,136,1,0,0,0,2,0,
2212,2013,1,NA,scatter,scatter,6,0,0,0,1,2,0,
