distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,notes
1449,2012,1,1,Robert,Kordus,155,1,1,1,0,6,0,
1449,2011,1,2,Darlene,Van Swol,303,1,1,1,0,5,0,
1449,2010,1,3,Denise,Slater,NA,1,1,1,0,4,0,
1449,2009,1,1,Robert,Kordus,NA,1,1,1,0,3,0,
1449,2008,1,2,Darlene,Van Swol,NA,1,1,1,0,2,0,
1449,2007,1,3,Denise,Slater,NA,1,1,1,0,1,0,
